gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
GOT1,eqtl-a-ENSG00000120053,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000120053 || id:eqtl-a-ENSG00000120053,Wald ratio,1,-0.0815997059571942,0.123854222624332,0.510000644594888,1,0.921640812193222,0.722994269902465,1.17486655435703,0.889846765258505,ns,FALSE,10,FALSE,0.89177424171589,ns
MON1A,eqtl-a-ENSG00000164077,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164077 || id:eqtl-a-ENSG00000164077,Wald ratio,1,0.0453943273662001,0.0689007277850304,0.510000644594888,1,1.04644041865594,0.914250112324933,1.1977439598144,0.889846765258505,ns,FALSE,3,FALSE,0.89177424171589,ns
PHC1,eqtl-a-ENSG00000111752,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000111752 || id:eqtl-a-ENSG00000111752,Wald ratio,1,-0.0715010741423672,0.108526248358703,0.510000644594888,1,0.930995277572853,0.752606683040436,1.15166690170938,0.889846765258505,ns,FALSE,12,FALSE,0.89177424171589,ns
STT3A,eqtl-a-ENSG00000134910,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000134910 || id:eqtl-a-ENSG00000134910,Wald ratio,1,-0.130669624666093,0.198333861547517,0.510000644594888,1,0.877507633384662,0.594874991815494,1.2944226219669,0.889846765258505,ns,FALSE,11,FALSE,0.89177424171589,ns
NDUFA11,eqtl-a-ENSG00000174886,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000174886 || id:eqtl-a-ENSG00000174886,Wald ratio,1,0.060799533172836,0.0922832980972516,0.510001266743149,1,1.06268585957018,0.886853271802113,1.27338001903701,0.889846765258505,ns,FALSE,19,FALSE,0.89177424171589,ns
STRN3,eqtl-a-ENSG00000196792,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000196792 || id:eqtl-a-ENSG00000196792,Wald ratio,1,0.0489370921019628,0.0742781403538108,0.510001266743149,1,1.05015428566332,0.907875464890494,1.21473050693142,0.889846765258505,ns,FALSE,14,FALSE,0.89177424171589,ns
TERF2,eqtl-a-ENSG00000132604,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000132604 || id:eqtl-a-ENSG00000132604,Wald ratio,1,-0.0347923368485832,0.052808819827128,0.510001266743149,1,0.965805957743149,0.870839470698677,1.07112869753571,0.889846765258505,ns,FALSE,16,FALSE,0.89177424171589,ns
RIPK2,eqtl-a-ENSG00000104312,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000104312 || id:eqtl-a-ENSG00000104312,Inverse variance weighted,2,0.0426777309388468,0.0648101655039433,0.51021454847367,2,1.04360152016982,0.919109333663396,1.18495601449264,0.889846765258505,ns,FALSE,8,FALSE,0.89177424171589,ns
NUP210,eqtl-a-ENSG00000132182,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000132182 || id:eqtl-a-ENSG00000132182,Inverse variance weighted,2,-0.0340688439979274,0.0517394402061135,0.510236480903958,2,0.966504964281323,0.873298247079539,1.06965959121565,0.889846765258505,ns,FALSE,3,FALSE,0.89177424171589,ns
MEN1,eqtl-a-ENSG00000133895,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000133895 || id:eqtl-a-ENSG00000133895,Inverse variance weighted,2,0.0628671061990482,0.0958614066138831,0.511944789630776,2,1.0648853131707,0.882478149050309,1.28499581709418,0.889846765258505,ns,FALSE,11,FALSE,0.89177424171589,ns
