gene,logFC,adj.P.Val,module,GS_RA,kME_own
PPP2R3C,0.310836058831405,2.5533528278849e-08,yellow,0.457,0.651
LENG8,-0.310737752429143,6.63174752534097e-09,brown,-0.495,0.806
EXOSC10,-0.310554966647595,3.15308985833242e-09,brown,-0.549,0.902
WDR6,-0.309957701852465,2.66763255600674e-10,brown,-0.552,0.8
UBR3,0.309558324600045,3.23018778240982e-06,yellow,0.425,0.865
CDAN1,-0.309502841028219,2.39623674412749e-08,brown,-0.489,0.567
DGKA,-0.309149161441738,9.29708796433934e-07,brown,-0.471,0.793
STK3,0.307925287873733,0.000541954105496595,yellow,0.322,0.758
BRD2,-0.3078832196622,1.15832873306942e-09,brown,-0.484,0.775
TMC6,-0.307504293892814,7.37593454445763e-08,brown,-0.479,0.802
LPGAT1,0.307140849678747,1.09763745641662e-09,yellow,0.542,0.915
MORC3,0.306355032073194,1.7718045210275e-08,yellow,0.479,0.845
DCHS1,-0.305543498451406,8.35301288755998e-06,brown,-0.416,0.475
PPM1B,0.305456517614313,4.41352186911682e-08,yellow,0.471,0.85
LRRK2,0.305425071784959,1.75030846421408e-08,yellow,0.509,0.859
YIPF4,0.304048282665118,2.38784007101278e-05,yellow,0.371,0.681
SSFA2,0.304019127664318,1.16927253332874e-07,yellow,0.475,0.907
ZAP70,-0.302979879520191,1.64410232254492e-07,brown,-0.464,0.749
TERF2,-0.302867613935996,8.53225564511373e-08,brown,-0.5,0.794
GZMM,-0.302752073763509,1.36125319409715e-06,brown,-0.361,0.543
NSUN3,0.302657645897253,7.79248741574978e-05,yellow,0.384,0.513
TSPYL2,-0.302549197039976,6.31850470117687e-07,brown,-0.441,0.709
SGK223,-0.301682718734351,2.59408211157497e-06,brown,-0.439,0.642
RNF139,0.301090501920167,3.20441749141529e-07,yellow,0.471,0.799
PZP,-0.300790687531554,0.00357905913139184,brown,-0.311,0.487
SLA2,-0.300761249859386,7.00432614463629e-06,brown,-0.378,0.679
HDGFRP3,0.30067825103493,0.00010423861368394,yellow,0.396,0.686
SH3PXD2A,-0.300613391490786,1.69559355065718e-05,brown,-0.353,0.487
VTA1,0.300510808798032,7.67692826227319e-08,yellow,0.454,0.825
DMXL2,0.300425492151889,2.32009682144589e-07,yellow,0.445,0.844
IFFO2,-0.300122534919887,7.35438499119401e-08,brown,-0.452,0.622
POC1B,0.299754662089901,2.8728521606478e-05,yellow,0.375,0.749
MEN1,-0.299528165789516,1.55088018506029e-08,brown,-0.499,0.746
NSUN5P1,-0.299151933069328,2.32172317575747e-09,brown,-0.527,0.792
SRRT,-0.299007485241408,1.30446505682166e-10,brown,-0.592,0.875
CCNG2,0.298554929268898,1.93117439267941e-06,yellow,0.437,0.818
FLNA,-0.298380121983928,5.0646799267816e-06,brown,-0.426,0.812
MAZ,-0.297899965795866,3.67962722150463e-09,brown,-0.517,0.849
ZNF281,0.297772986907564,7.63512123298969e-07,yellow,0.475,0.743
TAF3,-0.297515465359951,1.07632997648529e-06,brown,-0.387,0.59
TUBB,-0.297469720172326,1.86790395519318e-08,brown,-0.507,0.84
IRF3,-0.297381300013875,9.9036089537787e-10,brown,-0.526,0.835
