gene,logFC,adj.P.Val,module,GS_RA,kME_own
RNASEL,0.327404522997784,0.00111303705455337,yellow,0.395,0.702
ANXA2,-0.327213788249669,0.000152317830935707,brown,-0.265,0.532
NDUFAF3,-0.327169433202443,3.00738872841015e-05,brown,-0.315,0.599
SLC2A6,-0.327144424111334,0.00245798285086448,brown,-0.313,0.477
CLN8,-0.327029234928511,0.0111646893176397,brown,-0.187,0.433
CASP1,0.326848507218263,5.96886517706454e-05,yellow,0.391,0.517
RPN2,-0.326721536545446,9.35568177522486e-06,brown,-0.474,0.796
ARHGEF7,-0.326214618918398,7.52306965081799e-05,brown,-0.376,0.687
ATP6AP1L,-0.326178068498742,0.00428687876215097,brown,-0.212,0.331
SHMT2,-0.326018092655014,0.000102835050488878,brown,-0.437,0.754
TMOD3,0.32601560121639,0.00428845031340261,yellow,0.388,0.619
ATP5SL,-0.325719059672242,0.000139603658736736,brown,-0.424,0.741
SGSM3,-0.325381248851703,0.000214995514912201,brown,-0.434,0.689
NCDN,-0.325329424654609,0.00289641113231239,brown,-0.297,0.48
TAB2,0.325172728178108,4.63313814940108e-05,yellow,0.376,0.813
CSNK2A2,-0.325149325438318,3.79241946284966e-05,brown,-0.515,0.704
ZNF862,-0.324991874999676,0.000331332675855718,brown,-0.383,0.492
L3MBTL2,-0.324875598889482,7.24747175863926e-05,brown,-0.463,0.732
GORASP2,-0.324378225016374,2.43451649898634e-05,brown,-0.512,0.801
TRAF3IP2,-0.324220085403973,0.00010752619588363,brown,-0.392,0.492
C2orf42,-0.324120461048461,9.9683914106027e-06,brown,-0.373,0.66
IRGQ,-0.324012693669586,0.000640542657441509,brown,-0.235,0.504
SETD1A,-0.323927717907985,0.000868790928287273,brown,-0.405,0.643
BMS1,-0.323808158785097,0.000685636386689815,brown,-0.488,0.715
DDX19A,-0.323800483617361,0.000224188853956038,brown,-0.429,0.642
ITGA1,0.323394543997452,0.00268601334188854,yellow,0.221,0.406
LARS,-0.323357489971792,2.74454540941014e-05,brown,-0.509,0.78
RASA3,-0.323213471227333,0.00175414101566191,brown,-0.396,0.781
RCE1,-0.322885499257227,0.000100211001517023,brown,-0.229,0.35
CD81,-0.32274363182428,0.00042821756050813,brown,-0.435,0.731
CCDC84,-0.322509609244972,0.000108211952484188,brown,-0.482,0.758
PRRT3,-0.322496053222821,0.00141895326947441,brown,-0.195,0.417
ASXL2,-0.322368530888153,2.6000515590672e-06,brown,-0.472,0.737
ACOT7,-0.322095304461422,0.0011531579381967,brown,-0.233,0.544
UBXN1,-0.321632316600825,9.4289389666014e-06,brown,-0.361,0.725
ZMPSTE24,0.321544862251849,3.18761837956046e-05,yellow,0.48,0.827
CHTF18,-0.321124260026846,0.0226010393249054,brown,-0.353,0.444
SAMD10,-0.32099521999643,0.000375299798471782,brown,-0.269,0.399
ZBTB40,-0.32087542540934,0.000266612179384687,brown,-0.427,0.688
FOXP1,-0.320732979960004,6.16614404048877e-05,brown,-0.469,0.774
FYN,-0.320653848527899,5.61351496788197e-05,brown,-0.491,0.822
RCC2,-0.320451853927467,5.48192314704207e-05,brown,-0.391,0.747
CUEDC2,-0.320389128253897,3.29904176515506e-05,brown,-0.388,0.741
TESK1,-0.320311992111515,7.32281580699089e-05,brown,-0.416,0.674
SFXN3,-0.320040127348049,0.000709037469137376,brown,-0.338,0.652
RBM4,-0.319969304876701,0.00133981009039389,brown,-0.389,0.556
NOL6,-0.319574205375288,0.00285413689220114,brown,-0.501,0.578
MS4A6A,0.319218417924132,0.00389445793734368,yellow,0.441,0.606
P4HB,-0.319172080193737,0.000878336646044017,brown,-0.341,0.75
FAM109A,-0.318602309043996,0.0012026978935587,brown,-0.225,0.512
MTHFR,-0.318554329184479,0.00361217027852303,brown,-0.36,0.614
IGSF8,-0.318244555065707,0.00434837032373189,brown,-0.291,0.488
MMADHC,0.318110877377405,2.6005327333317e-07,yellow,0.569,0.768
PTP4A1,0.317848127283737,0.000738673456591797,yellow,0.385,0.591
NCKIPSD,-0.317832674115309,0.000723758218886075,brown,-0.371,0.633
PFKM,-0.317728720773019,0.000481244239696645,brown,-0.348,0.555
CDC42BPB,-0.317451340108515,0.0119883512987342,brown,-0.013,0.336
GTF3C2,-0.317002201203404,3.18460631853317e-05,brown,-0.511,0.697
PDIA3,-0.316814148396354,0.00829733779571476,brown,-0.42,0.661
TRAM2,-0.316696900170211,0.000618187009991724,brown,-0.351,0.591
NDUFA3,-0.316497035203249,9.05851779041458e-05,brown,-0.319,0.661
FDPS,-0.316494072622072,0.000110436044069691,brown,-0.43,0.685
APOL3,-0.316489880425501,0.0036568271237622,brown,-0.398,0.692
ZFAND5,0.316474070444778,0.000317490441530315,yellow,0.454,0.721
EIF3G,-0.31643297550977,0.000127518008660225,brown,-0.358,0.778
WDR82,-0.316284473841961,0.00042618100968223,brown,-0.44,0.734
DDX27,-0.316217573925412,0.000168847327705942,brown,-0.534,0.814
METTL13,-0.315823349170938,0.000566157731055262,brown,-0.312,0.555
FOXP3,-0.31566200244265,0.00921397322337603,brown,-0.222,0.453
AKR1B1,-0.315426730573391,0.000529033870434124,brown,-0.311,0.697
DNAJB1,-0.315353962752972,3.60196100566522e-05,brown,-0.451,0.796
UPF2,0.315215285838687,0.000241347753717156,yellow,0.381,0.738
C16orf58,-0.315197722693433,0.00131087725957808,brown,-0.364,0.576
PFN1,-0.314731715629543,5.4483257662333e-05,brown,-0.434,0.811
SIN3A,-0.314557011256976,0.00159365496562468,brown,-0.429,0.649
CHD1,0.31447123589757,3.87095656756476e-05,yellow,0.445,0.677
HTR7P1,0.314348721188121,0.0362871032829283,yellow,0.324,0.563
PSMD8,-0.314329526770256,7.76757526831843e-05,brown,-0.403,0.776
LFNG,-0.314329337172476,0.000136594070589021,brown,-0.344,0.66
POLG,-0.314269013923641,6.47043258008662e-06,brown,-0.544,0.778
DCPS,-0.314146296610806,0.000460873430479019,brown,-0.3,0.552
APC,0.313861007110879,0.018951490892252,yellow,0.251,0.459
UROD,-0.313659009888314,0.000556304028233308,brown,-0.325,0.569
SDR39U1,-0.313519470402192,0.000311951504270846,brown,-0.37,0.618
NUDT16L1,-0.313290319774205,0.00158523588009606,brown,-0.421,0.635
FBXO31,-0.312920579372138,0.00106057244300268,brown,-0.454,0.727
RNF5,-0.312832080674238,6.13117796456607e-05,brown,-0.263,0.491
TMEM109,-0.312644402129617,7.18189706575309e-05,brown,-0.509,0.723
ASB7,0.312542850686984,0.000208157648867327,yellow,0.376,0.801
RHOC,-0.312496914776363,0.0171752693101318,brown,-0.127,0.391
U2AF2,-0.312483543041256,0.000219065481805788,brown,-0.548,0.805
AHSA1,-0.312408719365542,0.000215759440802399,brown,-0.338,0.596
DEPDC5,-0.31234247789197,0.000171322784941638,brown,-0.402,0.672
SURF4,-0.312267014295505,2.97693791657137e-05,brown,-0.469,0.783
UBE2G2,-0.31209098678788,0.00268522310875334,brown,-0.458,0.71
PDE4DIP,-0.311845902523339,0.0386048455806378,brown,-0.202,0.339
MICAL3,-0.311418269668525,0.0243211502298256,brown,-0.413,0.518
RABGGTA,-0.311357145728291,0.000864011952927723,brown,-0.289,0.586
SNX18,0.311028640808102,0.00134563500761531,yellow,0.259,0.722
TMEM219,-0.310919149147103,0.000192500100655907,brown,-0.249,0.612
LYSMD2,0.310726064865549,0.000129658535316788,yellow,0.265,0.537
TMEM143,-0.310493291330365,0.00620560161613998,brown,-0.352,0.449
CD74,-0.310461846861549,4.32221887172477e-05,brown,-0.421,0.766
TMEM160,-0.310285434172305,0.00036667390935178,brown,-0.143,0.405
CCDC88C,-0.310156397870639,0.00026690227958215,brown,-0.468,0.723
MORC2,-0.310024817240313,0.000512137122163281,brown,-0.347,0.575
DSERG1,-0.309770928884555,0.0467160864767525,brown,-0.31,0.619
ATAD3A,-0.309742762000579,0.000513496091186647,brown,-0.417,0.633
ANLN,0.309707562412284,0.0177652741765458,yellow,0.275,0.356
THADA,-0.309610360362545,0.000232867511824498,brown,-0.457,0.749
BLMH,-0.309429318393106,0.00152018296458227,brown,-0.338,0.632
ZNF3,-0.309245031754176,0.0413590032138605,brown,-0.303,0.581
FBXW4,-0.309161374428925,0.00122738104534,brown,-0.434,0.791
PDE4B,0.30915805569811,0.00236527058468119,yellow,0.289,0.633
IKBKE,-0.309072996050099,0.000476270825909751,brown,-0.396,0.661
MED26,-0.308973546379982,3.97261507706657e-05,brown,-0.486,0.684
EDF1,-0.30896863189097,0.00056443494576091,brown,-0.433,0.782
TRPV2,-0.308854387865063,4.79731788347316e-05,brown,-0.408,0.819
ZNF575,-0.308775271137213,0.0118901871743064,brown,-0.118,0.416
IRF2BP1,-0.308689085401084,0.00172006649692985,brown,-0.322,0.502
KDM6A,0.308676021102818,0.004745025652662,yellow,0.352,0.625
RUFY3,-0.308646813148114,0.000517911262025797,brown,-0.402,0.589
