gene,id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
SLC25A3,eqtl-a-ENSG00000075415,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000075415 || id:eqtl-a-ENSG00000075415,-0.010924286205042,0.0134344406019754,0.565372593615898
OVGP1,eqtl-a-ENSG00000085465,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000085465 || id:eqtl-a-ENSG00000085465,-0.0176123833007339,0.0324010934562757,0.683029541572506
ZFYVE19,eqtl-a-ENSG00000166140,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000166140 || id:eqtl-a-ENSG00000166140,-0.0203939639590596,0.0415875822349897,0.70974799032041
C2orf42,eqtl-a-ENSG00000115998,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000115998 || id:eqtl-a-ENSG00000115998,-0.0451317354967407,0.0371307128855064,0.438275141019426
ZNF608,eqtl-a-ENSG00000168916,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000168916 || id:eqtl-a-ENSG00000168916,0.0599416620900651,0.12992059014368,0.72480827286966
PJA2,eqtl-a-ENSG00000198961,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000198961 || id:eqtl-a-ENSG00000198961,-0.00695392479967929,0.0223047447602655,0.807601640792365
XPNPEP1,eqtl-a-ENSG00000108039,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000108039 || id:eqtl-a-ENSG00000108039,-0.0847806261205176,0.0336005167682564,0.24021738353503
TMC8,eqtl-a-ENSG00000167895,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000167895 || id:eqtl-a-ENSG00000167895,-0.122229294857975,0.102195161066741,0.443319867964452
DNAJB6,eqtl-a-ENSG00000105993,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105993 || id:eqtl-a-ENSG00000105993,0.0436483261608286,0.0398843088244143,0.388002216570972
PNPLA8,eqtl-a-ENSG00000135241,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000135241 || id:eqtl-a-ENSG00000135241,-0.0499740467100116,0.057929545500415,0.546851831166913
ZNF212,eqtl-a-ENSG00000170260,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170260 || id:eqtl-a-ENSG00000170260,-0.0302405928271522,0.020872073736615,0.384593991298551
UROD,eqtl-a-ENSG00000126088,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000126088 || id:eqtl-a-ENSG00000126088,0.00777054978872585,0.0215291891068891,0.779487999286706
FIBP,eqtl-a-ENSG00000172500,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000172500 || id:eqtl-a-ENSG00000172500,-0.00998987140321185,0.0390451774085211,0.840538948297191
DET1,eqtl-a-ENSG00000140543,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000140543 || id:eqtl-a-ENSG00000140543,0.040590998506997,0.0424651834720659,0.514363057951222
TAF1C,eqtl-a-ENSG00000103168,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000103168 || id:eqtl-a-ENSG00000103168,0.0120822273014346,0.0276473253081167,0.704760352400045
AMZ2,eqtl-a-ENSG00000196704,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000196704 || id:eqtl-a-ENSG00000196704,-0.0332564090862751,0.0330051376012938,0.497585875416375
ATP13A1,eqtl-a-ENSG00000105726,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105726 || id:eqtl-a-ENSG00000105726,0.0146186895981953,0.0154049819916468,0.442802523234084
TBC1D9B,eqtl-a-ENSG00000197226,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000197226 || id:eqtl-a-ENSG00000197226,-0.00947700877537676,0.0225872626737576,0.715570864458864
ANXA6,eqtl-a-ENSG00000197043,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000197043 || id:eqtl-a-ENSG00000197043,0.0361801287452873,0.0237054191801157,0.266486047405902
CNR1,eqtl-a-ENSG00000118432,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000118432 || id:eqtl-a-ENSG00000118432,0.0287114988913462,0.0281839935801919,0.494097762852331
TPM2,eqtl-a-ENSG00000198467,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000198467 || id:eqtl-a-ENSG00000198467,-0.00458272310348058,0.0796740819021097,0.963422971297936
ZFAND5,eqtl-a-ENSG00000107372,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000107372 || id:eqtl-a-ENSG00000107372,0.125994661775205,0.0497850162347278,0.239563955942149
INTS5,eqtl-a-ENSG00000185085,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000185085 || id:eqtl-a-ENSG00000185085,0.0177786499397906,0.0383984625033519,0.723951828846356
ENTPD1,eqtl-a-ENSG00000138185,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000138185 || id:eqtl-a-ENSG00000138185,-0.00852952451717662,0.0429720875574616,0.861008785234696
SCRN2,eqtl-a-ENSG00000141295,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000141295 || id:eqtl-a-ENSG00000141295,0.256405226703464,0.327278081801964,0.57692401226128
TMEM63A,eqtl-a-ENSG00000196187,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000196187 || id:eqtl-a-ENSG00000196187,0.0128294868591395,0.0438226579368321,0.818690240543887
DCTN5,eqtl-a-ENSG00000166847,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000166847 || id:eqtl-a-ENSG00000166847,-0.0424686898303789,0.0348750129935868,0.347493866001113
PCYOX1L,eqtl-a-ENSG00000145882,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000145882 || id:eqtl-a-ENSG00000145882,0.0207128318243096,0.022936835625657,0.461817030714251
CARD16,eqtl-a-ENSG00000204397,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204397 || id:eqtl-a-ENSG00000204397,0.0259386490059535,0.0210309057248048,0.342727195207886
CCDC92,eqtl-a-ENSG00000119242,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119242 || id:eqtl-a-ENSG00000119242,-0.036572747430609,0.0409646524201036,0.536021186390275
ZNF783,eqtl-a-ENSG00000204946,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204946 || id:eqtl-a-ENSG00000204946,-0.0378983821542261,0.165336247451778,0.856552062083963
SLC36A4,eqtl-a-ENSG00000180773,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000180773 || id:eqtl-a-ENSG00000180773,-0.0193102906159527,0.0431272620234166,0.73199428663601
EPB41L2,eqtl-a-ENSG00000079819,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000079819 || id:eqtl-a-ENSG00000079819,-0.0211290799519866,0.0720266380288758,0.818343345240629
TUFM,eqtl-a-ENSG00000178952,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000178952 || id:eqtl-a-ENSG00000178952,-0.0441291644614469,0.0220062184376393,0.294493300991471
MTHFR,eqtl-a-ENSG00000177000,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000177000 || id:eqtl-a-ENSG00000177000,-0.0809461510764158,0.0355649980354097,0.263545117500893
CPSF1,eqtl-a-ENSG00000071894,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000071894 || id:eqtl-a-ENSG00000071894,0.0362501306632196,0.0346758088122567,0.405567433932581
EIF4E3,eqtl-a-ENSG00000163412,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000163412 || id:eqtl-a-ENSG00000163412,0.00244290053269827,0.0245385202733306,0.929778677088473
NCR3,eqtl-a-ENSG00000204475,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204475 || id:eqtl-a-ENSG00000204475,0.126127897410723,0.175007825316601,0.545949074225797
ITGA1,eqtl-a-ENSG00000213949,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000213949 || id:eqtl-a-ENSG00000213949,0.0123611072937075,0.0177629176404655,0.55848667554549
ACAD9,eqtl-a-ENSG00000177646,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000177646 || id:eqtl-a-ENSG00000177646,-0.0676392234776727,0.0457706643621156,0.23598432565574
OSGEP,eqtl-a-ENSG00000092094,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000092094 || id:eqtl-a-ENSG00000092094,-0.0075489694774187,0.036603442630152,0.8705210663417
PDIA6,eqtl-a-ENSG00000143870,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000143870 || id:eqtl-a-ENSG00000143870,0.00399421165069763,0.0244016200150133,0.896710035162166
NUP50,eqtl-a-ENSG00000093000,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000093000 || id:eqtl-a-ENSG00000093000,-0.0490024721176491,0.0751254595553695,0.632050975139714
TMEM71,eqtl-a-ENSG00000165071,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000165071 || id:eqtl-a-ENSG00000165071,0.0243358888634959,0.0453967406120234,0.686727990331694
ALCAM,eqtl-a-ENSG00000170017,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170017 || id:eqtl-a-ENSG00000170017,0.00818278090059778,0.0178922050477906,0.692302700527303
SAMSN1,eqtl-a-ENSG00000155307,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000155307 || id:eqtl-a-ENSG00000155307,0.0178099577275113,0.0603460652771861,0.817300759607156
CPD,eqtl-a-ENSG00000108582,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000108582 || id:eqtl-a-ENSG00000108582,0.0364037922481964,0.0248141839158657,0.380886698806974
HECW2,eqtl-a-ENSG00000138411,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000138411 || id:eqtl-a-ENSG00000138411,-0.0118401531122235,0.0227276691389905,0.694248830197812
CARNS1,eqtl-a-ENSG00000172508,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000172508 || id:eqtl-a-ENSG00000172508,-0.0168398729262483,0.0349815130727344,0.714379319482837
IVD,eqtl-a-ENSG00000128928,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000128928 || id:eqtl-a-ENSG00000128928,0.00826618943512569,0.056058212269578,0.90679745141509
OAT,eqtl-a-ENSG00000065154,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000065154 || id:eqtl-a-ENSG00000065154,-0.0186127196348995,0.0204821666776643,0.459414675023272
TRAF3IP2,eqtl-a-ENSG00000056972,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000056972 || id:eqtl-a-ENSG00000056972,0.015529445734465,0.0179424659099147,0.545815232165704
COMT,eqtl-a-ENSG00000093010,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000093010 || id:eqtl-a-ENSG00000093010,-0.0322469722150459,0.051681746042782,0.64486424024916
STARD3NL,eqtl-a-ENSG00000010270,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000010270 || id:eqtl-a-ENSG00000010270,-0.019348449824362,0.0248953197704261,0.57939916770432
DNAJB1,eqtl-a-ENSG00000132002,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000132002 || id:eqtl-a-ENSG00000132002,,,
DNAJB1,eqtl-a-ENSG00000123159,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000123159 || id:eqtl-a-ENSG00000123159,,,
