gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
TMEM205,-0.131942518529717,7.61406575890903,-4.15509095612108,4.96251568995297e-05,0.000188673745346668,TRUE,Down in RA
PAOX,-0.176070393028367,6.10535789821404,-4.15497033381061,4.96490992053133e-05,0.000188719255069533,TRUE,Down in RA
CNTNAP1,-0.144508018325925,4.0301123855369,-4.15475812932958,4.96912464362887e-05,0.000188833924198462,TRUE,Down in RA
PRLH,-0.124130154945026,3.63996729656035,-4.15384188249746,4.98736206498027e-05,0.000189481292432596,TRUE,Down in RA
HDAC10,-0.132025706893414,4.77639556692267,-4.15357908752171,4.99260465531239e-05,0.000189634764293227,TRUE,Down in RA
ANLN,0.189688854803923,4.04553307790171,4.1521075742533,5.0220578299275e-05,0.000190707534505293,TRUE,Up in RA
SELPLG,-0.155220820623417,10.1359026071753,-4.15190973459235,5.0260303416232e-05,0.000190812418774101,TRUE,Down in RA
HIC2,-0.128268439137544,5.79434555347547,-4.15157862588558,5.03268554088875e-05,0.000191019075803105,TRUE,Down in RA
FBXO7,-0.268939276108952,11.2281993686298,-4.15147966592382,5.03467624431728e-05,0.000191048631774611,TRUE,Down in RA
LRCH3,-0.214348745646089,7.03932768966586,-4.15135488339691,5.03718747345549e-05,0.000191097920924378,TRUE,Down in RA
GUSBP1,-0.157379384858777,4.70893232841115,-4.15098157531158,5.04470738922334e-05,0.000191337157305889,TRUE,Down in RA
PRSS33,-0.579092818439543,7.0478862069777,-4.14952394862764,5.07417265048049e-05,0.00019240842792765,TRUE,Down in RA
TMEM37,-0.127327218604124,4.92185534088064,-4.14921846295295,5.08036871238842e-05,0.000192597046689222,TRUE,Down in RA
DEDD2,-0.160797150402594,8.91576975110429,-4.14906605900558,5.08346257193261e-05,0.000192667998368294,TRUE,Down in RA
ZFPM1,-0.159655624935376,4.66284360938402,-4.14868369822769,5.09123257040248e-05,0.000192916103382823,TRUE,Down in RA
UBE2F,0.150541786136689,8.83999517798104,4.14861056480996,5.09272001536443e-05,0.000192926088926194,TRUE,Up in RA
GNAQ,0.153024711013188,10.6110400707955,4.14664964039409,5.13275800725744e-05,0.00019439611837674,TRUE,Up in RA
STK11IP,-0.142054298988192,7.36815397104455,-4.14637163682042,5.13845854298058e-05,0.000194565270269044,TRUE,Down in RA
KIF3A,0.262237629238688,7.26487668888681,4.14326946883752,5.20248101513249e-05,0.000196942142751041,TRUE,Up in RA
RAB11FIP5,-0.191354173834522,5.00897183131928,-4.14183663997498,5.23230831599526e-05,0.000197990556201249,TRUE,Down in RA
FNTA,0.123352082911214,10.4017835107318,4.14181843675467,5.23268830257188e-05,0.000197990556201249,TRUE,Up in RA
RAB39B,0.299584282955461,5.82719038427201,4.1388326945753,5.29537279737974e-05,0.000200314282229654,TRUE,Up in RA
ITGB1,0.144330719506912,11.2462838617897,4.13840837263635,5.30433927460075e-05,0.000200605326260872,TRUE,Up in RA
WDR61,0.122373860394571,8.48109320246028,4.13678167350207,5.33884810923568e-05,0.000201765194787538,TRUE,Up in RA
HDHD2,0.158894625843621,8.28473977001094,4.13627556980669,5.34962827187882e-05,0.000202124138182229,TRUE,Up in RA
MORN3,-0.21253485348307,4.39030667076107,-4.13574321237144,5.36099008310448e-05,0.00020250488061341,TRUE,Down in RA
ATP13A2,-0.154726035358684,5.50822161493734,-4.13522493704938,5.37207348740481e-05,0.000202874926645812,TRUE,Down in RA
MRPL44,0.132455413854018,7.21908513058765,4.13513427405837,5.37401457842948e-05,0.000202899621077326,TRUE,Up in RA
OVGP1,-0.195066031913125,5.6223210632382,-4.1341085223571,5.39602259900657e-05,0.000203681762998421,TRUE,Down in RA
LYSMD2,0.150434154534962,8.98021268669438,4.13381389662528,5.40235983989161e-05,0.000203872152636369,TRUE,Up in RA
HSD17B1,-0.141253471791058,5.19055212107645,-4.13335335253751,5.41228013802589e-05,0.000204197634791053,TRUE,Down in RA
PDZD8,0.28768781062458,6.36898364029125,4.13184775473069,5.44483285558787e-05,0.000205376645854586,TRUE,Up in RA
HIST1H4H,0.294649767051103,4.82710155921627,4.13122994914606,5.45824454378943e-05,0.000205833274506586,TRUE,Up in RA
