sex,flat_train_CV_AUC,nested_CV_AUC,nested_CI,per_repeat_mean,per_repeat_sd
Female,0.792,0.816,0.747-0.884,0.811,0.01
Male,0.966,0.896,0.800-0.993,0.822,0.06
