gene,nsnp_coloc,PP0,PP1,PP2,PP3,PP4,PP4_cons,coloc_status,PP4_conditional,coloc_verdict,MHC_gene,instrument_chr,nSNP,method,OR,MR_pval,mhc_verdict,in_panel_female,in_panel_male,in_FS_female,in_FS_male
GNL1,1885,3.70831391946174e-60,1.11817750142532e-52,3.31638713527977e-08,0.999998801855561,1.16498058043427e-06,1.1649818018973e-07,,1.16498061906952e-06,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,4.629,9e-18,UNTESTABLE without MHC (no non-MHC instrument),TRUE,FALSE,TRUE,FALSE
WDR46,2020,8.19948156230284e-126,4.17760749691523e-106,1.96272186134232e-20,1,7.18757246334632e-18,7.18757246334638e-19,,7.18757246334632e-18,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,4.531,5.2e-42,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
C6orf136,1911,3.01022680742344e-106,5.86582601369728e-83,5.13180377391752e-24,1,1.9701173230056e-24,1.97011732300562e-25,,1.9701173230056e-24,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.537,1.2e-08,UNTESTABLE without MHC (no non-MHC instrument),TRUE,FALSE,TRUE,TRUE
ZBTB9,1119,2.87537863368789e-118,9.53938666841615e-87,3.01421751065806e-32,1,1.36682274909614e-33,1.36682274909615e-34,,1.36682274909614e-33,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,1.589,4.6e-06,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,FALSE
VPS52,2182,2.46668809939258e-142,4.17760749691499e-106,5.90454728265897e-37,1,1.35939874423906e-33,1.35939874423907e-34,,1.35939874423906e-33,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.414,4.2e-24,UNTESTABLE without MHC (no non-MHC instrument),FALSE,TRUE,TRUE,TRUE
CSNK2B,1897,1.43173388138422e-233,1.1404138107836e-194,1.25545119486104e-39,1,1.2787237358679e-34,1.27872373586792e-35,,1.2787237358679e-34,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.546,1.3e-11,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
HLA-DMA,4193,3.76219774785653e-287,2.90452005328519e-243,1.29529067757727e-44,1,9.60173776170051e-44,9.60173776170059e-45,,9.60173776170051e-44,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.559,3.5e-12,UNTESTABLE without MHC (no non-MHC instrument),FALSE,TRUE,TRUE,TRUE
AIF1,2567,2.36410821786389e-253,1.46586620847463e-178,1.61277216446929e-75,1,1.58436461420614e-56,1.58436461420616e-57,,1.58436461420614e-56,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,2,Inverse variance weighted,0.556,2.53e-24,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
LSM2,1026,1.0996617359951e-261,1.14041381078347e-194,9.64265537296124e-68,1,5.73391826104515e-69,5.7339182610452e-70,,5.73391826104515e-69,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,1.739,3.5e-11,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,FALSE
BRD2,3807,3.2221276039303e-303,3.12827513255286e-234,1.03000134815547e-69,1,8.78071256832477e-71,8.78071256832385e-72,,8.78071256832477e-71,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,1.554,9.9e-09,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
DAXX,1823,1.7067702976842e-182,4.17762074860771e-106,4.08550799699344e-77,1,2.57120444476829e-71,2.57120444476831e-72,,2.57120444476829e-71,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,2,Inverse variance weighted,0.484,2.98e-06,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
VARS2,2775,0,2.69912214848906e-94,0,1,1.7513624948966e-80,1.75136249489602e-81,,1.7513624948966e-80,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,3,Inverse variance weighted,1.203,1.08e-16,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
HLA-DPA1,2635,0,3.12827513266418e-234,1.51309286888027e-95,1,1.27965185848724e-95,1.2796518584871e-96,,1.27965185848724e-95,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,2,Inverse variance weighted,1.768,1.51e-10,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,FALSE
AP4B1,742,3.25620586496398e-275,2.34697389272894e-141,1.38740608706901e-134,1,9.00448296961052e-130,9.00448296961061e-131,,9.00448296961052e-130,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,1,1,Wald ratio,1.424,1.3e-12,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
