method,gene
LASSO,GNL1
LASSO,C6orf136
LASSO,IKZF3
LASSO,MED1
LASSO,SMARCC2
LASSO,ESYT1
LASSO,FCGR2B
RandomForest,MED1
RandomForest,C6orf136
RandomForest,WDR46
RandomForest,ESYT1
RandomForest,BRD2
RandomForest,SMARCC2
RandomForest,GNL1
RandomForest,IKZF3
RandomForest,DAXX
RandomForest,CDC37
SVM_RFE,ESYT1
SVM_RFE,MED1
SVM_RFE,GNL1
SVM_RFE,C6orf136
SVM_RFE,SMARCC2
SVM_RFE,WDR46
SVM_RFE,BRD2
SVM_RFE,IKZF3
