sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Male,HDGFRP3,yellow,0.523043979795453,0.000654308630838478,Up in RA,0.686,0.396
Male,TXNDC17,yellow,0.522630918310482,4.23922936900545e-05,Up in RA,0.745,0.493
Male,RAB11FIP3,brown,-0.522619881008277,0.000228515079958224,Down in RA,0.652,-0.431
Male,MCTP1,yellow,0.522416778219088,0.0441131368556981,Up in RA,0.457,0.229
Male,CD46,yellow,0.521303410462615,2.93434510802894e-06,Up in RA,0.9,0.447
Male,USP11,brown,-0.520964154351746,1.39135713673781e-05,Down in RA,0.844,-0.522
Male,ECHS1,brown,-0.519934266560568,1.10193228608394e-07,Down in RA,0.852,-0.493
Male,ADAM10,yellow,0.519447925323033,8.88038712219397e-05,Up in RA,0.78,0.43
Male,UBL3,yellow,0.51919096415289,3.65703520650231e-07,Up in RA,0.814,0.458
Male,TMEM214,brown,-0.518993801492599,8.7736082680784e-06,Down in RA,0.651,-0.336
Male,RB1,yellow,0.517776154941281,6.79483587299333e-05,Up in RA,0.83,0.407
Male,HECTD3,brown,-0.517749016342068,2.76812892852489e-06,Down in RA,0.668,-0.457
Male,PJA2,yellow,0.517502880113811,6.04796403658513e-08,Up in RA,0.901,0.475
Male,MON1A,brown,-0.517341618228892,9.05056670328795e-06,Down in RA,0.58,-0.398
Male,BAZ1B,brown,-0.515833970473613,9.69272626627326e-07,Down in RA,0.876,-0.53
Male,SGK223,brown,-0.515543553957628,1.1239935436524e-05,Down in RA,0.642,-0.439
Male,CLVS1,yellow,0.514582414915547,0.00576872886308909,Up in RA,0.531,0.214
Male,PGM2,yellow,0.513356786035989,1.52791367986133e-05,Up in RA,0.829,0.406
Male,DPH3,yellow,0.512962979869333,8.31906837956111e-06,Up in RA,0.775,0.491
Male,POC1B,yellow,0.512838669041972,0.000249191764316455,Up in RA,0.749,0.375
Male,MAP4K1,brown,-0.512662265060376,2.40881632063094e-07,Down in RA,0.871,-0.555
Male,CDK5R1,yellow,0.511832894257709,0.00388122985234482,Up in RA,0.637,0.47
Male,EPHB6,brown,-0.511104208205461,1.4104290573282e-05,Down in RA,0.526,-0.372
Male,GGA2,brown,-0.511045397291717,9.91697465562785e-07,Down in RA,0.809,-0.53
Male,APBB1,brown,-0.510901788297798,3.04852637006177e-06,Down in RA,0.459,-0.299
Male,EXOSC10,brown,-0.510690436055583,7.69283050278822e-07,Down in RA,0.902,-0.549
Male,RANGAP1,brown,-0.510251279719901,1.24243647352724e-05,Down in RA,0.792,-0.511
Male,ZMIZ2,brown,-0.510016198134344,8.58597826363563e-05,Down in RA,0.767,-0.534
Male,SIAH1,yellow,0.509971199933105,1.88971420903058e-06,Up in RA,0.841,0.46
Male,ENO1,brown,-0.509697905114817,2.47954839376653e-06,Down in RA,0.783,-0.455
Male,NISCH,brown,-0.50870358311847,1.07986523271479e-06,Down in RA,0.852,-0.525
Male,UQCRC1,brown,-0.507841912965761,5.82603022371724e-05,Down in RA,0.546,-0.368
Male,SEMA6A,brown,-0.50687223214868,0.00648487742235683,Down in RA,0.528,-0.241
Male,MLLT6,brown,-0.506317257493619,5.81464148723566e-06,Down in RA,0.866,-0.549
Male,EML3,brown,-0.505707605584416,9.90926277547962e-07,Down in RA,0.687,-0.386
Male,SLC25A45,brown,-0.504569958041323,2.83970747971874e-05,Down in RA,0.802,-0.504
Male,SNX29,brown,-0.504195220203151,0.000110755705729911,Down in RA,0.542,-0.456
Male,ZNF281,yellow,0.503770038562815,4.40541995541447e-05,Up in RA,0.743,0.475
Male,TMC6,brown,-0.503468549504207,6.24252848100407e-05,Down in RA,0.802,-0.479
Male,ARHGAP32,brown,-0.503420883538138,8.83046738100066e-05,Down in RA,0.398,-0.375
Male,TPP1,brown,-0.503223915897235,1.9246386542721e-06,Down in RA,0.751,-0.415
Male,PTPN23,brown,-0.502108619279465,2.1542775374337e-05,Down in RA,0.696,-0.437
Male,MMP19,brown,-0.5013159001825,3.88492855927793e-05,Down in RA,0.688,-0.442
Male,KHSRP,brown,-0.500972101844506,6.40117373894156e-07,Down in RA,0.911,-0.564
Male,VIPR1,brown,-0.500823654315855,3.62935880394899e-05,Down in RA,0.527,-0.249
Male,ZNF350,yellow,0.500701657690959,6.70880217718335e-05,Up in RA,0.699,0.424
Male,TOPORS,yellow,0.500290531004706,5.0128661795779e-05,Up in RA,0.818,0.377
Male,RAB2A,yellow,0.500052150571126,1.59807614394394e-06,Up in RA,0.712,0.338
Male,SNX10,yellow,0.500014900306416,1.69002481088721e-05,Up in RA,0.913,0.426
Male,GEMIN4,brown,-0.498177583725407,2.23457494745436e-05,Down in RA,0.744,-0.547
