gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
HLA-DRB1,eqtl-a-ENSG00000196126,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000196126 || id:eqtl-a-ENSG00000196126,Wald ratio,1,-1.08845950909809,0.0321838301651236,9.9986145281549e-251,1,0.336734831301028,0.316149582130841,0.358660434870998,1.69376530106944e-247,protective (OR<1),TRUE,6,FALSE,1.47779522726129e-247,protective (OR<1)
WDR46,eqtl-a-ENSG00000227057,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000227057 || id:eqtl-a-ENSG00000227057,Wald ratio,1,1.51096661694573,0.111257064224038,5.20120980120305e-42,1,4.53110852446203,3.64334702335267,5.63518773502928,4.40542470161898e-39,risk (OR>1),TRUE,6,FALSE,3.84369404308905e-39,risk (OR>1)
AIF1,eqtl-a-ENSG00000204472,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204472 || id:eqtl-a-ENSG00000204472,Inverse variance weighted,2,-0.586790862969021,0.0576627549543427,2.53117430053952e-24,2,0.556109054393589,0.49667973216735,0.622649285544696,1.42926975503798e-21,protective (OR<1),TRUE,6,FALSE,1.24702520539914e-21,protective (OR<1)
VPS52,eqtl-a-ENSG00000223501,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000223501 || id:eqtl-a-ENSG00000223501,Wald ratio,1,-0.882789574389686,0.0871730898145641,4.19922834391828e-24,1,0.413627456257591,0.348663212303348,0.490696083019145,1.77837320364939e-21,protective (OR<1),TRUE,6,FALSE,1.5516148730778e-21,protective (OR<1)
VARS2,eqtl-a-ENSG00000137411,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000137411 || id:eqtl-a-ENSG00000137411,Inverse variance weighted,3,0.184941918994034,0.0222953133651749,1.08491233463013e-16,3,1.20314855801973,1.15170459886886,1.25689039888064,3.06306915810575e-14,risk (OR>1),TRUE,6,TRUE,3.20700086116668e-14,risk (OR>1)
AP4B1,eqtl-a-ENSG00000134262,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000134262 || id:eqtl-a-ENSG00000134262,Wald ratio,1,0.353138683919453,0.0497777239049077,1.29996937712876e-12,1,1.42352855026351,1.29120300402198,1.5694151323248,3.1459258926516e-10,risk (OR>1),FALSE,1,FALSE,3.20225789899384e-10,risk (OR>1)
HLA-DMA,eqtl-a-ENSG00000204257,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204257 || id:eqtl-a-ENSG00000204257,Wald ratio,1,-0.582203355023441,0.0836975080824498,3.49966353476916e-12,1,0.558666069779015,0.474141029540183,0.658259374484021,7.41053753487371e-10,protective (OR<1),TRUE,6,FALSE,7.38928957769832e-10,protective (OR<1)
CSNK2B,eqtl-a-ENSG00000204435,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204435 || id:eqtl-a-ENSG00000204435,Wald ratio,1,-0.604432231490299,0.089298622026917,1.29978374911488e-11,1,0.54638455853634,0.458654749970677,0.650895005068708,2.44648185666735e-09,protective (OR<1),TRUE,6,FALSE,2.40135047648975e-09,protective (OR<1)
BRD2,eqtl-a-ENSG00000204256,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204256 || id:eqtl-a-ENSG00000204256,Wald ratio,1,0.440511819658004,0.0768453885500732,9.89942317931992e-09,1,1.55350212799669,1.33628698088671,1.8060258733411,1.39746857214733e-06,risk (OR>1),TRUE,6,FALSE,1.62570527322609e-06,risk (OR>1)
C6orf136,eqtl-a-ENSG00000204564,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204564 || id:eqtl-a-ENSG00000204564,Wald ratio,1,-0.622200306070396,0.109163067505526,1.19995423521422e-08,1,0.536762096416345,0.43337151420369,0.664818841816754,1.56363267265606e-06,protective (OR<1),TRUE,6,FALSE,1.77353235964661e-06,protective (OR<1)
PHF19,eqtl-a-ENSG00000119403,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119403 || id:eqtl-a-ENSG00000119403,Inverse variance weighted,2,-0.234958837430076,0.0423800912737612,2.95494911145363e-08,2,0.790603392226377,0.72758545979527,0.859079459855801,3.57548842485889e-06,protective (OR<1),FALSE,9,FALSE,3.97037707884405e-06,protective (OR<1)
IKZF3,eqtl-a-ENSG00000161405,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000161405 || id:eqtl-a-ENSG00000161405,Inverse variance weighted,2,0.160712428645606,0.0293410116853148,4.31623171944744e-08,2,1.17434721163338,1.10871761510591,1.24386169632504,4.87446435516264e-06,risk (OR>1),FALSE,17,FALSE,5.31615873445276e-06,risk (OR>1)
NCOA5,eqtl-a-ENSG00000124160,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000124160 || id:eqtl-a-ENSG00000124160,Wald ratio,1,-0.863366412162359,0.177806745747729,1.19995590274947e-06,1,0.421739939439789,0.297640875844244,0.597581148806166,0.0001270453312036,protective (OR<1),FALSE,20,FALSE,0.000136425755712594,protective (OR<1)
DAXX,eqtl-a-ENSG00000204209,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204209 || id:eqtl-a-ENSG00000204209,Inverse variance weighted,2,-0.726594288437873,0.155509336267758,2.97770723177356e-06,2,0.483553031085274,0.356510143141515,0.6558678297659,0.000296719767683789,protective (OR<1),TRUE,6,FALSE,0.000314360806325809,protective (OR<1)
PGAP3,eqtl-a-ENSG00000161395,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000161395 || id:eqtl-a-ENSG00000161395,Wald ratio,1,-0.150160479976587,0.0325260231208234,3.90029485981788e-06,1,0.860569861111821,0.807419850390927,0.917218576550296,0.000367061082918416,protective (OR<1),FALSE,17,FALSE,0.000384309053520721,protective (OR<1)
TAB1,eqtl-a-ENSG00000100324,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000100324 || id:eqtl-a-ENSG00000100324,Wald ratio,1,-0.849080734534137,0.196798831946911,1.59993328705364e-05,1,0.427808020383891,0.290891060294825,0.629169222729943,0.00135514349413443,protective (OR<1),FALSE,22,FALSE,0.0014779383739158,protective (OR<1)
