gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
ESYT1,FALSE,12,1,Wald ratio,0.67,0.532,0.845,0.00071,0.0362,1,Wald ratio,0.67,0.532,0.845,0.00071,0.0685,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),TRUE
LAX1,FALSE,1,2,Inverse variance weighted,1.084,1.034,1.137,0.000914,0.045,2,Inverse variance weighted,1.084,1.034,1.137,0.000914,0.0827,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),TRUE
RETSAT,FALSE,2,3,Inverse variance weighted,0.921,0.877,0.967,0.00102,0.0475,3,Inverse variance weighted,0.921,0.877,0.967,0.00102,0.0828,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),TRUE
FCGR2B,FALSE,1,2,Inverse variance weighted,1.094,1.037,1.155,0.00103,0.0475,2,Inverse variance weighted,1.094,1.037,1.155,0.00103,0.0828,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),TRUE
NFX1,FALSE,9,1,Wald ratio,0.52,0.35,0.772,0.0012,0.0537,1,Wald ratio,0.52,0.35,0.772,0.0012,0.0915,TRUE,ns in both,TRUE
TRAM2,FALSE,6,1,Wald ratio,0.771,0.657,0.904,0.0014,0.0608,1,Wald ratio,0.771,0.657,0.904,0.0014,0.101,TRUE,ns in both,TRUE
COQ4,FALSE,9,1,Wald ratio,3.138,1.542,6.383,0.0016,0.0675,1,Wald ratio,3.138,1.542,6.383,0.0016,0.11,TRUE,ns in both,TRUE
ATP13A2,FALSE,1,1,Wald ratio,1.273,1.088,1.488,0.0025,0.0998,1,Wald ratio,1.273,1.088,1.488,0.0025,0.157,TRUE,ns in both,TRUE
TXNDC11,FALSE,16,1,Wald ratio,0.76,0.636,0.908,0.0025,0.0998,1,Wald ratio,0.76,0.636,0.908,0.0025,0.157,TRUE,ns in both,TRUE
CPSF4,FALSE,7,1,Wald ratio,0.704,0.56,0.886,0.0027,0.105,1,Wald ratio,0.704,0.56,0.886,0.0027,0.163,TRUE,ns in both,TRUE
PPP2R3C,FALSE,14,4,Inverse variance weighted,0.95,0.919,0.983,0.00281,0.106,4,Inverse variance weighted,0.95,0.919,0.983,0.00281,0.163,TRUE,ns in both,TRUE
MMS19,FALSE,10,1,Wald ratio,1.342,1.104,1.633,0.0032,0.118,1,Wald ratio,1.342,1.104,1.633,0.0032,0.178,TRUE,ns in both,TRUE
GDF11,FALSE,12,1,Wald ratio,1.664,1.182,2.342,0.0035,0.123,1,Wald ratio,1.664,1.182,2.342,0.0035,0.181,TRUE,ns in both,TRUE
TPR,FALSE,1,1,Wald ratio,1.949,1.245,3.051,0.0035,0.123,1,Wald ratio,1.949,1.245,3.051,0.0035,0.181,TRUE,ns in both,TRUE
CD247,FALSE,1,2,Inverse variance weighted,0.901,0.839,0.967,0.0037,0.127,2,Inverse variance weighted,0.901,0.839,0.967,0.0037,0.185,TRUE,ns in both,TRUE
FBXW8,FALSE,12,2,Inverse variance weighted,0.876,0.798,0.963,0.00596,0.2,2,Inverse variance weighted,0.876,0.798,0.963,0.00596,0.288,TRUE,ns in both,TRUE
MYCBP2,FALSE,13,1,Wald ratio,0.666,0.497,0.893,0.0066,0.214,1,Wald ratio,0.666,0.497,0.893,0.0066,0.298,TRUE,ns in both,TRUE
ACAP1,FALSE,17,1,Wald ratio,0.9,0.834,0.971,0.0068,0.214,1,Wald ratio,0.9,0.834,0.971,0.0068,0.298,TRUE,ns in both,TRUE
SLC25A23,FALSE,19,1,Wald ratio,2.277,1.255,4.133,0.0068,0.214,1,Wald ratio,2.277,1.255,4.133,0.0068,0.298,TRUE,ns in both,TRUE
FARP2,FALSE,2,2,Inverse variance weighted,1.119,1.031,1.215,0.00715,0.22,2,Inverse variance weighted,1.119,1.031,1.215,0.00715,0.305,TRUE,ns in both,TRUE
AZI2,FALSE,3,2,Inverse variance weighted,0.873,0.791,0.965,0.00776,0.234,2,Inverse variance weighted,0.873,0.791,0.965,0.00776,0.321,TRUE,ns in both,TRUE
BTN3A3,TRUE,6,1,Wald ratio,0.715,0.556,0.919,0.0087,0.253,,,,,,,,FALSE,ns in both,
DNAH1,FALSE,3,3,Inverse variance weighted,0.859,0.766,0.962,0.00884,0.253,3,Inverse variance weighted,0.859,0.766,0.962,0.00884,0.348,TRUE,ns in both,TRUE
CCPG1,FALSE,15,1,Wald ratio,0.78,0.648,0.94,0.0089,0.253,1,Wald ratio,0.78,0.648,0.94,0.0089,0.348,TRUE,ns in both,TRUE
CD86,FALSE,3,3,Inverse variance weighted,1.188,1.042,1.354,0.00998,0.278,3,Inverse variance weighted,1.188,1.042,1.354,0.00998,0.38,TRUE,ns in both,TRUE
