gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
TSPAN32,FALSE,11,2,Inverse variance weighted,0.907,0.786,1.046,0.179,0.764,2,Inverse variance weighted,0.907,0.786,1.046,0.179,0.795,TRUE,ns in both,TRUE
C17orf67,FALSE,17,1,Wald ratio,0.912,0.797,1.044,0.18,0.764,1,Wald ratio,0.912,0.797,1.044,0.18,0.795,TRUE,ns in both,TRUE
COG1,FALSE,17,1,Wald ratio,0.939,0.856,1.03,0.18,0.764,1,Wald ratio,0.939,0.856,1.03,0.18,0.795,TRUE,ns in both,TRUE
IMPDH2,FALSE,3,1,Wald ratio,0.813,0.601,1.1,0.18,0.764,1,Wald ratio,0.813,0.601,1.1,0.18,0.795,TRUE,ns in both,TRUE
JAK2,FALSE,9,1,Wald ratio,1.069,0.969,1.18,0.18,0.764,1,Wald ratio,1.069,0.969,1.18,0.18,0.795,TRUE,ns in both,TRUE
KLF3,FALSE,4,1,Wald ratio,0.755,0.5,1.139,0.18,0.764,1,Wald ratio,0.755,0.5,1.139,0.18,0.795,TRUE,ns in both,TRUE
LBR,FALSE,1,1,Wald ratio,1.209,0.916,1.594,0.18,0.764,1,Wald ratio,1.209,0.916,1.594,0.18,0.795,TRUE,ns in both,TRUE
R3HDM2,FALSE,12,1,Wald ratio,1.253,0.901,1.742,0.18,0.764,1,Wald ratio,1.253,0.901,1.742,0.18,0.795,TRUE,ns in both,TRUE
RAD54L2,FALSE,3,1,Wald ratio,0.68,0.387,1.195,0.18,0.764,1,Wald ratio,0.68,0.387,1.195,0.18,0.795,TRUE,ns in both,TRUE
RANGAP1,FALSE,22,1,Wald ratio,1.215,0.914,1.617,0.18,0.764,1,Wald ratio,1.215,0.914,1.617,0.18,0.795,TRUE,ns in both,TRUE
ZNF562,FALSE,19,1,Wald ratio,1.307,0.884,1.931,0.18,0.764,1,Wald ratio,1.307,0.884,1.931,0.18,0.795,TRUE,ns in both,TRUE
OSBPL5,FALSE,11,3,Inverse variance weighted,0.956,0.894,1.022,0.184,0.78,3,Inverse variance weighted,0.956,0.894,1.022,0.184,0.809,TRUE,ns in both,TRUE
DCBLD2,FALSE,3,5,Inverse variance weighted,0.951,0.884,1.024,0.185,0.78,5,Inverse variance weighted,0.951,0.884,1.024,0.185,0.809,TRUE,ns in both,TRUE
ZNF586,FALSE,19,2,Inverse variance weighted,0.959,0.901,1.02,0.186,0.78,2,Inverse variance weighted,0.959,0.901,1.02,0.186,0.809,TRUE,ns in both,TRUE
ANXA3,FALSE,4,4,Inverse variance weighted,1.061,0.972,1.159,0.187,0.78,4,Inverse variance weighted,1.061,0.972,1.159,0.187,0.809,TRUE,ns in both,TRUE
PDIA4,FALSE,7,2,Inverse variance weighted,1.101,0.954,1.27,0.188,0.78,2,Inverse variance weighted,1.101,0.954,1.27,0.188,0.809,TRUE,ns in both,TRUE
ADAM10,FALSE,15,1,Wald ratio,1.188,0.918,1.537,0.19,0.78,1,Wald ratio,1.188,0.918,1.537,0.19,0.809,TRUE,ns in both,TRUE
CCT7,FALSE,2,1,Wald ratio,0.875,0.718,1.068,0.19,0.78,1,Wald ratio,0.875,0.718,1.068,0.19,0.809,TRUE,ns in both,TRUE
DAG1,FALSE,3,1,Wald ratio,1.168,0.926,1.474,0.19,0.78,1,Wald ratio,1.168,0.926,1.474,0.19,0.809,TRUE,ns in both,TRUE
LUZP1,FALSE,1,1,Wald ratio,0.893,0.754,1.058,0.19,0.78,1,Wald ratio,0.893,0.754,1.058,0.19,0.809,TRUE,ns in both,TRUE
PIGU,FALSE,20,1,Wald ratio,0.795,0.563,1.121,0.19,0.78,1,Wald ratio,0.795,0.563,1.121,0.19,0.809,TRUE,ns in both,TRUE
RUFY3,FALSE,4,1,Wald ratio,0.857,0.68,1.08,0.19,0.78,1,Wald ratio,0.857,0.68,1.08,0.19,0.809,TRUE,ns in both,TRUE
SGSM3,FALSE,22,1,Wald ratio,0.804,0.58,1.114,0.19,0.78,1,Wald ratio,0.804,0.58,1.114,0.19,0.809,TRUE,ns in both,TRUE
PDZD8,FALSE,10,2,Inverse variance weighted,1.037,0.982,1.095,0.192,0.784,2,Inverse variance weighted,1.037,0.982,1.095,0.192,0.814,TRUE,ns in both,TRUE
SOX12,FALSE,20,2,Inverse variance weighted,0.801,0.574,1.118,0.192,0.784,2,Inverse variance weighted,0.801,0.574,1.118,0.192,0.814,TRUE,ns in both,TRUE
NCOA3,FALSE,20,2,Inverse variance weighted,1.092,0.956,1.247,0.193,0.785,2,Inverse variance weighted,1.092,0.956,1.247,0.193,0.815,TRUE,ns in both,TRUE
PELI1,FALSE,2,2,Inverse variance weighted,1.238,0.897,1.707,0.194,0.786,2,Inverse variance weighted,1.238,0.897,1.707,0.194,0.815,TRUE,ns in both,TRUE
NFRKB,FALSE,11,3,Inverse variance weighted,1.076,0.963,1.203,0.195,0.787,3,Inverse variance weighted,1.076,0.963,1.203,0.195,0.817,TRUE,ns in both,TRUE
METTL13,FALSE,1,2,Inverse variance weighted,1.044,0.978,1.115,0.197,0.789,2,Inverse variance weighted,1.044,0.978,1.115,0.197,0.818,TRUE,ns in both,TRUE
ELOVL5,FALSE,6,2,Inverse variance weighted,1.115,0.945,1.315,0.199,0.789,2,Inverse variance weighted,1.115,0.945,1.315,0.199,0.818,TRUE,ns in both,TRUE
ALDH18A1,FALSE,10,1,Wald ratio,1.097,0.952,1.263,0.2,0.789,1,Wald ratio,1.097,0.952,1.263,0.2,0.818,TRUE,ns in both,TRUE
ATP8B4,FALSE,15,4,Inverse variance weighted,1.037,0.981,1.095,0.2,0.789,4,Inverse variance weighted,1.037,0.981,1.095,0.2,0.818,TRUE,ns in both,TRUE
BMS1,FALSE,10,1,Wald ratio,1.186,0.914,1.538,0.2,0.789,1,Wald ratio,1.186,0.914,1.538,0.2,0.818,TRUE,ns in both,TRUE
CREB3L2,FALSE,7,1,Wald ratio,0.812,0.591,1.116,0.2,0.789,1,Wald ratio,0.812,0.591,1.116,0.2,0.818,TRUE,ns in both,TRUE
FBXL5,FALSE,4,2,Inverse variance weighted,1.105,0.948,1.288,0.2,0.789,2,Inverse variance weighted,1.105,0.948,1.288,0.2,0.818,TRUE,ns in both,TRUE
NCKAP1L,FALSE,12,1,Wald ratio,1.112,0.945,1.309,0.2,0.789,1,Wald ratio,1.112,0.945,1.309,0.2,0.818,TRUE,ns in both,TRUE
RPAP1,FALSE,15,2,Inverse variance weighted,1.04,0.979,1.104,0.2,0.789,2,Inverse variance weighted,1.04,0.979,1.104,0.2,0.818,TRUE,ns in both,TRUE
SCRIB,FALSE,8,1,Wald ratio,1.295,0.872,1.921,0.2,0.789,1,Wald ratio,1.295,0.872,1.921,0.2,0.818,TRUE,ns in both,TRUE
DCPS,FALSE,11,3,Inverse variance weighted,0.939,0.851,1.035,0.203,0.796,3,Inverse variance weighted,0.939,0.851,1.035,0.203,0.82,TRUE,ns in both,TRUE
SF3A3,FALSE,1,2,Inverse variance weighted,1.138,0.931,1.39,0.207,0.797,2,Inverse variance weighted,1.138,0.931,1.39,0.207,0.82,TRUE,ns in both,TRUE
CCNG2,FALSE,4,2,Inverse variance weighted,0.861,0.682,1.087,0.208,0.797,2,Inverse variance weighted,0.861,0.682,1.087,0.208,0.82,TRUE,ns in both,TRUE
DYNLL2,FALSE,17,1,Wald ratio,0.818,0.597,1.12,0.21,0.797,1,Wald ratio,0.818,0.597,1.12,0.21,0.82,TRUE,ns in both,TRUE
GNG7,FALSE,19,1,Wald ratio,1.619,0.762,3.439,0.21,0.797,1,Wald ratio,1.619,0.762,3.439,0.21,0.82,TRUE,ns in both,TRUE
GPN2,FALSE,1,1,Wald ratio,1.305,0.861,1.981,0.21,0.797,1,Wald ratio,1.305,0.861,1.981,0.21,0.82,TRUE,ns in both,TRUE
KLK1,FALSE,19,1,Wald ratio,1.117,0.94,1.327,0.21,0.797,1,Wald ratio,1.117,0.94,1.327,0.21,0.82,TRUE,ns in both,TRUE
NOC4L,FALSE,12,1,Wald ratio,1.404,0.826,2.385,0.21,0.797,1,Wald ratio,1.404,0.826,2.385,0.21,0.82,TRUE,ns in both,TRUE
PUF60,FALSE,8,1,Wald ratio,1.724,0.736,4.04,0.21,0.797,1,Wald ratio,1.724,0.736,4.04,0.21,0.82,TRUE,ns in both,TRUE
STK38L,FALSE,12,1,Wald ratio,0.81,0.582,1.126,0.21,0.797,1,Wald ratio,0.81,0.582,1.126,0.21,0.82,TRUE,ns in both,TRUE
SULT1B1,FALSE,4,1,Wald ratio,0.877,0.714,1.077,0.21,0.797,1,Wald ratio,0.877,0.714,1.077,0.21,0.82,TRUE,ns in both,TRUE
THAP5,FALSE,7,1,Wald ratio,1.118,0.939,1.332,0.21,0.797,1,Wald ratio,1.118,0.939,1.332,0.21,0.82,TRUE,ns in both,TRUE
THAP6,FALSE,4,1,Wald ratio,0.887,0.736,1.07,0.21,0.797,1,Wald ratio,0.887,0.736,1.07,0.21,0.82,TRUE,ns in both,TRUE
PHTF1,FALSE,1,2,Inverse variance weighted,0.718,0.426,1.209,0.213,0.797,2,Inverse variance weighted,0.718,0.426,1.209,0.213,0.82,TRUE,ns in both,TRUE
ZNF212,FALSE,7,3,Inverse variance weighted,0.952,0.882,1.029,0.213,0.797,3,Inverse variance weighted,0.952,0.882,1.029,0.213,0.82,TRUE,ns in both,TRUE
SLC6A16,FALSE,19,2,Inverse variance weighted,0.914,0.793,1.054,0.215,0.797,2,Inverse variance weighted,0.914,0.793,1.054,0.215,0.82,TRUE,ns in both,TRUE
ERAP2,FALSE,5,4,Inverse variance weighted,1.021,0.988,1.054,0.216,0.797,4,Inverse variance weighted,1.021,0.988,1.054,0.216,0.82,TRUE,ns in both,TRUE
GTPBP3,FALSE,19,2,Inverse variance weighted,0.885,0.729,1.074,0.216,0.797,2,Inverse variance weighted,0.885,0.729,1.074,0.216,0.82,TRUE,ns in both,TRUE
HIF1A,FALSE,14,2,Inverse variance weighted,0.902,0.767,1.062,0.216,0.797,2,Inverse variance weighted,0.902,0.767,1.062,0.216,0.82,TRUE,ns in both,TRUE
OVGP1,FALSE,1,3,Inverse variance weighted,1.033,0.981,1.087,0.218,0.797,3,Inverse variance weighted,1.033,0.981,1.087,0.218,0.82,TRUE,ns in both,TRUE
ZNF500,FALSE,16,2,Inverse variance weighted,1.054,0.969,1.146,0.218,0.797,2,Inverse variance weighted,1.054,0.969,1.146,0.218,0.82,TRUE,ns in both,TRUE
ASB7,FALSE,15,1,Wald ratio,0.781,0.526,1.159,0.22,0.797,1,Wald ratio,0.781,0.526,1.159,0.22,0.82,TRUE,ns in both,TRUE
CNOT4,FALSE,7,1,Wald ratio,0.806,0.571,1.138,0.22,0.797,1,Wald ratio,0.806,0.571,1.138,0.22,0.82,TRUE,ns in both,TRUE
ERGIC2,FALSE,12,1,Wald ratio,0.855,0.665,1.098,0.22,0.797,1,Wald ratio,0.855,0.665,1.098,0.22,0.82,TRUE,ns in both,TRUE
GMPPA,FALSE,2,1,Wald ratio,0.716,0.42,1.221,0.22,0.797,1,Wald ratio,0.716,0.42,1.221,0.22,0.82,TRUE,ns in both,TRUE
PPM1G,FALSE,2,1,Wald ratio,0.911,0.785,1.057,0.22,0.797,1,Wald ratio,0.911,0.785,1.057,0.22,0.82,TRUE,ns in both,TRUE
RBM6,FALSE,3,1,Wald ratio,1.022,0.987,1.057,0.22,0.797,1,Wald ratio,1.022,0.987,1.057,0.22,0.82,TRUE,ns in both,TRUE
SLC35C2,FALSE,20,1,Wald ratio,1.64,0.744,3.618,0.22,0.797,1,Wald ratio,1.64,0.744,3.618,0.22,0.82,TRUE,ns in both,TRUE
TBCC,FALSE,6,1,Wald ratio,1.294,0.857,1.955,0.22,0.797,1,Wald ratio,1.294,0.857,1.955,0.22,0.82,TRUE,ns in both,TRUE
TRRAP,FALSE,7,1,Wald ratio,0.829,0.614,1.119,0.22,0.797,1,Wald ratio,0.829,0.614,1.119,0.22,0.82,TRUE,ns in both,TRUE
ZNF862,FALSE,7,1,Wald ratio,1.163,0.914,1.481,0.22,0.797,1,Wald ratio,1.163,0.914,1.481,0.22,0.82,TRUE,ns in both,TRUE
ANKRD6,FALSE,6,2,Inverse variance weighted,1.146,0.921,1.427,0.221,0.797,2,Inverse variance weighted,1.146,0.921,1.427,0.221,0.82,TRUE,ns in both,TRUE
CPSF1,FALSE,8,4,Inverse variance weighted,1.031,0.982,1.083,0.221,0.797,4,Inverse variance weighted,1.031,0.982,1.083,0.221,0.82,TRUE,ns in both,TRUE
LPAR1,FALSE,9,3,Inverse variance weighted,0.969,0.921,1.019,0.224,0.797,3,Inverse variance weighted,0.969,0.921,1.019,0.224,0.82,TRUE,ns in both,TRUE
ARRDC4,FALSE,15,3,Inverse variance weighted,0.972,0.928,1.018,0.226,0.797,3,Inverse variance weighted,0.972,0.928,1.018,0.226,0.82,TRUE,ns in both,TRUE
KIAA1191,FALSE,5,2,Inverse variance weighted,0.923,0.81,1.051,0.226,0.797,2,Inverse variance weighted,0.923,0.81,1.051,0.226,0.82,TRUE,ns in both,TRUE
NBN,FALSE,8,3,Inverse variance weighted,1.04,0.976,1.109,0.226,0.797,3,Inverse variance weighted,1.04,0.976,1.109,0.226,0.82,TRUE,ns in both,TRUE
ABHD3,FALSE,18,2,Inverse variance weighted,1.123,0.93,1.357,0.227,0.797,2,Inverse variance weighted,1.123,0.93,1.357,0.227,0.82,TRUE,ns in both,TRUE
ANKRD17,FALSE,4,1,Wald ratio,1.308,0.844,2.029,0.23,0.797,1,Wald ratio,1.308,0.844,2.029,0.23,0.82,TRUE,ns in both,TRUE
BAZ1B,FALSE,7,1,Wald ratio,1.408,0.805,2.461,0.23,0.797,1,Wald ratio,1.408,0.805,2.461,0.23,0.82,TRUE,ns in both,TRUE
BIRC6,FALSE,2,1,Wald ratio,1.222,0.881,1.695,0.23,0.797,1,Wald ratio,1.222,0.881,1.695,0.23,0.82,TRUE,ns in both,TRUE
BLMH,FALSE,17,1,Wald ratio,0.83,0.612,1.125,0.23,0.797,1,Wald ratio,0.83,0.612,1.125,0.23,0.82,TRUE,ns in both,TRUE
CKLF,FALSE,16,1,Wald ratio,1.157,0.912,1.467,0.23,0.797,1,Wald ratio,1.157,0.912,1.467,0.23,0.82,TRUE,ns in both,TRUE
FASTK,FALSE,7,1,Wald ratio,0.816,0.585,1.137,0.23,0.797,1,Wald ratio,0.816,0.585,1.137,0.23,0.82,TRUE,ns in both,TRUE
HEATR1,FALSE,1,1,Wald ratio,1.123,0.929,1.359,0.23,0.797,1,Wald ratio,1.123,0.929,1.359,0.23,0.82,TRUE,ns in both,TRUE
KL,FALSE,13,4,Inverse variance weighted,0.931,0.829,1.046,0.23,0.797,4,Inverse variance weighted,0.931,0.829,1.046,0.23,0.82,TRUE,ns in both,TRUE
NOL10,FALSE,2,1,Wald ratio,0.768,0.499,1.182,0.23,0.797,1,Wald ratio,0.768,0.499,1.182,0.23,0.82,TRUE,ns in both,TRUE
SLC25A45,FALSE,11,1,Wald ratio,0.881,0.716,1.084,0.23,0.797,1,Wald ratio,0.881,0.716,1.084,0.23,0.82,TRUE,ns in both,TRUE
TIMM50,FALSE,19,1,Wald ratio,1.486,0.778,2.838,0.23,0.797,1,Wald ratio,1.486,0.778,2.838,0.23,0.82,TRUE,ns in both,TRUE
TMEM131,FALSE,2,1,Wald ratio,1.298,0.848,1.987,0.23,0.797,1,Wald ratio,1.298,0.848,1.987,0.23,0.82,TRUE,ns in both,TRUE
USP38,FALSE,4,1,Wald ratio,1.069,0.958,1.193,0.23,0.797,1,Wald ratio,1.069,0.958,1.193,0.23,0.82,TRUE,ns in both,TRUE
CASP1,FALSE,11,2,Inverse variance weighted,1.087,0.948,1.247,0.233,0.807,2,Inverse variance weighted,1.087,0.948,1.247,0.233,0.83,TRUE,ns in both,TRUE
ANAPC16,FALSE,10,2,Inverse variance weighted,0.779,0.517,1.175,0.234,0.808,2,Inverse variance weighted,0.779,0.517,1.175,0.234,0.831,TRUE,ns in both,TRUE
JUP,FALSE,17,2,Inverse variance weighted,1.022,0.986,1.06,0.239,0.811,2,Inverse variance weighted,1.022,0.986,1.06,0.239,0.833,TRUE,ns in both,TRUE
PPP1CB,FALSE,2,2,Inverse variance weighted,0.951,0.875,1.034,0.239,0.811,2,Inverse variance weighted,0.951,0.875,1.034,0.239,0.833,TRUE,ns in both,TRUE
ALG8,FALSE,11,1,Wald ratio,1.101,0.938,1.292,0.24,0.811,1,Wald ratio,1.101,0.938,1.292,0.24,0.833,TRUE,ns in both,TRUE
FIZ1,FALSE,19,1,Wald ratio,1.249,0.862,1.812,0.24,0.811,1,Wald ratio,1.249,0.862,1.812,0.24,0.833,TRUE,ns in both,TRUE
GDPD5,FALSE,11,5,Inverse variance weighted,1.029,0.981,1.078,0.24,0.811,5,Inverse variance weighted,1.029,0.981,1.078,0.24,0.833,TRUE,ns in both,TRUE
POGK,FALSE,1,1,Wald ratio,0.927,0.816,1.052,0.24,0.811,1,Wald ratio,0.927,0.816,1.052,0.24,0.833,TRUE,ns in both,TRUE
POGZ,FALSE,1,1,Wald ratio,1.072,0.955,1.204,0.24,0.811,1,Wald ratio,1.072,0.955,1.204,0.24,0.833,TRUE,ns in both,TRUE
TRMT2A,FALSE,22,1,Wald ratio,0.773,0.504,1.187,0.24,0.811,1,Wald ratio,0.773,0.504,1.187,0.24,0.833,TRUE,ns in both,TRUE
YEATS2,FALSE,3,1,Wald ratio,0.904,0.764,1.07,0.24,0.811,1,Wald ratio,0.904,0.764,1.07,0.24,0.833,TRUE,ns in both,TRUE
DGKQ,FALSE,4,3,Inverse variance weighted,1.029,0.981,1.079,0.243,0.82,3,Inverse variance weighted,1.029,0.981,1.079,0.243,0.843,TRUE,ns in both,TRUE
ZMIZ2,FALSE,7,3,Inverse variance weighted,0.954,0.88,1.033,0.244,0.821,3,Inverse variance weighted,0.954,0.88,1.033,0.244,0.844,TRUE,ns in both,TRUE
S100A8,FALSE,1,2,Inverse variance weighted,0.931,0.825,1.051,0.247,0.822,2,Inverse variance weighted,0.931,0.825,1.051,0.247,0.846,TRUE,ns in both,TRUE
VEGFA,FALSE,6,3,Inverse variance weighted,1.082,0.947,1.237,0.247,0.822,3,Inverse variance weighted,1.082,0.947,1.237,0.247,0.846,TRUE,ns in both,TRUE
CISD2,FALSE,4,1,Wald ratio,0.865,0.675,1.108,0.25,0.822,1,Wald ratio,0.865,0.675,1.108,0.25,0.846,TRUE,ns in both,TRUE
INTS9,FALSE,8,1,Wald ratio,1.251,0.854,1.834,0.25,0.822,1,Wald ratio,1.251,0.854,1.834,0.25,0.846,TRUE,ns in both,TRUE
KCNJ2,FALSE,17,1,Wald ratio,1.109,0.93,1.324,0.25,0.822,1,Wald ratio,1.109,0.93,1.324,0.25,0.846,TRUE,ns in both,TRUE
RNASEH2A,FALSE,19,1,Wald ratio,0.808,0.562,1.162,0.25,0.822,1,Wald ratio,0.808,0.562,1.162,0.25,0.846,TRUE,ns in both,TRUE
RRM2B,FALSE,8,1,Wald ratio,0.894,0.74,1.082,0.25,0.822,1,Wald ratio,0.894,0.74,1.082,0.25,0.846,TRUE,ns in both,TRUE
SLC40A1,FALSE,2,1,Wald ratio,0.954,0.88,1.034,0.25,0.822,1,Wald ratio,0.954,0.88,1.034,0.25,0.846,TRUE,ns in both,TRUE
TRIM26,TRUE,6,1,Wald ratio,0.862,0.67,1.11,0.25,0.822,,,,,,,,FALSE,ns in both,
TRIP4,FALSE,15,1,Wald ratio,1.047,0.968,1.133,0.25,0.822,1,Wald ratio,1.047,0.968,1.133,0.25,0.846,TRUE,ns in both,TRUE
DUS3L,FALSE,19,3,Inverse variance weighted,0.95,0.87,1.037,0.253,0.831,3,Inverse variance weighted,0.95,0.87,1.037,0.253,0.855,TRUE,ns in both,TRUE
MRPL10,FALSE,17,2,Inverse variance weighted,1.066,0.955,1.191,0.254,0.833,2,Inverse variance weighted,1.066,0.955,1.191,0.254,0.857,TRUE,ns in both,TRUE
ASXL1,FALSE,20,1,Wald ratio,0.925,0.808,1.059,0.26,0.838,1,Wald ratio,0.925,0.808,1.059,0.26,0.861,TRUE,ns in both,TRUE
CNIH4,FALSE,1,1,Wald ratio,0.795,0.533,1.185,0.26,0.838,1,Wald ratio,0.795,0.533,1.185,0.26,0.861,TRUE,ns in both,TRUE
DDOST,FALSE,1,1,Wald ratio,0.934,0.83,1.052,0.26,0.838,1,Wald ratio,0.934,0.83,1.052,0.26,0.861,TRUE,ns in both,TRUE
IL11RA,FALSE,9,1,Wald ratio,0.89,0.726,1.09,0.26,0.838,1,Wald ratio,0.89,0.726,1.09,0.26,0.861,TRUE,ns in both,TRUE
KCTD12,FALSE,13,1,Wald ratio,0.926,0.811,1.058,0.26,0.838,1,Wald ratio,0.926,0.811,1.058,0.26,0.861,TRUE,ns in both,TRUE
RSBN1L,FALSE,7,1,Wald ratio,1.091,0.938,1.27,0.26,0.838,1,Wald ratio,1.091,0.938,1.27,0.26,0.861,TRUE,ns in both,TRUE
WDR90,FALSE,16,1,Wald ratio,0.928,0.815,1.057,0.26,0.838,1,Wald ratio,0.928,0.815,1.057,0.26,0.861,TRUE,ns in both,TRUE
ABCF1,TRUE,6,2,Inverse variance weighted,1.235,0.855,1.784,0.261,0.84,,,,,,,,FALSE,ns in both,
LMF2,FALSE,22,2,Inverse variance weighted,0.881,0.705,1.102,0.267,0.84,2,Inverse variance weighted,0.881,0.705,1.102,0.267,0.861,TRUE,ns in both,TRUE
GAMT,FALSE,19,2,Inverse variance weighted,0.85,0.637,1.134,0.269,0.84,2,Inverse variance weighted,0.85,0.637,1.134,0.269,0.861,TRUE,ns in both,TRUE
ABI3,FALSE,17,1,Wald ratio,1.245,0.843,1.838,0.27,0.84,1,Wald ratio,1.245,0.843,1.838,0.27,0.861,TRUE,ns in both,TRUE
BBS1,FALSE,11,1,Wald ratio,0.895,0.734,1.09,0.27,0.84,1,Wald ratio,0.895,0.734,1.09,0.27,0.861,TRUE,ns in both,TRUE
CD248,FALSE,11,1,Wald ratio,1.353,0.791,2.316,0.27,0.84,1,Wald ratio,1.353,0.791,2.316,0.27,0.861,TRUE,ns in both,TRUE
HAGHL,FALSE,16,2,Inverse variance weighted,1.057,0.958,1.166,0.27,0.84,2,Inverse variance weighted,1.057,0.958,1.166,0.27,0.861,TRUE,ns in both,TRUE
LONRF1,FALSE,8,1,Wald ratio,1.095,0.932,1.285,0.27,0.84,1,Wald ratio,1.095,0.932,1.285,0.27,0.861,TRUE,ns in both,TRUE
MRPL55,FALSE,1,1,Wald ratio,1.079,0.943,1.235,0.27,0.84,1,Wald ratio,1.079,0.943,1.235,0.27,0.861,TRUE,ns in both,TRUE
NOL9,FALSE,1,1,Wald ratio,1.06,0.956,1.175,0.27,0.84,1,Wald ratio,1.06,0.956,1.175,0.27,0.861,TRUE,ns in both,TRUE
PWP1,FALSE,12,1,Wald ratio,1.044,0.967,1.127,0.27,0.84,1,Wald ratio,1.044,0.967,1.127,0.27,0.861,TRUE,ns in both,TRUE
SBF2,FALSE,11,1,Wald ratio,1.202,0.867,1.665,0.27,0.84,1,Wald ratio,1.202,0.867,1.665,0.27,0.861,TRUE,ns in both,TRUE
ZNF276,FALSE,16,1,Wald ratio,0.944,0.853,1.046,0.27,0.84,1,Wald ratio,0.944,0.853,1.046,0.27,0.861,TRUE,ns in both,TRUE
PCGF3,FALSE,4,2,Inverse variance weighted,0.922,0.798,1.066,0.271,0.84,2,Inverse variance weighted,0.922,0.798,1.066,0.271,0.861,TRUE,ns in both,TRUE
CDK13,FALSE,7,2,Inverse variance weighted,0.883,0.707,1.104,0.275,0.84,2,Inverse variance weighted,0.883,0.707,1.104,0.275,0.861,TRUE,ns in both,TRUE
FN3KRP,FALSE,17,3,Inverse variance weighted,1.021,0.984,1.058,0.275,0.84,3,Inverse variance weighted,1.021,0.984,1.058,0.275,0.861,TRUE,ns in both,TRUE
CBLB,FALSE,3,3,Inverse variance weighted,1.105,0.923,1.323,0.278,0.84,3,Inverse variance weighted,1.105,0.923,1.323,0.278,0.861,TRUE,ns in both,TRUE
SNAP47,FALSE,1,2,Inverse variance weighted,0.889,0.718,1.1,0.279,0.84,2,Inverse variance weighted,0.889,0.718,1.1,0.279,0.861,TRUE,ns in both,TRUE
CUTC,FALSE,10,1,Wald ratio,0.41,0.082,2.065,0.28,0.84,1,Wald ratio,0.41,0.082,2.065,0.28,0.861,TRUE,ns in both,TRUE
DCTD,FALSE,4,1,Wald ratio,1.053,0.959,1.158,0.28,0.84,1,Wald ratio,1.053,0.959,1.158,0.28,0.861,TRUE,ns in both,TRUE
DNPEP,FALSE,2,2,Inverse variance weighted,0.923,0.798,1.068,0.28,0.84,2,Inverse variance weighted,0.923,0.798,1.068,0.28,0.861,TRUE,ns in both,TRUE
GALK2,FALSE,15,1,Wald ratio,0.935,0.827,1.056,0.28,0.84,1,Wald ratio,0.935,0.827,1.056,0.28,0.861,TRUE,ns in both,TRUE
INO80,FALSE,15,1,Wald ratio,1.303,0.806,2.106,0.28,0.84,1,Wald ratio,1.303,0.806,2.106,0.28,0.861,TRUE,ns in both,TRUE
MAPKBP1,FALSE,15,1,Wald ratio,0.828,0.587,1.167,0.28,0.84,1,Wald ratio,0.828,0.587,1.167,0.28,0.861,TRUE,ns in both,TRUE
MYO9A,FALSE,15,1,Wald ratio,0.911,0.77,1.079,0.28,0.84,1,Wald ratio,0.911,0.77,1.079,0.28,0.861,TRUE,ns in both,TRUE
TBC1D10C,FALSE,11,1,Wald ratio,1.166,0.883,1.54,0.28,0.84,1,Wald ratio,1.166,0.883,1.54,0.28,0.861,TRUE,ns in both,TRUE
TMOD3,FALSE,15,1,Wald ratio,0.896,0.733,1.094,0.28,0.84,1,Wald ratio,0.896,0.733,1.094,0.28,0.861,TRUE,ns in both,TRUE
TSPAN2,FALSE,1,1,Wald ratio,0.855,0.643,1.137,0.28,0.84,1,Wald ratio,0.855,0.643,1.137,0.28,0.861,TRUE,ns in both,TRUE
ZBTB20,FALSE,3,1,Wald ratio,1.256,0.83,1.901,0.28,0.84,1,Wald ratio,1.256,0.83,1.901,0.28,0.861,TRUE,ns in both,TRUE
ZNF346,FALSE,5,1,Wald ratio,1.287,0.814,2.036,0.28,0.84,1,Wald ratio,1.287,0.814,2.036,0.28,0.861,TRUE,ns in both,TRUE
PPP2R5A,FALSE,1,3,Inverse variance weighted,0.91,0.767,1.08,0.281,0.84,3,Inverse variance weighted,0.91,0.767,1.08,0.281,0.861,TRUE,ns in both,TRUE
RASA3,FALSE,13,4,Inverse variance weighted,1.079,0.939,1.24,0.282,0.84,4,Inverse variance weighted,1.079,0.939,1.24,0.282,0.861,TRUE,ns in both,TRUE
RAB5A,FALSE,3,2,Inverse variance weighted,1.062,0.952,1.184,0.283,0.84,2,Inverse variance weighted,1.062,0.952,1.184,0.283,0.861,TRUE,ns in both,TRUE
SDR39U1,FALSE,14,2,Inverse variance weighted,0.932,0.819,1.06,0.283,0.84,2,Inverse variance weighted,0.932,0.819,1.06,0.283,0.861,TRUE,ns in both,TRUE
MYH10,FALSE,17,2,Inverse variance weighted,1.204,0.857,1.691,0.284,0.84,2,Inverse variance weighted,1.204,0.857,1.691,0.284,0.861,TRUE,ns in both,TRUE
RASSF7,FALSE,11,2,Inverse variance weighted,0.845,0.622,1.149,0.284,0.84,2,Inverse variance weighted,0.845,0.622,1.149,0.284,0.861,TRUE,ns in both,TRUE
