sex,gene,in_FS_input_primary,in_final_panel,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,p_noMHC,FDR_noMHC,direction_consistent,estimate_unchanged,verdict
female,FCGR2B,TRUE,FALSE,FALSE,1,2,Inverse variance weighted,1.094,0.00103,0.0475,2,Inverse variance weighted,1.094,0.00103,0.0828,TRUE,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
male,VPS52,TRUE,TRUE,TRUE,6,1,Wald ratio,0.414,4.2e-24,1.55e-21,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,HLA-DMA,TRUE,TRUE,TRUE,6,1,Wald ratio,0.559,3.5e-12,7.39e-10,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,MED1,TRUE,TRUE,FALSE,17,1,Wald ratio,0.732,4.4e-05,0.00383,1,Wald ratio,0.732,4.4e-05,0.00915,TRUE,TRUE,ROBUST (significant with and without MHC)
male,INPP5B,TRUE,TRUE,FALSE,1,1,Wald ratio,1.104,6e-05,0.00493,1,Wald ratio,1.104,6e-05,0.0109,TRUE,TRUE,ROBUST (significant with and without MHC)
male,SMARCC2,TRUE,TRUE,FALSE,12,1,Wald ratio,0.76,0.00011,0.00813,1,Wald ratio,0.76,0.00011,0.016,TRUE,TRUE,ROBUST (significant with and without MHC)
male,ESYT1,TRUE,TRUE,FALSE,12,1,Wald ratio,0.67,0.00071,0.042,1,Wald ratio,0.67,0.00071,0.0689,TRUE,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
male,HLA-DRB1,TRUE,FALSE,TRUE,6,1,Wald ratio,0.337,1e-250,1.48e-247,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,WDR46,TRUE,FALSE,TRUE,6,1,Wald ratio,4.531,5.2e-42,3.84e-39,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,AIF1,TRUE,FALSE,TRUE,6,2,Inverse variance weighted,0.556,2.53e-24,1.25e-21,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,VARS2,TRUE,FALSE,TRUE,6,3,Inverse variance weighted,1.203,1.08e-16,3.21e-14,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,AP4B1,TRUE,FALSE,FALSE,1,1,Wald ratio,1.424,1.3e-12,3.2e-10,1,Wald ratio,1.424,1.3e-12,1.89e-09,TRUE,TRUE,ROBUST (significant with and without MHC)
male,CSNK2B,TRUE,FALSE,TRUE,6,1,Wald ratio,0.546,1.3e-11,2.4e-09,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,BRD2,TRUE,FALSE,TRUE,6,1,Wald ratio,1.554,9.9e-09,1.63e-06,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,C6orf136,TRUE,FALSE,TRUE,6,1,Wald ratio,0.537,1.2e-08,1.77e-06,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,PHF19,TRUE,FALSE,FALSE,9,2,Inverse variance weighted,0.791,2.95e-08,3.97e-06,2,Inverse variance weighted,0.791,2.95e-08,2.09e-05,TRUE,TRUE,ROBUST (significant with and without MHC)
male,IKZF3,TRUE,FALSE,FALSE,17,2,Inverse variance weighted,1.174,4.32e-08,5.32e-06,2,Inverse variance weighted,1.174,4.32e-08,2.09e-05,TRUE,TRUE,ROBUST (significant with and without MHC)
male,NCOA5,TRUE,FALSE,FALSE,20,1,Wald ratio,0.422,1.2e-06,0.000136,1,Wald ratio,0.422,1.2e-06,0.000437,TRUE,TRUE,ROBUST (significant with and without MHC)
male,DAXX,TRUE,FALSE,TRUE,6,2,Inverse variance weighted,0.484,2.98e-06,0.000314,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,PGAP3,TRUE,FALSE,FALSE,17,1,Wald ratio,0.861,3.9e-06,0.000384,1,Wald ratio,0.861,3.9e-06,0.00114,TRUE,TRUE,ROBUST (significant with and without MHC)
male,TAB1,TRUE,FALSE,FALSE,22,1,Wald ratio,0.428,1.6e-05,0.00148,1,Wald ratio,0.428,1.6e-05,0.00388,TRUE,TRUE,ROBUST (significant with and without MHC)
male,ZNF785,TRUE,FALSE,FALSE,16,1,Wald ratio,1.895,1e-04,0.00778,1,Wald ratio,1.895,1e-04,0.016,TRUE,TRUE,ROBUST (significant with and without MHC)
male,SH2B1,TRUE,FALSE,FALSE,16,1,Wald ratio,0.494,0.00015,0.0106,1,Wald ratio,0.494,0.00015,0.0199,TRUE,TRUE,ROBUST (significant with and without MHC)
male,LPCAT2,TRUE,FALSE,FALSE,16,3,Inverse variance weighted,1.097,0.000194,0.013,3,Inverse variance weighted,1.097,0.000194,0.0235,TRUE,TRUE,ROBUST (significant with and without MHC)
male,CDC37,TRUE,FALSE,FALSE,19,1,Wald ratio,0.752,0.00036,0.0231,1,Wald ratio,0.752,0.00036,0.0403,TRUE,TRUE,ROBUST (significant with and without MHC)
male,KLF2,TRUE,FALSE,FALSE,19,1,Wald ratio,0.54,0.00047,0.0289,1,Wald ratio,0.54,0.00047,0.0489,TRUE,TRUE,ROBUST (significant with and without MHC)
