gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
PHF19,eqtl-a-ENSG00000119403,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119403 || id:eqtl-a-ENSG00000119403,Inverse variance weighted,2,-0.234958837430076,0.0423800912737612,2.95494911145363e-08,2,0.790603392226377,0.72758545979527,0.859079459855801,3.57548842485889e-06,protective (OR<1),FALSE,9,FALSE,3.11747131258358e-06,protective (OR<1)
IKZF3,eqtl-a-ENSG00000161405,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000161405 || id:eqtl-a-ENSG00000161405,Inverse variance weighted,2,0.160712428645606,0.0293410116853148,4.31623171944744e-08,2,1.17434721163338,1.10871761510591,1.24386169632504,4.87446435516264e-06,risk (OR>1),FALSE,17,FALSE,4.25004949974925e-06,risk (OR>1)
NCOA5,eqtl-a-ENSG00000124160,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000124160 || id:eqtl-a-ENSG00000124160,Wald ratio,1,-0.863366412162359,0.177806745747729,1.19995590274947e-06,1,0.421739939439789,0.297640875844244,0.597581148806166,0.0001270453312036,protective (OR<1),FALSE,20,FALSE,0.000110770929272561,protective (OR<1)
DAXX,eqtl-a-ENSG00000204209,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204209 || id:eqtl-a-ENSG00000204209,Inverse variance weighted,2,-0.726594288437873,0.155509336267758,2.97770723177356e-06,2,0.483553031085274,0.356510143141515,0.6558678297659,0.000296719767683789,protective (OR<1),TRUE,6,FALSE,0.000258710210666444,protective (OR<1)
PGAP3,eqtl-a-ENSG00000161395,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000161395 || id:eqtl-a-ENSG00000161395,Wald ratio,1,-0.150160479976587,0.0325260231208234,3.90029485981788e-06,1,0.860569861111821,0.807419850390927,0.917218576550296,0.000367061082918416,protective (OR<1),FALSE,17,FALSE,0.000320040861552834,protective (OR<1)
ZBTB9,eqtl-a-ENSG00000213588,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000213588 || id:eqtl-a-ENSG00000213588,Wald ratio,1,0.463231032413732,0.101092160192006,4.59967244315989e-06,1,1.58920045682423,1.30354880922774,1.93744804497696,0.000410097111511203,risk (OR>1),TRUE,6,FALSE,0.00035756401044985,risk (OR>1)
MED1,eqtl-a-ENSG00000125686,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000125686 || id:eqtl-a-ENSG00000125686,Wald ratio,1,-0.311391370492652,0.076220301676701,4.39985861754309e-05,1,0.732427169386649,0.630789441830041,0.850441562400594,0.00354921928481809,protective (OR<1),FALSE,17,FALSE,0.00324929558905557,protective (OR<1)
INPP5B,eqtl-a-ENSG00000204084,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204084 || id:eqtl-a-ENSG00000204084,Wald ratio,1,0.0989320154291225,0.0246539927446388,5.99978671372871e-05,1,1.10399124263667,1.05191276686843,1.15864803832247,0.00461983576957111,risk (OR>1),FALSE,1,FALSE,0.00421984998865586,risk (OR>1)
ZNF785,eqtl-a-ENSG00000197162,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000197162 || id:eqtl-a-ENSG00000197162,Wald ratio,1,0.639439255203301,0.164355281522723,0.000100000174476049,1,1.89541773562384,1.37341852209165,2.61581472415709,0.00736523024184469,risk (OR>1),FALSE,16,FALSE,0.00671364807732387,risk (OR>1)
SMARCC2,eqtl-a-ENSG00000139613,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000139613 || id:eqtl-a-ENSG00000139613,Wald ratio,1,-0.274586867336591,0.0710003341937863,0.000110000802852539,1,0.759885992109568,0.661167860298011,0.873343602552121,0.00776422333467507,protective (OR<1),FALSE,12,FALSE,0.00706396460057394,protective (OR<1)
SH2B1,eqtl-a-ENSG00000178188,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000178188 || id:eqtl-a-ENSG00000178188,Wald ratio,1,-0.704333315120388,0.185787983098386,0.000150005954685717,1,0.494438098803797,0.343531055633432,0.711635904643148,0.0101644034895042,protective (OR<1),FALSE,16,FALSE,0.00923161646128347,protective (OR<1)
LPCAT2,eqtl-a-ENSG00000087253,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000087253 || id:eqtl-a-ENSG00000087253,Inverse variance weighted,3,0.0922782042791049,0.0247580804239509,0.000193622321052755,3,1.09666987789773,1.04472361444299,1.15119903911567,0.0126152389178218,risk (OR>1),FALSE,16,TRUE,0.0114392067277968,risk (OR>1)
IKZF4,eqtl-a-ENSG00000123411,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000123411 || id:eqtl-a-ENSG00000123411,Wald ratio,1,-0.499019589269476,0.138671756592907,0.000319975580190798,1,0.607125600475307,0.462635296335551,0.79674313151661,0.0200755049201189,protective (OR<1),FALSE,12,FALSE,0.0181770743054542,protective (OR<1)
CDC37,eqtl-a-ENSG00000105401,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105401 || id:eqtl-a-ENSG00000105401,Wald ratio,1,-0.284881952898498,0.0798481448344309,0.000359995549482369,1,0.752103032662304,0.643145487471829,0.87951945984012,0.0217797307436833,protective (OR<1),FALSE,19,FALSE,0.0196930898735355,protective (OR<1)
KLF2,eqtl-a-ENSG00000127528,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000127528 || id:eqtl-a-ENSG00000127528,Wald ratio,1,-0.615335114312281,0.175945714580904,0.000469991306236433,1,0.540459749161522,0.382820635203539,0.763012005108954,0.0274539749229144,protective (OR<1),FALSE,19,FALSE,0.0247920414039718,protective (OR<1)
ESYT1,eqtl-a-ENSG00000139641,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000139641 || id:eqtl-a-ENSG00000139641,Wald ratio,1,-0.400109406565354,0.11817684515612,0.000710011955749888,1,0.670246712633366,0.531668011444742,0.844945804760954,0.040092008434677,protective (OR<1),FALSE,12,FALSE,0.0361616434014684,protective (OR<1)
LAX1,eqtl-a-ENSG00000122188,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000122188 || id:eqtl-a-ENSG00000122188,Inverse variance weighted,2,0.0806497871920854,0.0243224622627087,0.000913628285284983,2,1.083991202481,1.03352755452889,1.13691881934567,0.0499253650087988,risk (OR>1),FALSE,1,FALSE,0.0449809659121974,risk (OR>1)
RETSAT,eqtl-a-ENSG00000042445,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000042445 || id:eqtl-a-ENSG00000042445,Inverse variance weighted,3,-0.0822236743115142,0.0250297474307631,0.00101968576686932,3,0.921065916869261,0.876970452029822,0.967378571597943,0.0528075407871727,protective (OR<1),FALSE,2,TRUE,0.0474817802816482,protective (OR<1)
FCGR2B,eqtl-a-ENSG00000072694,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000072694 || id:eqtl-a-ENSG00000072694,Inverse variance weighted,2,0.0899762625242624,0.0274104566120533,0.00102871832702284,2,1.09414831107796,1.03691687566672,1.15453856980098,0.0528075407871727,risk (OR>1),FALSE,1,FALSE,0.0474817802816482,risk (OR>1)
