ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0003712,transcription coregulator activity,117/2412,473/14323,0.247357293868922,1.46886339970339,4.66625415935727,5.6925991861757e-06,0.00203225790946472,0.00183161875569232,ABL1/AIP/APBB1/ARID1B/ASAH1/ASXL1/ATN1/BCL9/BCL9L/BCOR/BRD7/CCDC124/CIITA/CITED2/CREG1/CRTC3/CTBP1/DAXX/DDX54/DHX9/DMAP1/DNAJB1/DOT1L/DTX1/EDF1/ENO1/EWSR1/FBXL19/FIZ1/FLYWCH1/FOXP3/FUS/GON4L/HCFC1/HDAC1/HMGA1/HMGB2/HNRNPU/IRF2BP1/IRF2BP2/JUP/KAT2A/KCTD1/KDM1A/KDM3A/LIMD1/MAGED1/MAP3K10/MED1/MED19/MED24/MED26/MED27/MED29/MED30/MED31/MED9/MIER1/MMS19/MTA2/MTDH/MYBBP1A/NAB1/NCOA3/NCOA5/NCOR1/NFKBIZ/NOC2L/NRG1/PEX14/PIAS3/PPARGC1B/PPRC1/PQBP1/QKI/RAD54L2/RAP2C/RB1/RBM14/RUVBL1/RUVBL2/RYBP/SAP18/SAP30/SETD4/SF1/SFMBT1/SIN3A/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/SND1/SSBP3/TAF15/TAF6/TCF25/TDP2/THRAP3/TLE4/TOB2/TRIM14/TRIM24/TRIM28/TRIM62/TRIP4/TRRAP/UBE2L3/UTF1/WDR77/WWOX/YAF2/YEATS2/ZFPM1/ZMIZ2/ZNF764,117
BP,GO:0010608,post-transcriptional regulation of gene expression,110/2342,440/13904,0.25,1.48420153714774,4.64511718659474,6.47703618572908e-06,0.00206833355530949,0.00193818679312139,ABCF1/ALKBH5/APP/CALR/CDC37/CELF1/CIRBP/CNOT1/CNOT4/CPEB2/CPEB3/CPEB4/CSNK2A1/CYFIP1/CYP1B1/DCP1B/DCP2/DCPS/DHX9/DICER1/DIS3L2/DND1/DUS3L/EEF2/EEFSEC/EIF2B2/EIF2B4/EIF2B5/EIF3B/EIF3D/EIF4A3/EIF4E3/EIF4H/EIF5A/EIF5B/EIF6/ELAVL1/ELP3/ELP4/ETF1/FASTK/FMR1/FTO/FUS/GEMIN5/HNRNPA0/HNRNPU/HSPB1/IKBKE/JMJD4/KHSRP/LARP1/LIMD1/MIF4GD/MPV17L2/MTG1/MTOR/NAT10/NCL/NSUN3/OGFOD1/PABPC1/PAN2/PAN3/PARN/PCBP4/POLR2G/PPP1CA/PPP1R15B/PRMT1/PTCD3/QKI/RBM4/RBM4B/RC3H1/RGS2/RNASEL/RNF139/ROCK1/RPS6KA3/RPUSD3/SCRIB/SECISBP2/SHMT2/SLC35A4/SOX4/TACO1/TAF15/TARBP2/TCOF1/THRAP3/TNRC6A/TNRC6B/TP53/TPR/TRAF2/TRAF3IP2/TRAP1/TRIM3/TRUB2/TSC1/TSNAX/VIP/WFS1/XPO5/YTHDF1/YTHDF2/YTHDF3/ZC3H7B/ZMPSTE24,110
CC,GO:0120114,Sm-like protein family complex,28/2418,78/14434,0.358974358974359,2.14286017263685,4.53994058361656,3.42803255041766e-05,0.00206928510316121,0.00164348737584617,DDX46/EFTUD2/FMR1/GEMIN4/GEMIN5/LSM2/LSM4/LUC7L/LUC7L2/PRPF18/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/SART3/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/TGS1/USP39,28
BP,GO:0040029,epigenetic regulation of gene expression,62/2342,215/13904,0.288372093023256,1.71200921494251,4.73532953030355,7.24305844024678e-06,0.00210138849548093,0.00196916180115298,APOBEC3C/APOBEC3F/APP/ARID1B/ARID4A/ARID4B/BAHD1/BAZ1A/BRD7/CIZ1/CTCF/DDB1/DNMT1/DOT1L/EHMT1/EHMT2/HDAC1/HDAC6/HNRNPU/ING2/KDM1A/KLF2/LBR/LMNB2/MBD1/MBD3/MEN1/MORC2/MTA2/NOC2L/OGG1/PCGF3/PHF1/PHF19/PIK3CA/PPM1D/PRMT7/RB1/RBM14/RBM15B/RLF/RRP8/SAMD1/SCMH1/SIN3A/SMARCA4/SMARCB1/SMARCD1/SMCHD1/SMYD5/SPHK2/SPTY2D1/SUV39H1/TET2/TP53/TPR/TRIM28/USP7/VPS72/WDR5/ZMPSTE24/ZNF335,62
BP,GO:0009895,negative regulation of catabolic process,82/2342,307/13904,0.267100977198697,1.58572672372788,4.67061319929862,7.31172058274507e-06,0.00210138849548093,0.00196916180115298,ACACB/ALAD/ALK/ANXA2/ATP13A2/ATP2B4/AZIN1/BAG5/CDK5RAP3/CIRBP/CNR1/CRTC3/CSNK2A1/CSNK2A2/CSNK2B/DFFA/DHX9/DND1/EHMT2/ELAVL1/FLNA/FMN2/FOXK1/FUS/FYN/GABARAPL2/GIPC1/HDAC6/HERC1/HMGCR/HNRNPA0/HNRNPAB/HNRNPU/HSP90AB1/IKBKE/IL10RA/IRAK3/LARP1/LRRK2/MDM4/MLST8/MTM1/MTOR/MYCBP2/NBAS/NCOR1/PABPC1/PARN/PIK3CA/PPARA/PPP2CA/QKI/RGP1/RNF5/ROCK1/RPTOR/RYBP/SECISBP2/SF3B3/SMAD4/SMARCC1/SNRNP70/STK38L/TAB2/TAB3/TAF15/THRAP3/TP53/TRAF2/TRAF3IP2/TSC1/UBQLN4/UBXN1/USP25/USP36/USP38/USP5/USP7/USP8/VIP/VPS35/WDR6,82
BP,GO:0043604,amide biosynthetic process,46/2342,146/13904,0.315068493150685,1.87050056736427,4.75881758868818,8.95314745113052e-06,0.00245060435948087,0.00229640378483383,ACACA/ACACB/ACLY/ACOT7/ACSF3/ACSL3/ACSL4/ACSL5/ACSS1/ALOX12B/ARG1/ASAH1/ASS1/CARNS1/CLN8/DCAKD/DEGS1/ELOVL5/FASN/FH/GCDH/GNE/GSS/MLYCD/NFE2L2/ORMDL3/OSBP/PDHA1/PDHB/PDK2/PDK4/PEMT/SAMD8/SGMS1/SGMS2/SIRT3/SLC7A11/SMPD1/SPHK2/SPTLC1/ST3GAL1/ST6GALNAC3/ST6GALNAC6/ST8SIA4/TECR/TPK1,46
BP,GO:2000779,regulation of double-strand break repair,39/2342,117/13904,0.333333333333333,1.97893538286365,4.7856760075527,9.74948237831475e-06,0.0024912174987615,0.00233446140372168,ABL1/ACTR2/ARID1B/BCL7B/BRD7/CSNK2A1/DDX11/DMAP1/EP400/FH/FMN2/FUS/HSF1/ING3/KDM1A/MGMT/NBN/NUDT16L1/OGG1/PARP1/PARP3/PELI1/PPP4R2/PRMT1/RNF126/RUVBL1/RUVBL2/SENP3/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/SMCHD1/TIMELESS/TRRAP/UBQLN4/VPS72/WRAP53,39
BP,GO:2000781,positive regulation of double-strand break repair,30/2342,81/13904,0.37037037037037,2.19881709207072,4.86996125375518,9.96833724278263e-06,0.0024912174987615,0.00233446140372168,ACTR2/ARID1B/BCL7B/BRD7/DDX11/DMAP1/EP400/FH/FMN2/FUS/ING3/MGMT/NBN/PARP1/PARP3/PELI1/PRMT1/RNF126/RUVBL1/RUVBL2/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/SMCHD1/TIMELESS/TRRAP/VPS72/WRAP53,30
MF,GO:0043021,ribonucleoprotein complex binding,45/2412,142/14323,0.316901408450704,1.88183203699811,4.75218118496997,9.40807130205941e-06,0.00251901109112641,0.00227031615368118,ABCF1/CCDC47/CKAP5/CPEB2/CPEB3/CPEB4/DHX33/DHX9/EEF2/EEFSEC/EIF4A3/EIF5A/EIF6/ERAL1/ETF1/FMR1/GEMIN4/GEMIN5/GTPBP6/HNRNPU/LARP1/LETM1/MTOR/OXA1L/PES1/PPP1CA/PQBP1/PRMT7/PRPF31/PRPF6/PTCD3/RICTOR/RNASEL/SECISBP2/SLFN12/SMG6/SND1/SNRPA/SNRPB/SRP68/TACO1/TIMM50/XPO5/YTHDF1/YTHDF3,45
CC,GO:0097525,spliceosomal snRNP complex,23/2418,60/14434,0.383333333333333,2.28826854149435,4.48559130215131,5.18669516429846e-05,0.00286997132424515,0.00227941603273117,DDX46/EFTUD2/LSM2/LSM4/LUC7L/LUC7L2/PRPF18/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/SART3/SF3A2/SF3A3/SF3B3/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/USP39,23
BP,GO:0006401,RNA catabolic process,70/2342,255/13904,0.274509803921569,1.62971149177006,4.56764682539947,1.24700926455086e-05,0.00298658718859931,0.00279866070469594,ALKBH5/CELF1/CIRBP/CNOT1/CNOT4/CPEB3/DCP1B/DCP2/DCPS/DHX9/DICER1/DIS3L2/DND1/EDC3/EDC4/EIF4A3/ELAC2/ELAVL1/ETF1/EXOSC10/EXOSC5/FASTK/FMR1/FTO/FUS/HNRNPA0/HNRNPAB/HNRNPU/IKBKE/KHSRP/LARP1/LSM2/LSM4/NBAS/PABPC1/PAN2/PAN3/PARN/PCBP4/POLR2G/QKI/RBM7/RC3H1/RNASEH2A/RNASEL/RNH1/RNPS1/ROCK1/SECISBP2/SLFN12/SLFN13/SMG6/SND1/SUPV3L1/TAF15/TESK1/THRAP3/TNRC6A/TNRC6B/TRAF2/TRAF3IP2/UPF2/VIP/WDR82/YTHDF1/YTHDF2/YTHDF3/ZC3H4/ZC3HAV1/ZHX2,70
BP,GO:0140694,non-membrane-bounded organelle assembly,92/2342,361/13904,0.254847645429363,1.51298106833897,4.44455949077087,1.63581022049836e-05,0.00376105485896984,0.00352439616770111,AAAS/ALKBH5/ALMS1/ANLN/ARHGEF5/ATXN2L/AUP1/BICD1/C2CD3/C9orf72/CAPN3/CCDC57/CCDC61/CDK5RAP2/CENPT/CENPW/CEP97/CHMP1B/CHMP2B/CHMP5/CIRBP/CNOT1/CNTROB/CSRP1/DDB1/DHX30/DHX37/DYNC1H1/EDC3/EIF5B/EIF6/EML3/ERAL1/EZR/FARP2/FLNA/FMR1/FUS/GPSM2/GTF2B/HAUS5/HAUS7/HNRNPU/HSF1/INO80/KAT2A/KIF3B/KIFC2/LIMD1/LSM4/LZTS2/MAPRE1/MAPRE2/MEF2A/MOSPD2/MPV17L2/MRPS2/MYH3/NCOR1/NEK7/NOP2/NUMA1/NUP62/OBSCN/OGFOD1/PAN2/PAN3/POC1B/POGZ/PRKAR1A/PTEN/PWP2/RBM14/RC3H1/RPS28/RRP7A/SAC3D1/SENP6/SMAD4/SMC1A/TMOD2/TMOD3/TNRC6A/TPR/TUBB/TUBGCP6/VPS4B/WDR1/YTHDF1/YTHDF2/YTHDF3/ZNF207,92
CC,GO:0071013,catalytic step 2 spliceosome,27/2418,77/14434,0.350649350649351,2.09316489961651,4.31445243202552,7.51939124669587e-05,0.00376499550761765,0.00299027068693158,AQR/CDC5L/DDX41/DHX38/EFTUD2/EIF4A3/GPATCH1/HNRNPF/HNRNPM/HNRNPU/LSM2/PABPC1/PPIL2/PRPF19/PRPF6/PRPF8/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRNP40/SNRPB/SRRM1/SRRM2/SYF2/XAB2,27
CC,GO:0098687,chromosomal region,80/2418,319/14434,0.250783699059561,1.49702725898499,4.02681430163819,8.51148093592296e-05,0.00376499550761765,0.00299027068693158,AHCTF1/ANAPC16/APC/BAZ1A/BAZ1B/BRD7/CENPB/CENPO/CENPT/CENPW/CHMP1B/CHMP2B/CHMP5/CHRAC1/CKAP5/CLIP1/CTCF/DAXX/DCTN4/DCTN5/DDB1/DNMT1/FLYWCH1/FMR1/GAR1/GTF2B/HMBOX1/HNRNPU/HSF1/IKZF1/KDM1A/MAD1L1/MCM3/MCM5/MCM6/MCM7/MEN1/MTA2/NAT10/NBN/NCAPD2/NUP85/PAFAH1B1/PARP1/POLD1/PPP1CA/PPP1CB/PPP1R12A/PPP2CA/PPP2R5A/PSEN2/RAD21/RAD50/RANGAP1/RCC2/RPA1/SEC13/SIN3A/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/SMC1A/SMCHD1/SMG6/SUMO3/SUN2/SUV39H1/SYCP3/TELO2/TERF2/THOC6/TPR/WDR82/WRAP53/XRCC3/XRCC6/ZNF207/ZNF276,80
CC,GO:0044665,MLL1/2 complex,13/2418,26/14434,0.5,2.98469809760132,4.54365943367738,9.42488100846226e-05,0.00376499550761765,0.00299027068693158,HCFC1/LAS1L/MAX/MEN1/PELP1/PRPF31/RUVBL1/RUVBL2/SENP3/TAF6/TAF7/TEX10/WDR5,13
CC,GO:0071339,MLL1 complex,13/2418,26/14434,0.5,2.98469809760132,4.54365943367738,9.42488100846226e-05,0.00376499550761765,0.00299027068693158,HCFC1/LAS1L/MAX/MEN1/PELP1/PRPF31/RUVBL1/RUVBL2/SENP3/TAF6/TAF7/TEX10/WDR5,13
CC,GO:0030686,90S preribosome,11/2418,20/14434,0.55,3.28316790736146,4.58339286668348,0.000108735258245374,0.00376499550761765,0.00299027068693158,HEATR1/IMP4/KRI1/NOC2L/NOC4L/NOL6/NOP14/PES1/PWP2/RRP7A/UTP20,11
CC,GO:0016605,PML body,31/2418,95/14434,0.326315789473684,1.94790823211876,4.15810219991029,0.00010892395357389,0.00376499550761765,0.00299027068693158,CDK9/CHD3/CIITA/CSNK2A1/CSNK2B/DAXX/HIPK1/HMBOX1/HSF1/IKBKE/MORC3/MTOR/NBN/PTEN/RB1/RFWD3/RNF111/RPA1/SKIL/SP3/SPN/SUMO3/TCF7L2/TDP2/THAP1/TOPBP1/TOPORS/TP53/TP53INP1/UBE2I/USP7,31
CC,GO:0016607,nuclear speck,85/2418,346/14434,0.245664739884393,1.46647016356134,3.93970535454103,0.000112165042890688,0.00376499550761765,0.00299027068693158,ALKBH5/APBB1/ARL6IP4/ATXN2L/BRD2/CACNB4/CDC5L/CDK13/CLK2/CRY2/CXXC1/DACH1/DDX42/DDX46/DGKQ/DNAJC11/DUSP11/EAPP/EFTUD2/EHMT2/EIF4A3/EP400/FBXL4/FIBP/FTO/HBP1/HIF1A/HIPK1/HNRNPU/IK/LHPP/LUC7L2/MBD1/NFKBIZ/NONO/NR4A2/NXF1/OGG1/PARN/PIAS3/PQBP1/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/RBM14/RBM15B/RBM4/RBM4B/REXO4/RING1/RNF113A/RNPS1/SAP18/SART3/SETD1A/SF3A2/SF3A3/SFPQ/SLU7/SNRNP40/SNRNP70/SRRM1/SRRM2/SURF2/SYF2/TAB1/THOC6/THRAP3/TIMM50/TOE1/TOPORS/TUT1/U2AF1L4/U2AF2/USP36/VPS72/WBP4/YLPM1/ZNF217/ZNF395,85
CC,GO:0070603,SWI/SNF superfamily-type complex,30/2418,91/14434,0.32967032967033,1.96793281160527,4.15501315666171,0.00011340347914511,0.00376499550761765,0.00299027068693158,ARID1B/BAZ1A/BAZ1B/BCL7B/BRD7/BRD9/CDK2AP2/CHD3/CHRAC1/DMAP1/EP400/HDAC1/HMGXB4/ING3/INO80/INO80E/MBD3/MTA2/MYBBP1A/NFRKB/RB1/RUVBL1/RUVBL2/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/TFPT/TRRAP,30
CC,GO:0000151,ubiquitin ligase complex,75/2418,298/14434,0.251677852348993,1.50236481422885,3.93088711088452,0.000123777968955369,0.00376939155113097,0.00299376215459197,AMN1/ANAPC11/ANAPC13/ANAPC16/ANAPC2/ANAPC5/ANAPC7/ARIH2/ARMC8/ASB1/ASB9/BCOR/BTRC/CBX6/CCNF/CDC16/CUL1/CUL3/CUL4B/CUL9/DCAF5/DCAF7/DCAF8/DCUN1D1/DDB1/DDB2/DEPDC5/DET1/FAM8A1/FBXL15/FBXL19/FBXL4/FBXL5/FBXO10/FBXO21/FBXO31/FBXO38/FBXW4/FBXW5/FBXW8/FEM1C/IPP/IVNS1ABP/KBTBD7/KCTD10/KLHDC3/KLHL12/KLHL2/KLHL5/LZTR1/MED1/MED27/MED30/MED31/MEGF8/MKLN1/PCGF2/PCGF3/PCMTD1/PHC1/RING1/RNF11/SAMD11/SEL1L/SOCS7/SPOPL/STUB1/TOPORS/TRAF2/TRAF3/UBE2L3/UBR3/WDR26/WDR77/YPEL5,75
CC,GO:0005657,replication fork,23/2418,63/14434,0.365079365079365,2.17930337285176,4.20802987963165,0.000124889479103737,0.00376939155113097,0.00299376215459197,BAZ1B/CDC5L/DMAP1/DNMT1/EME2/MCM3/MUS81/NBN/PARP1/POLA1/POLA2/POLD1/POLD2/POLD4/POLH/PRPF19/RPA1/SMARCAL1/TEX264/TIMELESS/TP53/XRCC3/ZMIZ2,23
CC,GO:0043596,nuclear replication fork,16/2418,37/14434,0.432432432432432,2.58136051684439,4.32038296639345,0.000135751708393428,0.00391909279883637,0.00311265930915824,BAZ1B/CDC5L/EME2/MCM3/MUS81/PARP1/POLA1/POLA2/POLD1/POLD2/POLD4/PRPF19/RPA1/SMARCAL1/TIMELESS/ZMIZ2,16
CC,GO:0031332,RNAi effector complex,8/2418,12/14434,0.666666666666667,3.97959746346843,4.63192978716802,0.000160212009198052,0.00443253225447944,0.00352044809685193,DCP2/DHX9/DICER1/LIMD1/SND1/TARBP2/TNRC6A/XPO5,8
BP,GO:0070936,protein K48-linked ubiquitination,32/2342,92/13904,0.347826086956522,2.06497605168381,4.61250335315963,2.27891609767859e-05,0.00491806438963413,0.00460860262274436,ANAPC11/ANAPC13/ANAPC16/ANAPC2/ANAPC5/ANAPC7/ARIH2/BTRC/CDC16/CUL1/CUL3/FBXO38/KBTBD7/MYCBP2/NMI/PELI1/RNF115/RNF126/RNF146/RNF216/RNF5/TCF25/TOPORS/TRIM44/TRIM65/UBE2D1/UBE2D3/UBE2G1/UBE2G2/UBE2K/UBE3C/ZNRF2,32
BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,99/2342,398/13904,0.248743718592965,1.47674323796609,4.34304100096629,2.31015550661311e-05,0.00491806438963413,0.00460860262274436,ADRM1/AMN1/ANAPC11/ANAPC13/ANAPC16/ANAPC2/ANAPC5/ANAPC7/APC/ARIH2/ARMC8/ASB1/ASB9/BAG5/BTRC/CCNF/CDC16/CSNK1E/CSNK2A1/CSNK2A2/CSNK2B/CUL1/CUL3/DDB1/DET1/DVL1/FAF1/FAF2/FBXL15/FBXL19/FBXL4/FBXL5/FBXO31/FBXO38/FBXW4/FBXW5/FBXW8/FEM1C/GIPC1/HECTD3/HSP90AB1/HSPBP1/IPP/IVNS1ABP/KBTBD7/KCTD10/KLHDC3/KLHL12/KLHL2/KLHL5/LRRK2/MTM1/NAGLU/NFE2L2/PELI1/PJA2/PSMA5/PSMB2/PSMB5/PSMB6/PSMB7/PSMC3/PSMC4/PSMC5/PSMD1/PSMD11/PSMD2/PSMD3/PSMD7/PSMD8/RNF126/RNF139/RNF145/RNF216/RYBP/SIAH1/SMARCC1/SOCS7/SPOPL/STUB1/TOPORS/TRIM26/TRIM28/TRIM3/TRIP4/UBE2D1/UBE2D3/UBE2G1/UBE2K/UBE2W/UBQLN4/UBR3/UBXN1/USP25/USP38/USP5/USP7/WDR26/ZNRF2,99
CC,GO:0005774,vacuolar membrane,97/2418,411/14434,0.236009732360097,1.40883559838116,3.77203437698635,0.000189023423891566,0.00502046213856001,0.00398739938398631,ABCA3/ABCC10/AHNAK/ANXA2/ANXA6/AP3D1/ATP11A/ATP11B/ATP13A2/ATP6V1D/B2M/CD74/CHMP1B/CHMP2B/CHMP5/CLCN4/CLTA/CYB561/DDOST/DEPDC5/DRAM1/FNIP2/GABARAPL2/GDAP2/GNAQ/GNB4/GPR155/HLA-DMA/HLA-DPA1/HLA-DPB1/HLA-DRB1/ITFG2/KLC2/LAMP1/LAMP2/LMBRD1/LPCAT1/LRBA/LRRC8A/M6PR/MFSD1/MLST8/MTOR/NPRL2/OSTM1/P2RX4/PRMT1/RAB12/RAB2A/RB1CC1/RNF13/RPTOR/SBF2/SCARB1/SEC13/SLC11A2/SLC15A4/SLC17A9/SLC22A17/SLC2A6/SLC36A4/SLC37A3/SLC38A7/SLC3A1/SLCO4C1/SPAG9/SPG11/SPHK2/SPNS1/SPPL2A/SPPL2B/STARD3NL/STX7/SURF4/TAB2/TEX264/TM6SF1/TMEM203/TMEM30A/TMEM59/TMEM63A/TPCN1/TRIM23/TSC1/VAC14/VAMP7/VOPP1/VPS11/VPS33A/VPS33B/VPS35/VPS4A/WDR24/WDR81/YWHAB/ZFYVE26/ZNRF2,97
CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",66/2418,259/14434,0.254826254826255,1.52115887599759,3.79651378613463,0.000210101355850534,0.00536566539556749,0.00426157001138128,AZI2/C9orf72/CAB39/CCNF/CCNG2/CCNT2/CDK10/CDK13/CDK4/CDK5R1/CDK9/CHRAC1/CHUK/CSNK2A1/CSNK2A2/CSNK2B/ERC1/ERCC2/ERCC3/EXT2/GMPPA/GTF2B/GTF2H3/IKBKB/IKBKE/KAT2A/LAS1L/MCM3/MMS19/PAAF1/PFKM/PFKP/PIK3CA/PIK3R4/POLA1/POLA2/POLD1/POLD2/POLD4/POLE/POLG/POLR1A/POLR1B/POLR2G/POLR2L/POLR3A/POLR3C/POLRMT/PRKAR1A/PRKAR1B/RB1/RB1CC1/RPAP1/TAF13/TAF3/TAF6/TAF7/TANK/TBC1D5/TBK1/TGFBR1/TRAF3/TRRAP/VAC14/XRCC6/ZBTB7A,66
MF,GO:0004386,helicase activity,43/2412,139/14323,0.309352517985612,1.83700502284739,4.4622353987794,2.84193828569312e-05,0.00608743180795466,0.00548643664838019,AQR/CHD1/CHD3/CHTF18/CHTF8/DDX11/DDX19A/DDX24/DDX27/DDX31/DDX41/DDX42/DDX46/DDX51/DDX54/DDX55/DDX56/DHX30/DHX33/DHX37/DHX38/DHX40/DHX57/DHX9/DICER1/EIF4A3/EP400/ERCC2/ERCC3/MCM3/MCM5/MCM6/MCM7/MCM9/RAD50/RAD54L2/RUVBL1/RUVBL2/SMARCA4/SMARCAL1/SNRNP200/SUPV3L1/XRCC6,43
CC,GO:0035861,site of double-strand break,26/2418,78/14434,0.333333333333333,1.98979873173422,3.93191357910786,0.000259372968100086,0.00637865373401694,0.00506611528335841,ACTR2/ACTR3/ARPC3/DDB1/FH/HUS1/IFFO1/NBN/PARP1/PARP3/PELI1/PHF1/POLH/PRPF19/RAD50/RFWD3/RPA1/SAMHD1/SMARCAL1/SMCHD1/STK38/TIMELESS/TOPBP1/TP53/WRAP53/ZBTB7A,26
CC,GO:0098798,mitochondrial protein-containing complex,42/2418,149/14434,0.281879194630873,1.68264859193632,3.75730720111102,0.000311389899860591,0.00738438905383686,0.00586489999361488,ACACB/AFG3L2/APOOL/CHCHD10/CLPX/DNAJC11/HADHA/HSD17B10/IMMT/MFN1/MPV17L2/MRPL10/MRPL12/MRPL16/MRPL2/MRPL37/MRPL38/MRPL4/MRPL41/MRPL49/MRPL55/MRPS11/MRPS12/MRPS18A/MRPS2/MRPS34/MRPS6/NFS1/NSUN3/PMPCA/POLG/POLRMT/PTCD3/SAMM50/SLC25A5/SLC25A6/SPG7/SUPV3L1/TIMM22/TIMM44/TIMM50/TOMM40,42
BP,GO:0042177,negative regulation of protein catabolic process,33/2342,98/13904,0.336734693877551,1.99912860105614,4.46716216997841,3.63970577158625e-05,0.0074717959910992,0.00700164452376197,ALAD/ANXA2/ATP13A2/AZIN1/BAG5/CDK5RAP3/CSNK2A1/CSNK2A2/CSNK2B/FLNA/FMN2/FYN/GABARAPL2/GIPC1/HMGCR/HSP90AB1/IRAK3/MDM4/MTM1/MYCBP2/RGP1/ROCK1/RYBP/SF3B3/SMAD4/SMARCC1/SNRNP70/UBXN1/USP25/USP38/USP7/USP8/VPS35,33
MF,GO:0017069,snRNA binding,18/2412,41/14323,0.439024390243902,2.60702584637787,4.63699523734529,4.39973099406663e-05,0.00753359964296603,0.00678982836758548,CCNT2/CDK9/EFTUD2/EIF5A/GEMIN5/HNRNPU/LSM2/LSM4/PRPF31/PRPF4/PRPF8/RBM7/SART3/SF3B3/SNRNP70/SNRPA/TOE1/TUT1,18
MF,GO:0045296,cadherin binding,76/2412,295/14323,0.257627118644068,1.52984793546392,4.13790723188126,5.87495534193845e-05,0.00753359964296603,0.00678982836758548,ABCF3/ABI1/ADD1/AHNAK/AHSA1/ANLN/ANXA2/ARFIP2/ATIC/ATXN2L/CAPZA1/CD46/CDK5R1/CHMP2B/CHMP5/CKAP5/CTNNAL1/DCHS1/DNAJB1/EEF2/EHD4/EIF4H/EMD/ENO1/EPS8L2/ERC1/EZR/FASN/FLNA/FLNB/FMNL2/FXYD5/GIPC1/GOLGA3/HCFC1/HSP90AB1/IDH1/JUP/KLC2/KRT18/LARP1/MAPRE1/MPP7/MPRIP/NUDC/P2RX4/PAK4/PDLIM5/PDXDC1/PFKP/PFN1/PI4KA/PKN2/PPP1CA/PSMB6/PTPN1/PUF60/RANGAP1/RTN4/RUVBL1/SCRIB/SLK/SND1/SNX9/SPTAN1/STK24/STK38/TBC1D10A/TMOD3/TWF1/UBAP2/UBFD1/USP8/YWHAB/YWHAZ/ZC3HAV1,76
MF,GO:0019787,ubiquitin-like protein transferase activity,100/2412,412/14323,0.242718446601942,1.44131687839122,4.09012277299379,5.96788167816556e-05,0.00753359964296603,0.00678982836758548,ANAPC11/ARIH2/ASB1/ATG3/BCOR/BIRC6/BTRC/CBLB/CNOT4/CUL3/CUL9/DDB2/DTX1/FBXL5/FBXO10/FBXO21/FBXO30/FBXW8/HECTD3/HECW2/HERC1/IRF2BP1/KCTD10/LONRF1/MDM4/MED1/MED27/MED30/MED31/MYCBP2/NEURL4/NFX1/PCGF3/PELI1/PELI3/PIAS3/PJA2/PPIL2/PRPF19/RC3H1/RFWD3/RING1/RNF103/RNF11/RNF111/RNF113A/RNF114/RNF115/RNF121/RNF126/RNF13/RNF139/RNF141/RNF145/RNF146/RNF216/RNF220/RNF25/RNF26/RNF43/RNF5/RNFT1/RPGR/SIAH1/STUB1/TMEM129/TOPORS/TRAF2/TRAF3/TRAF3IP2/TRIM14/TRIM23/TRIM24/TRIM26/TRIM28/TRIM3/TRIM4/TRIM44/TRIM62/TRIM65/TRIM68/UBA3/UBE2D1/UBE2D3/UBE2G1/UBE2G2/UBE2I/UBE2K/UBE2L3/UBE2W/UBE2Z/UBE3B/UBE3C/UBL4A/UBR3/VPS11/WDR24/ZFP91/ZMIZ2/ZNRF2,100
