ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006364,rRNA processing,57/2342,180/13904,0.316666666666667,1.87998861372047,5.34815733251118,6.65426583215731e-07,0.000382487200032402,0.000358419771191042,BMS1/BYSL/DDX27/DDX51/DDX54/DDX56/DHX37/EIF4A3/EIF6/ERCC2/ERI3/EXOSC10/EXOSC5/FTSJ3/GAR1/GEMIN4/HEATR1/IMP4/KRI1/LAS1L/NAT10/NOB1/NOC4L/NOL10/NOL6/NOL9/NOP14/NOP2/NSUN3/NSUN5P1/PDCD11/PELP1/PES1/PIH1D1/PWP1/PWP2/REXO4/RNASEL/RPP30/RPS28/RRP1/RRP7A/RRP8/RRP9/SUV39H1/TRMT2B/TSR1/TSR2/URB1/USP36/UTP20/UTP23/WBP11/WDR18/WDR46/WDR55/YTHDF2,57
BP,GO:0006302,double-strand break repair,73/2342,255/13904,0.286274509803922,1.69955626998878,5.07426975299557,1.5645154958842e-06,0.000817530460940217,0.000766088592577938,ABL1/ACTR2/ARID1B/BCL7B/BRD7/CIB1/CSNK2A1/CSNK2A2/DDX11/DMAP1/EME2/EP400/FH/FMN2/FUS/HMGB2/HSF1/HUS1/IFFO1/ING3/INO80/KDM1A/MCM3/MCM5/MCM6/MCM7/MCM9/MGMT/MPND/MUS81/NBN/NUDT16L1/OGG1/PARP1/PARP3/PELI1/POGZ/POLA1/POLB/PPP4R2/PPP5C/PRMT1/PRPF19/RAD21/RAD50/RFWD3/RMI1/RNF126/RPA1/RUVBL1/RUVBL2/SAMHD1/SENP3/SFPQ/SMARCA4/SMARCAL1/SMARCB1/SMARCC1/SMARCC2/SMARCD1/SMCHD1/TDP2/TIMELESS/TOPBP1/TP53/TRRAP/UBQLN4/VPS72/WRAP53/XRCC3/XRCC6/ZBTB7A/ZFYVE26,73
CC,GO:0005819,spindle,91/2418,356/14434,0.25561797752809,1.52588498248158,4.50683628062789,1.2965969560404e-05,0.000956600420900919,0.000759760321609639,AAAS/ACOT13/ALMS1/ANAPC5/ANAPC7/APP/ARHGEF7/ARL3/BIRC6/CALM1/CCDC57/CDC16/CDC25B/CDK5RAP2/CHMP1B/CHMP2B/CHMP5/CIAO1/CKAP5/CLTA/CUL3/DCTN4/DDX11/DYNLT1/EMD/EML2/EML3/ERCC2/FMN2/GPSM2/HAUS5/HAUS7/HECW2/HNRNPU/HSF1/HSPB1/IK/INO80/INVS/KAT2A/KIF3B/KIFC2/LATS2/MAD1L1/MAP2K5/MAP4/MAPK1/MAPKBP1/MAPRE1/MAPRE2/MICAL3/MMS19/NCOR1/NEIL2/NEK7/NIN/NUDC/NUMA1/NUP62/NUP85/ODF2/PAFAH1B1/POC1B/POLB/PPP2CA/PRPF19/PTP4A1/PTPN7/RAD21/RANGAP1/RASSF1/RB1/RCC2/SAC3D1/SLC25A5/SMC1A/SPAST/TMEM201/TOPBP1/TOPORS/TPPP/TPR/TUBB/TUBB3/TUBGCP6/VPS4A/VPS4B/WDR5/YEATS2/YPEL5/ZNF207,91
BP,GO:0022618,protein-RNA complex assembly,49/2342,152/13904,0.322368421052632,1.91383882421682,5.0984679239827,2.23878725441121e-06,0.00107237909486297,0.00100490126147563,CELF1/DDX42/DDX46/DHX30/DHX9/DICER1/EIF3B/EIF3D/EIF3G/EIF3I/EIF6/ERAL1/GEMIN4/GEMIN5/HSP90AB1/LSM2/LSM4/LUC7L/LUC7L2/NOP2/PIH1D1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF6/PRPF8/PUF60/PWP2/RPS28/RRP7A/RUVBL1/RUVBL2/SART3/SF1/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRPB/TARBP2/TGS1/U2AF2/USP39/WDR77/XAB2/ZRSR2,49
BP,GO:0071826,protein-RNA complex organization,51/2342,161/13904,0.316770186335404,1.88060318992633,5.05805611674149,2.50328884059278e-06,0.0011068387889021,0.0010371926313614,CELF1/DDX42/DDX46/DHX30/DHX9/DICER1/DNAJC17/EIF3B/EIF3D/EIF3G/EIF3I/EIF6/ERAL1/FAF2/GEMIN4/GEMIN5/HSP90AB1/LSM2/LSM4/LUC7L/LUC7L2/NOP2/PIH1D1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF6/PRPF8/PUF60/PWP2/RPS28/RRP7A/RUVBL1/RUVBL2/SART3/SF1/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRPB/TARBP2/TGS1/U2AF2/USP39/WDR77/XAB2/ZRSR2,51
BP,GO:0042254,ribosome biogenesis,71/2342,251/13904,0.282868525896414,1.67933560378469,4.88808125145114,3.46422719189072e-06,0.00142231270707056,0.00133281583014322,BMS1/BYSL/CUL4B/DDX27/DDX31/DDX51/DDX54/DDX56/DHX30/DHX37/EIF4A3/EIF5B/EIF6/ERAL1/ERCC2/ERI3/EXOSC10/EXOSC5/FTSJ3/GAR1/GEMIN4/GNL3L/GRWD1/HEATR1/IMP4/KRI1/LAS1L/LSG1/MPV17L2/MRPS2/MYBBP1A/NAT10/NOB1/NOC2L/NOC4L/NOL10/NOL6/NOL9/NOP14/NOP2/NSUN3/NSUN5P1/PDCD11/PELP1/PES1/PIH1D1/PWP1/PWP2/REXO4/RNASEL/RPP30/RPS28/RRP1/RRP7A/RRP8/RRP9/SUV39H1/TRMT2B/TSC1/TSR1/TSR2/URB1/USP36/UTP20/UTP23/WBP11/WDR18/WDR46/WDR55/YTHDF2/ZNF658,71
BP,GO:0006402,mRNA catabolic process,62/2342,211/13904,0.293838862559242,1.74446436593668,4.90418746239854,3.71833847279021e-06,0.00142486730277321,0.00133520968177316,ALKBH5/CELF1/CIRBP/CNOT1/CNOT4/CPEB3/DCP1B/DCP2/DCPS/DHX9/DIS3L2/DND1/EDC3/EDC4/EIF4A3/ELAVL1/ETF1/EXOSC10/EXOSC5/FASTK/FMR1/FTO/FUS/HNRNPA0/HNRNPAB/HNRNPU/IKBKE/KHSRP/LARP1/LSM2/LSM4/NBAS/PABPC1/PAN2/PAN3/PARN/PCBP4/POLR2G/QKI/RC3H1/RNASEL/RNH1/RNPS1/ROCK1/SECISBP2/SMG6/SND1/SUPV3L1/TAF15/TESK1/THRAP3/TNRC6A/TNRC6B/TRAF2/TRAF3IP2/UPF2/VIP/YTHDF1/YTHDF2/YTHDF3/ZC3HAV1/ZHX2,62
CC,GO:0030532,small nuclear ribonucleoprotein complex,26/2418,69/14434,0.376811594202899,2.24933769674303,4.66635815282833,2.44992040644224e-05,0.00162674714987765,0.00129201065645006,DDX46/EFTUD2/GEMIN4/LSM2/LSM4/LUC7L/LUC7L2/PRPF18/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/SART3/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/TGS1/USP39,26
BP,GO:0141188,nucleic acid catabolic process,77/2342,281/13904,0.274021352313167,1.62681164925802,4.7773280566085,5.02802789279209e-06,0.00180523192054224,0.00169164043098096,AIFM1/ALKBH5/CELF1/CIRBP/CNOT1/CNOT4/CPEB3/DCP1B/DCP2/DCPS/DFFA/DHX9/DICER1/DIS3L2/DNASE1/DND1/EDC3/EDC4/EIF4A3/ELAC2/ELAVL1/ENDOG/ETF1/EXOSC10/EXOSC5/FASTK/FMR1/FTO/FUS/HNRNPA0/HNRNPAB/HNRNPU/HSF1/IKBKE/KHSRP/LARP1/LSM2/LSM4/MUS81/NBAS/PABPC1/PAN2/PAN3/PARN/PCBP4/POLR2G/QKI/RBM7/RC3H1/REXO4/RNASEH2A/RNASEL/RNH1/RNPS1/ROCK1/SECISBP2/SLFN12/SLFN13/SMG6/SND1/SUPV3L1/TAF15/TESK1/THRAP3/TNRC6A/TNRC6B/TRAF2/TRAF3IP2/UPF2/VIP/WDR82/YTHDF1/YTHDF2/YTHDF3/ZC3H4/ZC3HAV1/ZHX2,77
BP,GO:0031647,regulation of protein stability,81/2342,300/13904,0.27,1.60293766011956,4.75150238027439,5.33906448316249e-06,0.00180523192054224,0.00169164043098096,AAK1/ASPH/BAG4/BAG5/BTRC/CALR/CAPN3/CCDC88C/CCT5/CCT7/CD74/CD81/CDC37/COG7/CREB1/CSNK2A1/CUL3/DDOST/DVL1/FLNA/GIPC1/GNAQ/GNL3L/GOLGA7/HCFC1/HDAC6/HSP90AB1/HTT/ISOC2/KAT2A/LAMP1/LAMP2/LRRK2/LSS/MAPK1/MDM4/MFSD1/MORC3/MTOR/NF2/PDRG1/PFN1/PIH1D1/PPIB/PTEN/RAB21/RASSF1/RNF139/RNF5/RTN4/RUVBL1/RUVBL2/SEL1L/SOX4/SPAG1/STK3/STUB1/TBRG1/TELO2/TMC6/TMC8/TP53/TRIM24/TRIM44/TSC1/UBL4A/USP24/USP25/USP34/USP36/USP38/USP40/USP5/USP7/USP8/VPS11/VPS35/WDR81/WFS1/YWHAZ/ZNF207,81
