gene,module
CCDC130,brown
CCDC134,brown
CCDC137,brown
CCDC142,brown
CCDC146,yellow
CCDC22,brown
CCDC42,brown
CCDC47,yellow
CCDC57,brown
CCDC61,brown
CCDC84,brown
CCDC85C,brown
CCDC86,brown
CCDC88C,brown
CCDC92,brown
CCDC94,brown
CCHCR1,brown
CCNDBP1,yellow
CCNF,brown
CCNG2,yellow
CCNT2,yellow
CCNYL1,yellow
CCPG1,yellow
CCR2,yellow
CCR5,brown
CCT5,brown
CCT7,brown
CD101,brown
CD247,brown
CD248,brown
CD36,yellow
CD37,brown
CD3E,brown
CD3EAP,brown
CD4,brown
CD44,brown
CD46,yellow
CD58,yellow
CD59,yellow
CD7,brown
CD74,brown
CD81,brown
CD84,brown
CD86,yellow
CD99,brown
CDAN1,brown
CDC16,brown
CDC25B,brown
CDC37,brown
CDC42BPB,brown
CDC5L,yellow
CDK10,brown
CDK13,brown
CDK2AP2,brown
CDK4,brown
CDK5R1,yellow
CDK5RAP2,brown
CDK5RAP3,brown
CDK9,brown
CDKN1C,brown
CDKN2B,yellow
CECR1,brown
CELF1,brown
CELSR3,brown
CENPB,brown
CENPO,brown
CENPT,brown
CENPW,yellow
CEP164,brown
CEP250,brown
CEP97,yellow
CERK,brown
CES2,brown
CFL1,brown
CHADL,brown
CHCHD10,brown
CHD1,yellow
CHD3,brown
CHMP1B,yellow
CHMP2B,yellow
CHMP5,yellow
CHRAC1,brown
CHST14,brown
CHTF18,brown
CHTF8,brown
CHUK,yellow
CIAO1,brown
CIAPIN1,brown
CIB1,brown
CIITA,brown
CIRBP,brown
CISD2,yellow
CISD3,brown
CISH,brown
CITED2,brown
CIZ1,brown
CKAP5,brown
CKB,brown
CKLF,yellow
CLCN4,yellow
CLEC12A,yellow
CLEC12B,yellow
CLEC4A,yellow
CLEC4D,yellow
CLEC7A,yellow
CLIC2,yellow
CLIP1,yellow
CLIP2,brown
CLK2,brown
CLK4,yellow
CLN8,brown
CLPP,brown
CLPTM1L,brown
CLPX,yellow
CLSTN1,brown
CLTA,brown
CLVS1,yellow
CMTM4,yellow
CNDP2,brown
CNFN,brown
CNIH4,yellow
CNNM3,brown
CNOT1,brown
CNOT4,brown
CNP,brown
CNR1,yellow
CNTROB,brown
COG1,brown
COG2,brown
COG4,brown
COG7,brown
COL4A3BP,yellow
COL6A2,brown
COLQ,brown
COMMD2,yellow
COMMD4,brown
COMMD7,brown
COMT,brown
COPS6,brown
COPS7B,brown
COPZ1,brown
COQ10B,yellow
COQ2,yellow
COQ4,brown
COX10,brown
COX6B1,brown
COX8A,brown
CPD,yellow
CPEB2,yellow
CPEB3,yellow
CPEB4,yellow
CPNE8,yellow
CPSF1,brown
CPSF3,brown
CPSF4,brown
CRADD,yellow
CREB1,yellow
CREB3,brown
CREB3L2,brown
CREG1,yellow
CRELD1,brown
CRELD2,brown
CRIPT,yellow
CROCC,brown
CRTC3,brown
CRY2,brown
CRYBA2,brown
CRYGS,brown
CS,brown
CSF2RB,yellow
CSGALNACT1,yellow
CSGALNACT2,yellow
CSNK1E,brown
CSNK2A1,brown
CSNK2A2,brown
CSNK2B,brown
CSRP1,brown
CSTF1,brown
CTBP1,brown
CTCF,brown
CTNNAL1,yellow
CTNNBL1,brown
CTSF,brown
CTTNBP2NL,yellow
CTU2,brown
CUEDC2,brown
CUL1,brown
CUL3,yellow
CUL4B,yellow
CUL9,brown
CUTC,yellow
CXCL6,yellow
CXCR3,brown
CXorf23,yellow
CXorf65,brown
CXXC1,brown
CXXC5,brown
CYB561,brown
CYB5B,brown
CYB5R4,yellow
CYC1,brown
CYFIP1,brown
CYFIP2,brown
CYP1B1,yellow
CYP3A5,brown
CYS1,brown
CYTH1,brown
CYYR1,yellow
D2HGDH,brown
DACH1,yellow
DAG1,brown
DAXX,brown
DBP,brown
DCAF5,brown
DCAF7,brown
DCAF8,brown
DCAKD,brown
DCBLD2,yellow
DCHS1,brown
DCP1B,brown
DCP2,yellow
DCPS,brown
DCTD,brown
DCTN4,yellow
DCTN5,brown
DCUN1D1,yellow
DCXR,brown
DDB1,brown
DDB2,brown
DDOST,brown
DDX11,brown
DDX19A,brown
DDX24,brown
DDX27,brown
DDX31,brown
DDX41,brown
DDX42,brown
DDX46,brown
DDX51,brown
DDX54,brown
DDX55,brown
DDX56,brown
DEAF1,brown
DEFB124,brown
DEGS1,yellow
DENND1C,brown
DEPDC5,brown
DERA,yellow
DET1,brown
DEXI,brown
DFFA,brown
DGCR6L,brown
DGKA,brown
DGKD,brown
DGKQ,brown
DHCR24,brown
