gene,module
PCNT,brown
PCSK7,brown
PCYOX1L,brown
PCYT2,brown
PDCD11,brown
PDCD7,brown
PDDC1,brown
PDE4A,brown
PDE4B,yellow
PDE4DIP,brown
PDE6B,brown
PDGFC,yellow
PDHA1,brown
PDHB,brown
PDIA3,brown
PDIA4,brown
PDIA6,brown
PDK2,brown
PDK4,yellow
PDLIM5,yellow
PDPR,brown
PDRG1,brown
PDXDC1,brown
PDZD8,yellow
PEA15,brown
PELI1,yellow
PELI3,brown
PELP1,brown
PEMT,brown
PEPD,brown
PES1,brown
PEX14,brown
PFAS,brown
PFKM,brown
PFKP,brown
PFN1,brown
PGAP3,brown
PGGT1B,yellow
PGM2,yellow
PGPEP1,brown
PHACTR4,brown
PHC1,brown
PHF1,brown
PHF19,brown
PHF3,yellow
PHGDH,brown
PHPT1,brown
PHTF1,yellow
PI4KA,brown
PIAS3,brown
PIGB,yellow
PIGC,brown
PIGL,brown
PIGO,brown
PIGU,brown
PIGX,yellow
PIH1D1,brown
PIK3AP1,yellow
PIK3CA,yellow
PIK3R4,yellow
PIP4K2B,brown
PIP5K1B,yellow
PITPNB,brown
PITPNC1,brown
PITPNM2,brown
PITRM1,brown
PJA2,yellow
PKN2,yellow
PLA2G12A,brown
PLA2G4A,yellow
PLAC8L1,brown
PLAT,brown
PLCD1,brown
PLCG1,brown
PLCXD1,brown
PLD4,brown
PLOD3,brown
PLXNA3,brown
PMAIP1,yellow
PMPCA,brown
PMVK,brown
PNPLA7,brown
PNPLA8,yellow
PNPO,brown
POC1B,yellow
POFUT1,brown
POGK,brown
POGZ,brown
POLA1,brown
POLA2,brown
POLB,yellow
POLD1,brown
POLD2,brown
POLD4,brown
POLE,brown
POLG,brown
POLH,brown
POLR1A,brown
POLR1B,brown
POLR2G,brown
POLR2L,brown
POLR3A,brown
POLR3C,brown
POLRMT,brown
POM121,brown
POM121C,brown
POMT1,brown
POMT2,brown
POMZP3,brown
PORCN,brown
PPARA,brown
PPARD,brown
PPARGC1B,brown
PPDPF,brown
PPIB,brown
PPIL2,brown
PPIP5K1,brown
PPM1B,yellow
PPM1D,yellow
PPM1G,brown
PPOX,brown
PPP1CA,brown
PPP1CB,yellow
PPP1R12A,yellow
PPP1R13B,brown
PPP1R15B,yellow
PPP2CA,yellow
PPP2R3A,yellow
PPP2R3C,yellow
PPP2R5A,yellow
PPP2R5D,brown
PPP4R2,yellow
PPP5C,brown
PPRC1,brown
PQBP1,brown
PRDM10,yellow
PRDM15,brown
PREB,brown
PREP,brown
PRKAR1A,yellow
PRKAR1B,brown
PRMT1,brown
PRMT7,brown
PROCA1,brown
PROSC,brown
PRPF18,yellow
PRPF19,brown
PRPF3,brown
PRPF31,brown
PRPF4,brown
PRPF40B,brown
PRPF6,brown
PRPF8,brown
PRPSAP1,brown
PRR12,brown
PRR22,brown
PRR3,brown
PRRT2,brown
PRRT3,brown
PRSS27,brown
PRSS53,brown
PSEN2,brown
PSMA5,brown
PSMB2,brown
PSMB5,brown
PSMB6,brown
PSMB7,brown
PSMC3,brown
PSMC4,brown
PSMC5,brown
PSMD1,brown
PSMD11,brown
PSMD2,brown
PSMD3,brown
PSMD7,brown
PSMD8,brown
PTBP1,brown
PTCD3,brown
PTDSS1,brown
PTDSS2,brown
PTEN,yellow
PTGDS,brown
PTGES2,brown
PTGS2,yellow
PTP4A1,yellow
PTPDC1,brown
PTPN1,brown
PTPN12,yellow
PTPN18,brown
PTPN23,brown
PTPN7,brown
PTPN9,brown
PTPRS,brown
PTRH1,brown
PTX3,yellow
PUF60,brown
PUS1,brown
PWP1,brown
PWP2,brown
PWWP2A,yellow
PWWP2B,brown
PXMP4,brown
PYCRL,brown
PYGO2,brown
PZP,brown
QKI,yellow
QRICH1,brown
QTRT1,brown
R3HCC1,brown
R3HDM1,brown
R3HDM2,brown
RAB11FIP3,brown
RAB12,brown
RAB18,yellow
RAB21,yellow
RAB2A,yellow
RAB33B,yellow
RAB3GAP1,brown
RAB5A,yellow
RAB8A,brown
RABEP2,brown
RABGAP1,brown
RABGGTA,brown
RAD21,yellow
RAD50,brown
RAD54L2,brown
RAD9A,brown
RAI1,brown
RALGDS,brown
RAMP1,brown
RANBP3,brown
RANGAP1,brown
RAP1A,yellow
RAP2C,yellow
RARG,brown
RASA3,brown
RASAL3,brown
RASD2,brown
RASGRP2,brown
RASSF1,brown
RASSF3,yellow
RASSF7,brown
RB1,yellow
RB1CC1,yellow
RBM14,brown
RBM15B,brown
RBM18,yellow
RBM4,brown
RBM4B,brown
RBM6,brown
RBM7,yellow
RBMS1,yellow
RBMXL1,yellow
RC3H1,yellow
RCBTB2,yellow
RCC2,brown
RCE1,brown
RDH13,brown
REEP3,yellow
REPIN1,brown
REPS1,brown
RETSAT,brown
REXO4,brown
RFTN1,brown
RFWD3,brown
RFX3,yellow
RGP1,brown
RGS18,yellow
RGS2,yellow
RGS8,brown
RHBDD1,brown
RHOBTB2,brown
RHOC,brown
RHOF,brown
RHOQ,yellow
RHOT1,yellow
RHOT2,brown
RHPN1,brown
RICTOR,yellow
RIMS3,brown
RIN2,yellow
RING1,brown
RIPK2,yellow
RLF,yellow
RMI1,yellow
RNASE4,yellow
RNASEH2A,brown
RNASEL,yellow
RNF103,yellow
RNF11,yellow
RNF111,yellow
RNF113A,brown
RNF114,brown
RNF115,brown
RNF121,brown
RNF126,brown
RNF13,yellow
RNF139,yellow
RNF141,yellow
RNF145,yellow
RNF146,yellow
RNF216,brown
RNF220,brown
RNF25,brown
RNF26,brown
RNF43,brown
RNF5,brown
RNFT1,yellow
RNH1,brown
RNPS1,brown
ROCK1,yellow
RORC,brown
RP2,yellow
RPA1,brown
RPAP1,brown
RPGR,yellow
RPLP2,brown
RPN2,brown
RPP30,brown
RPRD2,brown
RPS28,brown
RPS6KA3,yellow
RPTOR,brown
RPUSD3,brown
RRM2B,yellow
RRP1,brown
RRP7A,brown
RRP8,brown
RRP9,brown
RSBN1L,yellow
RTN4,yellow
RTN4R,brown
RUFY2,brown
RUFY3,brown
RUNX2,yellow
RUSC1,brown
RUVBL1,brown
RUVBL2,brown
RYBP,yellow
RYR1,brown
S100A10,brown
S100A12,yellow
S100A8,yellow
S1PR2,brown
SAC3D1,brown
SAE1,brown
SAMD1,brown
SAMD10,brown
SAMD11,brown
SAMD8,yellow
SAMHD1,brown
SAMM50,brown
SAMSN1,yellow
SAP18,brown
SAP30,yellow
SARM1,brown
SARS,brown
SARS2,brown
SART3,brown
SASH3,brown
SAT1,yellow
SAT2,brown
SBF2,yellow
SBK1,brown
SCAMP3,brown
SCAND1,brown
SCARB1,brown
SCCPDH,yellow
SCFD2,brown
SCMH1,brown
SCN9A,yellow
SCRIB,brown
SCRN1,brown
SCRN2,brown
SCRN3,yellow
SCYL2,yellow
SCYL3,yellow
SDHA,brown
SDHC,brown
SDHD,yellow
SDR39U1,brown
SEC13,brown
SEC24B,yellow
SEC31A,brown
SEC31B,brown
SECISBP2,brown
SEL1L,yellow
SEMA3C,yellow
SEMA4C,brown
SEMA6A,brown
SENP3,brown
SENP6,yellow
SERAC1,yellow
SERINC1,yellow
SERINC5,brown
SERPINB2,yellow
SERPINB6,brown
SERPINI2,yellow
SETD1A,brown
SETD4,brown
SETD7,yellow
SF1,brown
SF3A2,brown
SF3A3,brown
SF3B3,brown
SFI1,brown
SFMBT1,brown
SFPQ,brown
SFT2D1,yellow
SFXN2,brown
SFXN3,brown
SGK223,brown
SGMS1,yellow
SGMS2,yellow
SGSH,brown
SGSM2,brown
SGSM3,brown
SH2B1,brown
SH3BGRL3,brown
SH3PXD2A,brown
SHC1,brown
SHMT2,brown
SHOC2,yellow
SHPK,brown
SIAH1,yellow
SIGIRR,brown
SIGMAR1,brown
SIK2,brown
SIM2,brown
SIN3A,brown
SIPA1L3,brown
SIRT3,brown
SKIL,yellow
SLA2,brown
SLAMF6,brown
SLBP,yellow
SLC11A2,brown
SLC12A7,brown
SLC15A4,yellow
SLC16A6,yellow
SLC17A9,brown
SLC18A2,yellow
SLC1A4,brown
SLC20A2,brown
SLC22A15,yellow
SLC22A17,brown
SLC23A2,yellow
SLC25A13,brown
SLC25A14,yellow
SLC25A19,brown
SLC25A22,brown
SLC25A23,brown
SLC25A28,brown
SLC25A3,brown
SLC25A35,brown
SLC25A38,brown
SLC25A40,yellow
SLC25A42,brown
SLC25A45,brown
SLC25A5,brown
SLC25A6,brown
SLC2A11,brown
SLC2A6,brown
SLC35A4,brown
SLC35A5,yellow
SLC35C1,brown
SLC35C2,brown
SLC35D2,brown
SLC35F5,yellow
SLC36A4,yellow
SLC37A1,brown
SLC37A3,yellow
SLC37A4,brown
SLC38A7,brown
SLC39A13,brown
SLC39A9,brown
SLC3A1,brown
SLC40A1,yellow
SLC43A1,brown
SLC5A2,brown
SLC5A6,brown
SLC6A16,brown
SLC7A1,brown
SLC7A11,yellow
SLC7A6OS,brown
SLC9A3R1,brown
SLC9A9,brown
SLCO4C1,yellow
SLFN12,yellow
SLFN13,brown
SLFN5,brown
SLK,yellow
SLMAP,yellow
SLU7,yellow
SMAD2,yellow
SMAD4,yellow
SMARCA4,brown
SMARCAL1,brown
SMARCB1,brown
SMARCC1,brown
SMARCC2,brown
SMARCD1,brown
SMC1A,brown
SMCHD1,yellow
SMG6,brown
SMPD1,brown
SMPDL3A,yellow
SMYD5,brown
SNAP47,brown
SND1,brown
SNPH,brown
SNRK,yellow
SNRNP200,brown
SNRNP40,brown
SNRNP70,brown
SNRPA,brown
SNRPB,brown
SNX10,yellow
SNX13,yellow
SNX16,yellow
SNX17,brown
SNX18,yellow
SNX29,brown
SNX30,yellow
SNX9,brown
SOCS7,brown
SORBS3,brown
SOX12,brown
SOX4,yellow
SP140L,brown
SP3,yellow
SPAG1,yellow
SPAG9,yellow
SPAST,yellow
SPATS2,brown
SPDYE2,brown
SPG11,brown
SPG20,yellow
SPG7,brown
SPHK2,brown
SPN,brown
SPNS1,brown
SPOCK2,brown
SPOPL,yellow
SPPL2A,yellow
SPPL2B,brown
SPPL3,brown
SPRY3,yellow
SPTAN1,brown
SPTLC1,yellow
SPTY2D1,yellow
SRBD1,yellow
SREBF2,brown
SRGN,yellow
SRM,brown
SRP68,brown
SRRM1,brown
SRRM2,brown
SRRT,brown
SSBP3,brown
SSBP4,brown
SSFA2,yellow
SSRP1,brown
SSSCA1,brown
ST3GAL1,brown
ST3GAL6,yellow
ST6GALNAC3,yellow
ST6GALNAC6,brown
ST8SIA4,yellow
STAG3L3,brown
STAM2,yellow
STARD3NL,yellow
STIP1,brown
STK24,brown
STK25,brown
STK3,yellow
STK36,brown
STK38,brown
STK38L,yellow
STOML2,brown
STRN3,yellow
STT3A,brown
STUB1,brown
STX7,yellow
STXBP3,yellow
STXBP5,yellow
SUDS3,yellow
SULT1B1,yellow
SUMF2,brown
SUMO3,brown
SUN2,brown
SUPT16H,brown
SUPT5H,brown
SUPV3L1,brown
SURF2,brown
SURF4,brown
SUV39H1,brown
SYCP3,yellow
SYF2,yellow
SYMPK,brown
SYNE2,brown
SYNGAP1,brown
SYNGR2,brown
SYNJ1,yellow
SYNRG,brown
SYTL1,brown
TAB1,brown
TAB2,yellow
TAB3,yellow
TACO1,brown
TAF13,yellow
TAF15,brown
TAF1C,brown
TAF3,brown
TAF6,brown
TAF7,yellow
TANK,yellow
TARBP2,brown
TATDN2,brown
TATDN3,yellow
TBC1D10A,brown
TBC1D10C,brown
TBC1D15,yellow
TBC1D23,yellow
TBC1D5,brown
TBC1D9B,brown
TBCB,brown
TBCC,yellow
TBCD,brown
TBK1,yellow
TBL2,brown
TBRG1,brown
TBX19,brown
TCEA2,brown
TCEB3,brown
TCF25,brown
TCF7L2,yellow
TCFL5,yellow
TCHP,brown
TCOF1,brown
TCTN1,brown
TDP2,yellow
TECR,brown
TEF,brown
TELO2,brown
TERF2,brown
TESK1,brown
TET2,yellow
TEX10,brown
TEX261,brown
TEX264,brown
TFAP4,brown
TFPT,brown
TGFBR1,yellow
TGFBRAP1,brown
TGIF2,brown
TGOLN2,brown
TGS1,brown
THADA,brown
THAP1,yellow
THAP3,brown
THAP4,brown
THAP5,yellow
THAP6,yellow
THOC6,brown
THOP1,brown
THRA,brown
THRAP3,brown
THTPA,brown
TIGD5,brown
TIMELESS,brown
TIMM22,brown
TIMM44,brown
TIMM50,brown
TJAP1,brown
TLE4,yellow
TLR10,yellow
TLR4,yellow
TLX1,brown
TM6SF1,yellow
TM7SF2,brown
TM7SF3,brown
TM9SF2,yellow
TMBIM4,yellow
TMC6,brown
TMC8,brown
TMCO4,brown
TMEM104,brown
TMEM109,brown
TMEM129,brown
TMEM131,brown
TMEM132E,brown
TMEM143,brown
TMEM144,yellow
TMEM150A,brown
TMEM160,brown
TMEM161A,brown
TMEM167A,yellow
TMEM167B,yellow
TMEM170B,yellow
TMEM173,brown
TMEM201,brown
TMEM203,brown
TMEM208,yellow
TMEM214,brown
TMEM219,brown
TMEM229B,brown
TMEM30A,yellow
TMEM33,yellow
TMEM39B,brown
TMEM41A,brown
TMEM55A,yellow
TMEM57,brown
TMEM59,yellow
TMEM63A,brown
TMEM65,yellow
TMEM71,yellow
TMEM87A,brown
TMOD2,yellow
TMOD3,yellow
TMPRSS12,yellow
TMTC1,yellow
TMTC2,yellow
TMX2,brown
TMX4,yellow
TNFAIP8L1,brown
TNIK,brown
TNNI3K,yellow
TNPO2,brown
TNRC6A,brown
TNRC6B,brown
TOB2,brown
TOE1,brown
TOMM34,brown
TOMM40,brown
TOPBP1,yellow
TOPORS,yellow
TOR1AIP1,yellow
TP53,brown
TP53AIP1,brown
TP53I13,brown
TP53INP1,yellow
TPCN1,brown
TPI1,brown
TPK1,yellow
TPM2,brown
TPM3,brown
TPP1,brown
TPPP,brown
TPR,brown
TPRN,brown
TRADD,brown
TRAF2,brown
TRAF3,brown
TRAF3IP2,brown
TRAM2,brown
TRAP1,brown
TRAPPC6A,brown
TRAPPC6B,yellow
TRIM14,brown
TRIM23,yellow
TRIM24,yellow
TRIM26,brown
TRIM28,brown
TRIM3,brown
TRIM4,brown
TRIM44,brown
TRIM46,brown
TRIM62,brown
TRIM65,brown
TRIM66,brown
TRIM68,brown
TRIP10,brown
TRIP4,yellow
TRMT1,brown
TRMT2A,brown
TRMT2B,brown
TRMU,brown
TRPV2,brown
TRRAP,brown
TRUB2,brown
TSC1,brown
TSEN54,brown
TSHR,brown
TSNAX,yellow
TSPAN10,brown
TSPAN17,brown
TSPAN18,brown
TSPAN2,yellow
TSPAN32,brown
TSPYL2,brown
TSR1,brown
TSR2,brown
TSSC1,brown
TTC31,brown
TTLL1,brown
TTLL5,brown
TTYH2,brown
TUBB,brown
TUBB3,brown
TUBGCP6,brown
TUFM,brown
TULP3,brown
TUT1,brown
TWF1,yellow
TXLNA,brown
TXN,yellow
TXN2,brown
TXNDC11,brown
TXNDC12,yellow
TXNDC17,yellow
U2AF1L4,brown
U2AF2,brown
UBA3,yellow
UBAC2,brown
UBAP2,brown
UBASH3B,yellow
UBE2D1,yellow
UBE2D3,yellow
UBE2G1,brown
UBE2G2,brown
UBE2I,brown
UBE2K,brown
UBE2L3,brown
UBE2W,yellow
UBE2Z,brown
UBE3B,brown
UBE3C,brown
UBFD1,brown
UBIAD1,brown
UBL3,yellow
UBL4A,brown
UBQLN4,brown
UBR3,yellow
UBTF,brown
UBXN1,brown
UCP2,brown
UEVLD,yellow
UNC119B,brown
UPF2,yellow
UQCRC1,brown
URB1,brown
URGCP,brown
URM1,brown
UROD,brown
UROS,brown
USE1,brown
USF2,brown
USP11,brown
USP20,brown
USP24,brown
USP25,yellow
USP31,brown
USP34,brown
USP36,brown
USP38,yellow
USP39,brown
USP40,brown
USP5,brown
USP54,brown
USP7,brown
USP8,yellow
UTF1,brown
UTP20,brown
UTP23,brown
VAC14,brown
VAMP1,brown
VAMP7,yellow
VARS2,brown
VASH1,brown
VAV2,brown
VAV3,yellow
VCPIP1,yellow
VDAC2,brown
VEGFA,yellow
VGLL4,brown
VILL,brown
VIP,yellow
VIPR1,brown
VKORC1,brown
VKORC1L1,brown
VNN2,yellow
VOPP1,brown
VPS11,brown
VPS13D,brown
VPS33A,brown
VPS33B,brown
VPS35,brown
VPS37A,yellow
VPS45,brown
VPS4A,brown
VPS4B,yellow
VPS52,brown
VPS72,brown
VTA1,yellow
WBP11,brown
WBP4,yellow
WBSCR22,brown
WDFY1,yellow
WDR1,brown
WDR18,brown
WDR20,yellow
WDR24,brown
WDR26,yellow
WDR46,brown
WDR47,yellow
WDR5,brown
WDR54,brown
WDR55,brown
WDR6,brown
WDR77,brown
WDR81,brown
WDR82,brown
WDR90,brown
WDR92,brown
WFS1,brown
WHSC1,brown
WRAP53,brown
WWOX,brown
XAB2,brown
XPNPEP1,brown
XPO5,brown
XPR1,yellow
XRCC3,brown
XRCC6,brown
XYLT2,brown
YAF2,yellow
YARS,brown
YEATS2,brown
YIF1A,brown
YIPF4,yellow
YLPM1,brown
YOD1,yellow
YPEL5,yellow
YTHDF1,brown
YTHDF2,brown
YTHDF3,yellow
YWHAB,brown
YWHAH,brown
YWHAZ,brown
ZAP70,brown
ZBTB20,brown
ZBTB3,brown
ZBTB4,brown
ZBTB40,brown
ZBTB45,brown
ZBTB46,brown
ZBTB7A,brown
ZBTB9,brown
ZC3H12C,yellow
ZC3H4,brown
ZC3H7B,brown
ZC3HAV1,brown
ZC4H2,brown
ZCCHC11,brown
ZCCHC6,yellow
ZDHHC14,brown
ZDHHC16,brown
ZDHHC17,yellow
ZDHHC24,brown
ZDHHC4,brown
ZDHHC8,brown
ZDHHC9,brown
ZEB1,yellow
ZFAND5,yellow
ZFAND6,yellow
ZFP41,brown
ZFP64,brown
ZFP91,brown
ZFPM1,brown
ZFYVE16,yellow
ZFYVE19,brown
ZFYVE26,brown
ZFYVE9,brown
ZHX2,brown
ZKSCAN4,yellow
ZMAT3,brown
ZMIZ2,brown
ZMPSTE24,yellow
ZMYM3,brown
ZNF117,yellow
ZNF142,brown
ZNF200,yellow
ZNF207,brown
ZNF212,brown
ZNF217,yellow
ZNF230,yellow
ZNF264,brown
ZNF267,yellow
ZNF275,brown
ZNF276,brown
ZNF281,yellow
ZNF296,brown
ZNF3,brown
ZNF317,brown
ZNF335,brown
ZNF33A,yellow
ZNF346,brown
ZNF350,yellow
ZNF354A,yellow
ZNF362,brown
ZNF395,brown
ZNF396,yellow
ZNF428,brown
ZNF444,brown
ZNF469,brown
ZNF48,brown
ZNF490,brown
ZNF500,brown
ZNF512B,brown
ZNF526,brown
ZNF562,brown
ZNF573,brown
ZNF575,brown
ZNF579,brown
ZNF580,brown
ZNF581,brown
ZNF585A,brown
ZNF586,yellow
ZNF589,brown
ZNF608,yellow
ZNF609,brown
ZNF658,yellow
ZNF674,yellow
ZNF689,brown
ZNF70,brown
ZNF701,yellow
ZNF703,brown
ZNF74,brown
ZNF740,brown
ZNF76,brown
ZNF764,brown
ZNF776,yellow
ZNF777,brown
ZNF783,brown
ZNF785,brown
ZNF805,brown
ZNF81,yellow
ZNF821,brown
ZNF836,brown
ZNF844,yellow
ZNF853,brown
ZNF862,brown
ZNF93,yellow
ZNRF2,yellow
ZRSR2,brown
ZSCAN16,yellow
ZSCAN2,brown
