gene,module,GS_RA,kME_own,is_disease_module
DMRTC2,red,0.189,0.383,FALSE
DMTF1,turquoise,0.281,0.817,FALSE
DMWD,brown,-0.326,0.462,TRUE
DMXL1,turquoise,0.324,0.843,FALSE
DMXL2,yellow,0.445,0.844,TRUE
DNA2,turquoise,0.375,0.663,FALSE
DNAH1,brown,-0.447,0.685,TRUE
DNAH10,grey,0.076,0.035,FALSE
DNAH11,purple,-0.201,0.581,FALSE
DNAH12,grey,-0.028,0.104,FALSE
DNAH14,grey,0.023,0.301,FALSE
DNAH2,grey,-0.169,-0.066,FALSE
DNAH3,grey,-0.029,0.178,FALSE
DNAH5,grey,0.13,0.335,FALSE
DNAH6,grey,-0.002,0.133,FALSE
DNAH7,grey,-0.147,-0.03,FALSE
DNAH8,grey,0.01,0.187,FALSE
DNAH9,grey,-0.134,-0.003,FALSE
DNAI1,red,0.1,0.327,FALSE
DNAI2,grey,-0.107,-0.161,FALSE
DNAJA1,turquoise,0.35,0.66,FALSE
DNAJA2,turquoise,0.45,0.613,FALSE
DNAJA3,green,-0.308,0.636,FALSE
DNAJA4,black,-0.102,0.832,FALSE
DNAJB1,brown,-0.451,0.796,TRUE
DNAJB11,grey,0.16,-0.068,FALSE
DNAJB12,blue,-0.268,0.799,FALSE
DNAJB13,blue,-0.157,0.353,FALSE
DNAJB14,turquoise,0.399,0.799,FALSE
DNAJB2,black,-0.333,0.871,FALSE
DNAJB4,turquoise,0.396,0.854,FALSE
DNAJB5,red,-0.045,0.333,FALSE
DNAJB6,yellow,0.265,0.383,TRUE
DNAJB7,grey,-0.112,-0.09,FALSE
DNAJB8,grey,0.024,-0.111,FALSE
DNAJB9,turquoise,0.348,0.894,FALSE
DNAJC1,greenyellow,-0.086,0.518,FALSE
DNAJC10,turquoise,0.256,0.814,FALSE
DNAJC11,brown,-0.497,0.844,TRUE
DNAJC12,grey,0.006,0.103,FALSE
DNAJC13,blue,-0.087,0.533,FALSE
DNAJC14,blue,-0.084,0.424,FALSE
DNAJC15,turquoise,0.318,0.686,FALSE
DNAJC16,green,-0.212,0.577,FALSE
DNAJC17,brown,-0.103,0.352,TRUE
DNAJC18,turquoise,-0.008,0.353,FALSE
DNAJC19,turquoise,0.383,0.859,FALSE
DNAJC2,turquoise,0.149,0.684,FALSE
DNAJC21,turquoise,0.151,0.805,FALSE
DNAJC22,grey,-0.083,0.152,FALSE
DNAJC24,turquoise,0.23,0.885,FALSE
DNAJC27,green,-0.154,0.409,FALSE
DNAJC28,grey,0.068,0.427,FALSE
DNAJC3,red,0.271,0.799,FALSE
DNAJC30,brown,-0.217,0.425,TRUE
DNAJC4,blue,-0.352,0.602,FALSE
DNAJC5,blue,-0.267,0.886,FALSE
DNAJC5B,grey,-0.067,0.124,FALSE
DNAJC5G,grey,-0.174,0.22,FALSE
DNAJC6,grey,0.11,0.081,FALSE
DNAJC7,brown,-0.23,0.492,TRUE
DNAJC8,turquoise,0.016,0.42,FALSE
DNAJC9,turquoise,-0.033,0.493,FALSE
DNAL1,turquoise,-0.039,0.425,FALSE
DNAL4,blue,-0.015,0.595,FALSE
DNALI1,grey,-0.049,-0.092,FALSE
DNASE1,brown,-0.253,0.545,TRUE
DNASE1L1,blue,-0.23,0.656,FALSE
DNASE1L2,grey,0.079,0.109,FALSE
DNASE1L3,grey,-0.01,-0.06,FALSE
DNASE2,blue,-0.339,0.6,FALSE
DNASE2B,grey,0.057,0.354,FALSE
DND1,brown,-0.328,0.642,TRUE
DNER,turquoise,0.183,0.308,FALSE
DNHD1,brown,-0.306,0.522,TRUE
DNLZ,grey,-0.158,-0.169,FALSE
DNM1,brown,-0.175,0.299,TRUE
DNM1L,turquoise,-0.006,0.597,FALSE
DNM1P35,grey,-0.175,-0.029,FALSE
DNM2,blue,-0.139,0.77,FALSE
DNM3,grey,0.207,0.133,FALSE
DNMBP,blue,-0.196,0.45,FALSE
DNMT1,brown,-0.495,0.859,TRUE
DNMT3A,blue,-0.264,0.587,FALSE
DNMT3B,grey,-0.239,-0.112,FALSE
DNMT3L,grey,-0.077,-0.167,FALSE
DNPEP,brown,-0.39,0.722,TRUE
DNTT,grey,-0.118,0.113,FALSE
DNTTIP1,red,0.144,0.838,FALSE
DNTTIP2,turquoise,0.405,0.801,FALSE
DOC2A,brown,-0.251,0.498,TRUE
DOC2B,grey,0.004,-0.014,FALSE
DOCK1,grey,-0.139,-0.294,FALSE
DOCK10,green,-0.109,0.658,FALSE
DOCK11,turquoise,0.394,0.75,FALSE
DOCK2,blue,-0.355,0.832,FALSE
DOCK3,turquoise,0.008,0.418,FALSE
DOCK4,yellow,0.363,0.671,TRUE
DOCK5,red,0.162,0.77,FALSE
DOCK6,grey,-0.08,-0.12,FALSE
DOCK7,turquoise,0.157,0.589,FALSE
DOCK8,grey,-0.216,0.353,FALSE
DOCK9,turquoise,-0.112,0.652,FALSE
DOHH,blue,-0.127,0.411,FALSE
DOK1,blue,-0.13,0.814,FALSE
DOK2,brown,-0.355,0.686,TRUE
DOK3,blue,-0.149,0.87,FALSE
DOK4,blue,-0.088,0.468,FALSE
DOK5,grey,-0.123,0.185,FALSE
DOK6,grey,0.005,0.028,FALSE
DOK7,grey,-0.253,-0.235,FALSE
DOLK,brown,-0.17,0.35,TRUE
DOLPP1,brown,-0.395,0.577,TRUE
DONSON,turquoise,0.307,0.663,FALSE
DOPEY1,turquoise,0.157,0.583,FALSE
DOPEY2,blue,-0.319,0.467,FALSE
DOT1L,brown,-0.376,0.62,TRUE
DPAGT1,brown,-0.571,0.83,TRUE
DPCD,black,-0.132,0.707,FALSE
DPCR1,grey,0.038,-0.023,FALSE
DPEP1,blue,0.032,0.339,FALSE
DPEP2,blue,-0.167,0.727,FALSE
DPEP3,blue,0.007,0.635,FALSE
DPF1,grey,-0.268,-0.218,FALSE
DPF2,blue,-0.334,0.817,FALSE
DPF3,black,0.058,0.325,FALSE
DPH2,brown,-0.334,0.4,TRUE
DPH3,yellow,0.491,0.775,TRUE
DPH5,turquoise,0.111,0.632,FALSE
DPM1,turquoise,0.495,0.838,FALSE
DPM2,black,-0.121,0.873,FALSE
DPM3,turquoise,0.09,0.303,FALSE
DPP10,grey,0.14,0.009,FALSE
DPP3,brown,-0.361,0.574,TRUE
DPP4,green,-0.293,0.634,FALSE
DPP6,grey,-0.001,0.079,FALSE
DPP7,brown,-0.333,0.615,TRUE
DPP8,blue,-0.362,0.681,FALSE
DPP9,brown,-0.352,0.694,TRUE
DPPA2,grey,-0.027,-0.113,FALSE
DPPA4,turquoise,-0.04,0.417,FALSE
DPPA5,grey,-0.141,-0.036,FALSE
DPT,grey,-0.081,0.052,FALSE
DPY19L1,turquoise,0.363,0.705,FALSE
DPY19L2,turquoise,0.037,0.386,FALSE
DPY19L2P2,grey,-0.088,-0.22,FALSE
DPY19L3,yellow,0.445,0.689,TRUE
DPY19L4,turquoise,0.437,0.874,FALSE
DPY30,turquoise,0.458,0.767,FALSE
DPYD,red,0.091,0.337,FALSE
DPYS,grey,-0.053,0.31,FALSE
DPYSL2,brown,-0.304,0.455,TRUE
DPYSL3,grey,-0.015,0.287,FALSE
DPYSL4,grey,-0.005,-0.072,FALSE
DPYSL5,grey,-0.039,0.194,FALSE
DQX1,grey,0.009,-0.039,FALSE
DR1,turquoise,0.405,0.842,FALSE
DRAM1,yellow,0.4,0.62,TRUE
DRAM2,turquoise,0.336,0.737,FALSE
DRAP1,pink,-0.072,0.766,FALSE
DRD1,grey,0.004,-0.031,FALSE
DRD2,grey,-0.003,0.301,FALSE
DRD3,grey,0.05,-0.16,FALSE
DRD4,blue,-0.177,0.304,FALSE
DRD5,grey,-0.175,0.045,FALSE
DRG1,grey,-0.095,-0.289,FALSE
DRG2,brown,-0.441,0.672,TRUE
DRP2,grey,-0.067,0.126,FALSE
DSC1,grey,0.148,-0.291,FALSE
DSC2,yellow,0.328,0.626,TRUE
DSC3,grey,-0.022,0.243,FALSE
DSCAM,grey,0.01,0.086,FALSE
DSCAML1,grey,0.046,-0.092,FALSE
DSCC1,grey,0.049,0.2,FALSE
DSCR10,grey,-0.029,0.034,FALSE
DSCR3,grey,-0.028,-0.1,FALSE
DSCR4,grey,0.052,0.14,FALSE
DSCR8,grey,0.036,-0.043,FALSE
DSCR9,grey,0.18,0.05,FALSE
DSE,yellow,0.345,0.749,TRUE
DSEL,turquoise,0.074,0.331,FALSE
DSERG1,brown,-0.31,0.619,TRUE
DSG1,grey,0.102,0.372,FALSE
DSG2,grey,0.187,0.167,FALSE
DSG3,grey,-0.031,0.061,FALSE
DSG4,grey,-0.021,-0.215,FALSE
DSN1,turquoise,0.221,0.355,FALSE
DSP,grey,-0.118,-0.121,FALSE
DSPP,grey,0.116,0.092,FALSE
DST,grey,0.081,0.032,FALSE
DSTN,green,-0.044,0.607,FALSE
DSTYK,blue,-0.285,0.658,FALSE
DTD1,grey,-0.071,0.014,FALSE
DTHD1,greenyellow,0.124,0.481,FALSE
DTL,grey,0.159,0.059,FALSE
DTNA,grey,0.075,0.216,FALSE
DTNB,brown,-0.185,0.344,TRUE
DTNBP1,pink,-0.009,0.462,FALSE
DTWD1,turquoise,0.139,0.572,FALSE
DTWD2,turquoise,0.126,0.347,FALSE
DTX1,brown,-0.237,0.474,TRUE
DTX3,brown,-0.324,0.38,TRUE
DTX3L,pink,-0.01,0.899,FALSE
DTX4,blue,-0.209,0.465,FALSE
DTYMK,brown,-0.063,0.321,TRUE
DUOX1,grey,0.053,-0.1,FALSE
DUOX2,grey,0.132,-0.03,FALSE
DUOXA1,grey,-0.107,0.014,FALSE
DUOXA2,grey,-0.206,-0.148,FALSE
DUS1L,brown,-0.401,0.653,TRUE
DUS3L,brown,-0.204,0.314,TRUE
DUS4L,turquoise,0.173,0.649,FALSE
DUSP1,red,0.151,0.773,FALSE
DUSP10,grey,0.082,-0.038,FALSE
DUSP11,yellow,0.504,0.768,TRUE
DUSP12,turquoise,0.22,0.84,FALSE
DUSP13,red,0.177,0.56,FALSE
DUSP14,green,-0.158,0.608,FALSE
DUSP15,grey,-0.072,-0.038,FALSE
DUSP16,grey,-0.173,-0.035,FALSE
DUSP18,blue,-0.032,0.68,FALSE
DUSP19,turquoise,0.116,0.467,FALSE
DUSP2,greenyellow,-0.172,0.485,FALSE
DUSP21,grey,0.011,0.027,FALSE
DUSP22,blue,-0.207,0.324,FALSE
DUSP23,blue,-0.027,0.455,FALSE
DUSP26,grey,-0.115,0.045,FALSE
DUSP27,grey,-0.036,0.098,FALSE
DUSP28,turquoise,0.229,0.466,FALSE
DUSP3,blue,0.026,0.531,FALSE
DUSP4,grey,0.007,0.054,FALSE
DUSP5,pink,0.046,0.48,FALSE
DUSP6,yellow,-0.002,0.311,TRUE
DUSP7,grey,-0.206,0.023,FALSE
DUSP9,grey,0.058,0.136,FALSE
DUT,turquoise,0.304,0.705,FALSE
DUX1,grey,-0.171,0.016,FALSE
DVL1,brown,-0.421,0.54,TRUE
DVL2,brown,-0.544,0.697,TRUE
DVL3,blue,-0.356,0.829,FALSE
DYDC1,grey,-0.035,0.381,FALSE
DYDC2,grey,0.084,0.378,FALSE
DYM,blue,-0.22,0.484,FALSE
DYNC1H1,brown,-0.548,0.741,TRUE
DYNC1I1,grey,-0.027,0.43,FALSE
DYNC1I2,turquoise,0.105,0.575,FALSE
DYNC1LI1,red,0.207,0.685,FALSE
DYNC1LI2,turquoise,0.173,0.681,FALSE
DYNC2H1,turquoise,-0.016,0.477,FALSE
DYNC2LI1,turquoise,0.208,0.614,FALSE
DYNLL1,green,-0.034,0.324,FALSE
DYNLL2,brown,-0.305,0.5,TRUE
DYNLRB1,brown,-0.325,0.718,TRUE
DYNLRB2,turquoise,0.118,0.305,FALSE
DYNLT1,yellow,0.343,0.534,TRUE
DYNLT3,turquoise,0.399,0.935,FALSE
DYRK1A,turquoise,0.332,0.762,FALSE
DYRK1B,blue,-0.032,0.302,FALSE
DYRK2,turquoise,-0.03,0.629,FALSE
DYRK3,black,0.092,0.529,FALSE
DYRK4,turquoise,0.1,0.484,FALSE
DYSF,blue,-0.003,0.796,FALSE
DYX1C1,yellow,0.19,0.405,TRUE
DZIP1,grey,-0.251,-0.09,FALSE
DZIP1L,grey,0.118,0.163,FALSE
DZIP3,turquoise,0.148,0.671,FALSE
E2F1,grey,-0.152,-0.106,FALSE
E2F2,black,-0.205,0.886,FALSE
E2F3,yellow,0.183,0.563,TRUE
E2F4,blue,-0.24,0.689,FALSE
E2F5,purple,0.048,0.716,FALSE
E2F6,turquoise,0.329,0.685,FALSE
E2F7,grey,-0.006,-0.147,FALSE
E2F8,grey,0.138,0.005,FALSE
E4F1,blue,-0.327,0.391,FALSE
EAF1,grey,0.063,-0.237,FALSE
EAF2,turquoise,0.385,0.777,FALSE
EAPP,yellow,0.513,0.626,TRUE
EARS2,green,-0.25,0.484,FALSE
EBAG9,turquoise,0.229,0.869,FALSE
EBF1,purple,-0.23,0.918,FALSE
EBF2,grey,0.074,-0.038,FALSE
EBF3,grey,-0.052,0.187,FALSE
EBF4,grey,-0.034,0.099,FALSE
EBI3,grey,-0.182,-0.133,FALSE
EBP,brown,-0.222,0.56,TRUE
EBPL,turquoise,0.2,0.375,FALSE
ECD,blue,-0.216,0.39,FALSE
ECE1,blue,-0.052,0.762,FALSE
ECE2,blue,-0.215,0.32,FALSE
ECEL1,grey,-0.09,0.233,FALSE
ECHDC1,turquoise,0.431,0.829,FALSE
ECHDC2,green,-0.36,0.691,FALSE
ECHDC3,red,0.306,0.635,FALSE
ECHS1,brown,-0.493,0.852,TRUE
ECM1,grey,-0.046,0.043,FALSE
ECM2,grey,0.082,0.09,FALSE
ECSCR,grey,-0.068,0.21,FALSE
ECSIT,black,-0.283,0.636,FALSE
ECT2,turquoise,0.456,0.718,FALSE
EDA,grey,0.194,-0.178,FALSE
EDA2R,grey,0.139,0.32,FALSE
EDAR,green,-0.002,0.411,FALSE
EDARADD,grey,-0.225,-0.19,FALSE
EDC3,brown,-0.406,0.789,TRUE
EDC4,brown,-0.522,0.684,TRUE
EDDM3A,grey,-0.059,0.131,FALSE
EDDM3B,grey,-0.11,-0.022,FALSE
EDEM1,brown,-0.254,0.388,TRUE
EDEM2,blue,-0.046,0.636,FALSE
EDEM3,yellow,0.421,0.782,TRUE
EDF1,brown,-0.433,0.782,TRUE
EDIL3,grey,0,0.173,FALSE
EDN1,grey,0.216,0.425,FALSE
EDN2,grey,0.034,0.082,FALSE
EDN3,grey,-0.161,-0.053,FALSE
EDNRA,grey,0.13,0.071,FALSE
EDNRB,grey,-0.05,0.181,FALSE
EEA1,turquoise,0.459,0.876,FALSE
EED,turquoise,0.341,0.895,FALSE
EEF1A1,turquoise,0.221,0.581,FALSE
EEF1A2,grey,0.057,-0.047,FALSE
EEF1D,green,-0.129,0.515,FALSE
EEF1E1,turquoise,0.434,0.886,FALSE
EEF2,brown,-0.489,0.741,TRUE
EEFSEC,brown,-0.29,0.481,TRUE
EEPD1,blue,-0.16,0.832,FALSE
EFCAB1,grey,0.198,0.289,FALSE
EFCAB2,blue,0.056,0.338,FALSE
EFCAB5,grey,-0.034,0.231,FALSE
EFCAB6,grey,-0.089,0.113,FALSE
EFCAB7,turquoise,0.446,0.843,FALSE
EFEMP1,grey,0.055,0.28,FALSE
EFEMP2,blue,-0.096,0.355,FALSE
EFHB,grey,0.126,0.018,FALSE
EFHC1,turquoise,0.195,0.313,FALSE
EFHC2,yellow,0.234,0.533,TRUE
EFHD1,grey,-0.018,-0.084,FALSE
EFHD2,blue,-0.194,0.826,FALSE
EFNA1,grey,-0.014,-0.161,FALSE
EFNA2,grey,-0.17,-0.081,FALSE
EFNA3,brown,-0.208,0.335,TRUE
EFNA4,blue,0.183,0.296,FALSE
EFNA5,greenyellow,0.024,0.426,FALSE
EFNB1,grey,-0.136,-0.219,FALSE
EFNB2,grey,-0.014,0.019,FALSE
EFNB3,grey,-0.019,0.261,FALSE
EFR3A,turquoise,0.383,0.825,FALSE
EFR3B,grey,-0.155,-0.094,FALSE
EFS,blue,-0.131,0.306,FALSE
EFTUD2,brown,-0.47,0.807,TRUE
EGF,magenta,0.014,0.817,FALSE
EGFL6,grey,0.051,0.354,FALSE
EGFL7,blue,-0.088,0.29,FALSE
EGFLAM,grey,-0.018,0.003,FALSE
EGFR,grey,-0.06,0.04,FALSE
EGLN1,yellow,0.354,0.816,TRUE
EGLN2,blue,-0.233,0.696,FALSE
EGLN3,grey,0.095,0.265,FALSE
EGR1,blue,-0.13,0.461,FALSE
EGR2,grey,0.134,0.034,FALSE
EGR3,grey,0.121,0.096,FALSE
EGR4,grey,-0.008,0.09,FALSE
EHBP1,turquoise,-0.029,0.545,FALSE
EHBP1L1,blue,-0.211,0.602,FALSE
EHD1,blue,-0.335,0.817,FALSE
EHD2,grey,0.015,0.134,FALSE
EHD3,magenta,-0.213,0.745,FALSE
EHD4,brown,-0.442,0.65,TRUE
EHF,grey,0.079,0.208,FALSE
EHHADH,turquoise,0.226,0.342,FALSE
EHMT1,brown,-0.465,0.654,TRUE
EHMT2,brown,-0.382,0.742,TRUE
EI24,brown,-0.35,0.54,TRUE
EID1,turquoise,0.201,0.55,FALSE
EID2,turquoise,0.18,0.705,FALSE
EID2B,turquoise,0.194,0.558,FALSE
EID3,turquoise,0.335,0.753,FALSE
EIF1,blue,-0.108,0.349,FALSE
EIF1AD,brown,-0.418,0.655,TRUE
EIF1AX,turquoise,0.175,0.735,FALSE
EIF1AY,grey,-0.119,-0.082,FALSE
EIF1B,black,-0.082,0.731,FALSE
EIF2A,turquoise,0.253,0.783,FALSE
EIF2AK1,black,-0.225,0.921,FALSE
EIF2AK2,pink,0.136,0.875,FALSE
EIF2AK3,turquoise,-0.073,0.614,FALSE
EIF2AK4,grey,-0.197,-0.018,FALSE
EIF2B1,brown,-0.401,0.631,TRUE
EIF2B2,brown,-0.22,0.373,TRUE
EIF2B3,green,-0.119,0.332,FALSE
EIF2B4,brown,-0.489,0.794,TRUE
EIF2B5,brown,-0.523,0.843,TRUE
EIF2S1,turquoise,0.332,0.753,FALSE
EIF2S2,turquoise,0.213,0.441,FALSE
EIF2S3,green,-0.142,0.569,FALSE
EIF3A,grey,-0.231,-0.129,FALSE
EIF3B,brown,-0.469,0.768,TRUE
EIF3D,brown,-0.422,0.618,TRUE
EIF3E,turquoise,0.316,0.868,FALSE
EIF3F,green,-0.333,0.826,FALSE
EIF3G,brown,-0.358,0.778,TRUE
EIF3H,green,-0.136,0.749,FALSE
EIF3I,brown,-0.289,0.521,TRUE
EIF3J,turquoise,0.138,0.474,FALSE
EIF3K,green,-0.34,0.802,FALSE
EIF3L,green,-0.386,0.746,FALSE
EIF3M,turquoise,-0.012,0.662,FALSE
EIF4A2,turquoise,0.211,0.655,FALSE
EIF4A3,brown,-0.448,0.749,TRUE
EIF4B,green,-0.212,0.756,FALSE
EIF4E,turquoise,0.406,0.849,FALSE
EIF4E2,blue,-0.153,0.741,FALSE
EIF4E3,yellow,0.352,0.545,TRUE
EIF4EBP1,blue,-0.162,0.518,FALSE
EIF4EBP2,black,-0.271,0.715,FALSE
EIF4ENIF1,blue,-0.361,0.588,FALSE
EIF4G1,blue,-0.502,0.713,FALSE
EIF4G2,turquoise,-0.015,0.585,FALSE
EIF4G3,grey,-0.093,0.35,FALSE
EIF4H,brown,-0.322,0.677,TRUE
EIF5,turquoise,0.185,0.622,FALSE
EIF5A,brown,-0.321,0.517,TRUE
EIF5A2,turquoise,0.215,0.76,FALSE
EIF5B,brown,-0.428,0.685,TRUE
EIF6,brown,-0.418,0.743,TRUE
ELAC1,turquoise,0.226,0.329,FALSE
ELAC2,brown,-0.447,0.734,TRUE
ELANE,grey,0.196,0.073,FALSE
ELAVL1,brown,-0.475,0.748,TRUE
ELAVL2,grey,0.03,0.502,FALSE
ELAVL3,grey,-0.014,0.224,FALSE
ELAVL4,grey,-0.099,0.13,FALSE
ELF1,grey,-0.11,0.147,FALSE
ELF2,red,0.151,0.386,FALSE
ELF3,grey,-0.133,0.183,FALSE
ELF4,blue,-0.256,0.835,FALSE
ELF5,grey,0.027,0.076,FALSE
ELFN1,grey,0.048,0.054,FALSE
ELFN2,grey,-0.042,-0.074,FALSE
ELK1,blue,-0.338,0.563,FALSE
ELK3,turquoise,0.143,0.782,FALSE
ELK4,grey,-0.239,-0.389,FALSE
ELL,blue,0.067,0.693,FALSE
ELL2,turquoise,0.303,0.602,FALSE
ELMO1,blue,-0.281,0.819,FALSE
ELMO2,blue,-0.322,0.666,FALSE
ELMO3,brown,-0.352,0.414,TRUE
ELMOD2,yellow,0.521,0.874,TRUE
ELMOD3,blue,-0.125,0.364,FALSE
ELN,blue,-0.206,0.375,FALSE
ELOF1,black,-0.296,0.841,FALSE
ELOVL2,grey,0.106,0.087,FALSE
ELOVL3,blue,0.099,0.456,FALSE
ELOVL4,turquoise,-0.017,0.625,FALSE
ELOVL5,yellow,0.35,0.808,TRUE
ELOVL6,turquoise,0.315,0.492,FALSE
ELOVL7,magenta,-0.051,0.895,FALSE
ELP2,green,0.015,0.614,FALSE
ELP3,brown,-0.447,0.772,TRUE
ELP4,brown,-0.248,0.362,TRUE
ELSPBP1,grey,-0.006,0.145,FALSE
EMB,turquoise,0.323,0.637,FALSE
EMCN,grey,-0.012,0.33,FALSE
EMD,brown,-0.359,0.67,TRUE
EME1,blue,-0.119,0.401,FALSE
EME2,brown,-0.392,0.644,TRUE
EMG1,turquoise,0.263,0.745,FALSE
EMID1,grey,0.042,-0.016,FALSE
EMILIN1,grey,-0.106,-0.216,FALSE
EMILIN2,blue,-0.082,0.637,FALSE
EMILIN3,grey,-0.104,0.119,FALSE
EML1,grey,-0.058,-0.023,FALSE
EML2,brown,-0.233,0.468,TRUE
EML3,brown,-0.386,0.687,TRUE
EML4,turquoise,-0.054,0.491,FALSE
EML5,turquoise,0.224,0.653,FALSE
EML6,turquoise,-0.036,0.478,FALSE
EMP1,grey,0.175,-0.068,FALSE
EMP2,grey,0.068,0.072,FALSE
EMP3,brown,-0.33,0.786,TRUE
EMX1,grey,-0.144,-0.086,FALSE
EMX2,grey,0.011,0.099,FALSE
EN1,grey,0.177,0.209,FALSE
EN2,grey,-0.154,-0.088,FALSE
ENAH,purple,-0.095,0.575,FALSE
ENAM,purple,-0.193,0.476,FALSE
ENC1,grey,0.105,0.102,FALSE
ENDOD1,magenta,-0.101,0.787,FALSE
ENDOG,brown,-0.236,0.5,TRUE
ENDOU,grey,-0.032,0.06,FALSE
ENG,blue,-0.255,0.629,FALSE
ENGASE,brown,-0.337,0.561,TRUE
ENHO,grey,-0.224,-0.201,FALSE
ENKUR,magenta,-0.17,0.658,FALSE
ENO1,brown,-0.455,0.783,TRUE
ENO2,green,-0.165,0.434,FALSE
ENO3,brown,-0.378,0.635,TRUE
ENOPH1,turquoise,0.274,0.928,FALSE
ENOSF1,green,-0.178,0.545,FALSE
ENOX1,grey,0.033,0.198,FALSE
ENOX2,grey,-0.122,-0.182,FALSE
ENPEP,grey,0.109,0.224,FALSE
ENPP1,grey,0.065,0.1,FALSE
ENPP2,turquoise,0.113,0.322,FALSE
ENPP3,grey,0.043,0.187,FALSE
ENPP4,turquoise,0.359,0.8,FALSE
ENPP5,turquoise,0.143,0.506,FALSE
ENPP6,grey,0.131,0.113,FALSE
ENPP7,grey,-0.171,-0.055,FALSE
ENSA,green,-0.053,0.322,FALSE
ENTHD1,grey,0.13,0.161,FALSE
ENTPD1,yellow,0.436,0.695,TRUE
ENTPD2,blue,0.101,0.337,FALSE
ENTPD3,grey,0.019,0.122,FALSE
ENTPD4,turquoise,0.102,0.622,FALSE
ENTPD5,brown,-0.298,0.545,TRUE
ENTPD6,brown,-0.446,0.651,TRUE
ENTPD7,grey,0.261,0.125,FALSE
ENY2,turquoise,0.447,0.72,FALSE
EOMES,greenyellow,-0.416,0.857,FALSE
EP300,blue,-0.303,0.759,FALSE
EP400,brown,-0.485,0.695,TRUE
EP400NL,brown,-0.199,0.361,TRUE
EPAS1,blue,0.094,0.315,FALSE
EPB41,black,-0.294,0.874,FALSE
EPB41L1,grey,0.017,0.26,FALSE
EPB41L2,brown,-0.324,0.513,TRUE
EPB41L3,pink,-0.029,0.408,FALSE
EPB41L4A,greenyellow,-0.126,0.643,FALSE
EPB41L4B,grey,-0.145,0.102,FALSE
EPB41L5,turquoise,0.154,0.597,FALSE
EPB42,black,-0.22,0.92,FALSE
EPC1,grey,0.134,-0.083,FALSE
EPC2,turquoise,0.404,0.769,FALSE
EPCAM,grey,0.058,0.234,FALSE
EPDR1,grey,0.019,0.01,FALSE
EPHA1,brown,-0.174,0.418,TRUE
EPHA10,grey,-0.128,0.044,FALSE
EPHA2,grey,-0.121,0.121,FALSE
EPHA3,grey,-0.145,0.384,FALSE
EPHA4,turquoise,-0.128,0.318,FALSE
EPHA5,grey,0.145,0.39,FALSE
EPHA6,red,0.105,0.314,FALSE
EPHA7,grey,0.025,0.445,FALSE
EPHA8,blue,-0.132,0.331,FALSE
EPHB1,red,0.062,0.674,FALSE
EPHB2,grey,-0.072,0.013,FALSE
EPHB3,blue,-0.202,0.422,FALSE
EPHB4,blue,0.033,0.515,FALSE
EPHB6,brown,-0.372,0.526,TRUE
EPHX1,blue,-0.264,0.435,FALSE
EPHX2,green,-0.183,0.666,FALSE
EPHX3,grey,-0.033,-0.143,FALSE
EPHX4,turquoise,0.005,0.327,FALSE
EPM2A,turquoise,0.007,0.328,FALSE
EPM2AIP1,turquoise,-0.072,0.577,FALSE
EPN1,blue,-0.174,0.647,FALSE
EPN3,grey,-0.048,0.141,FALSE
EPO,grey,-0.013,-0.007,FALSE
EPOR,blue,-0.024,0.454,FALSE
EPPK1,green,-0.121,0.486,FALSE
EPRS,brown,-0.282,0.533,TRUE
EPS15,turquoise,0.123,0.605,FALSE
EPS15L1,blue,-0.28,0.811,FALSE
EPS8,turquoise,0.308,0.481,FALSE
EPS8L1,grey,-0.029,-0.174,FALSE
EPS8L2,brown,-0.23,0.348,TRUE
EPS8L3,grey,-0.098,-0.051,FALSE
EPSTI1,pink,0.199,0.891,FALSE
EPT1,turquoise,0.204,0.665,FALSE
EPX,grey,-0.205,0.071,FALSE
EPYC,grey,0.029,0.217,FALSE
ERAL1,brown,-0.326,0.592,TRUE
ERAP1,grey,-0.195,-0.13,FALSE
ERAP2,brown,-0.229,0.375,TRUE
ERBB2,blue,-0.093,0.245,FALSE
ERBB3,grey,0.012,0.213,FALSE
ERBB4,grey,0.045,0.331,FALSE
ERC1,brown,-0.338,0.447,TRUE
ERC2,grey,0.062,-0.163,FALSE
ERCC1,blue,-0.271,0.548,FALSE
ERCC2,brown,-0.363,0.462,TRUE
ERCC3,brown,-0.263,0.397,TRUE
ERCC4,turquoise,0.206,0.711,FALSE
ERCC5,green,-0.301,0.688,FALSE
ERCC6,grey,0.052,-0.005,FALSE
ERCC6L,turquoise,0.061,0.313,FALSE
ERCC8,turquoise,0.412,0.776,FALSE
EREG,turquoise,0.39,0.359,FALSE
ERF,blue,-0.218,0.8,FALSE
ERG,grey,0.132,0.275,FALSE
ERGIC1,blue,-0.009,0.778,FALSE
ERGIC2,yellow,0.461,0.777,TRUE
ERGIC3,brown,-0.316,0.69,TRUE
ERH,turquoise,0.315,0.794,FALSE
ERI1,red,0.249,0.454,FALSE
ERI2,turquoise,0.472,0.799,FALSE
ERI3,brown,-0.283,0.566,TRUE
ERICH1,red,0.213,0.343,FALSE
ERLEC1,turquoise,0.397,0.919,FALSE
ERLIN1,red,0.225,0.581,FALSE
ERLIN2,turquoise,0.318,0.575,FALSE
ERMAP,black,-0.024,0.466,FALSE
ERMN,grey,-0.089,0.018,FALSE
ERMP1,turquoise,-0.045,0.433,FALSE
