threshold,NB_panel,NB_all,NB_none
0.01,0.442052099946837,0.441786283891547,0
0.02,0.437164339419979,0.43609022556391,0
0.03,0.432718393922952,0.430276722734672,0
0.04,0.428728070175439,0.424342105263158,0
0.05,0.42382271468144,0.418282548476454,0
0.06,0.418812989921613,0.412094064949608,0
0.07,0.413695529145444,0.405772495755518,0
0.08,0.410755148741419,0.399313501144165,0
0.09,0.408328513591672,0.392712550607288,0
0.1,0.409356725146199,0.385964912280702,0
0.11,0.408338261383797,0.37906564163217,0
0.12,0.415071770334928,0.37200956937799,0
0.13,0.411978221415608,0.364791288566243,0
0.14,0.413096695226438,0.357405140758874,0
0.15,0.410216718266254,0.34984520123839,0
0.16,0.407268170426065,0.342105263157895,0
0.17,0.409638554216867,0.334178820545339,0
0.18,0.406931964056483,0.326059050064185,0
0.19,0.404158544509422,0.317738791423002,0
0.2,0.401315789473684,0.309210526315789,0
0.21,0.398401065956029,0.300466355762825,0
0.22,0.395411605937922,0.291497975708502,0
0.23,0.392344497607656,0.282296650717703,0
0.24,0.389196675900277,0.272853185595568,0
0.25,0.394736842105263,0.263157894736842,0
0.26,0.391891891891892,0.253200568990043,0
0.27,0.398702235039654,0.242970439798125,0
0.28,0.396198830409357,0.232456140350877,0
0.29,0.393624907338769,0.221645663454411,0
0.3,0.402255639097744,0.210526315789474,0
0.31,0.400076277650648,0.19908466819222,0
0.32,0.422600619195046,0.187306501547988,0
0.33,0.421445404556167,0.175176747839749,0
0.34,0.433811802232855,0.162679425837321,0
0.35,0.433198380566802,0.149797570850202,0
0.36,0.432565789473684,0.136513157894737,0
0.37,0.431913116123642,0.12280701754386,0
0.38,0.447368421052632,0.108658743633277,0
0.39,0.447368421052632,0.09404659188956,0
0.4,0.447368421052632,0.0789473684210527,0
0.41,0.447368421052632,0.0633363068688671,0
0.42,0.447368421052632,0.0471869328493648,0
0.43,0.447368421052632,0.0304709141274239,0
0.44,0.447368421052632,0.0131578947368421,0
0.45,0.447368421052632,-0.00478468899521523,0
0.46,0.447368421052632,-0.023391812865497,0
0.47,0.447368421052632,-0.0427010923535253,0
0.48,0.447368421052632,-0.0627530364372469,0
0.49,0.421052631578947,-0.0835913312693498,0
0.5,0.421052631578947,-0.105263157894737,0
0.51,0.421052631578947,-0.12781954887218,0
0.52,0.421052631578947,-0.151315789473684,0
0.53,0.421052631578947,-0.175811870100784,0
0.54,0.421052631578947,-0.20137299771167,0
0.55,0.421052631578947,-0.228070175438597,0
0.56,0.421052631578947,-0.255980861244019,0
0.57,0.394736842105263,-0.285189718482252,0
0.58,0.394736842105263,-0.315789473684211,0
0.59,0.394736842105263,-0.34788189987163,0
0.6,0.368421052631579,-0.381578947368421,0
0.61,0.368421052631579,-0.417004048582996,0
0.62,0.368421052631579,-0.454293628808864,0
0.63,0.368421052631579,-0.493598862019915,0
0.64,0.368421052631579,-0.535087719298246,0
0.65,0.368421052631579,-0.578947368421053,0
0.66,0.368421052631579,-0.625386996904025,0
0.67,0.342105263157895,-0.674641148325359,0
0.68,0.342105263157895,-0.726973684210526,0
0.69,0.342105263157895,-0.782682512733447,0
0.7,0.315789473684211,-0.842105263157895,0
0.71,0.315789473684211,-0.905626134301271,0
0.72,0.315789473684211,-0.973684210526315,0
0.73,0.315789473684211,-1.04678362573099,0
0.74,0.315789473684211,-1.12550607287449,0
0.75,0.315789473684211,-1.21052631578947,0
0.76,0.289473684210526,-1.30263157894737,0
0.77,0.263157894736842,-1.40274599542334,0
0.78,0.263157894736842,-1.51196172248804,0
0.79,0.263157894736842,-1.63157894736842,0
0.8,0.263157894736842,-1.76315789473684,0
0.81,0.263157894736842,-1.90858725761773,0
0.82,0.263157894736842,-2.07017543859649,0
0.83,0.263157894736842,-2.25077399380805,0
0.84,0.263157894736842,-2.45394736842105,0
0.85,0.263157894736842,-2.68421052631579,0
0.86,0.210526315789474,-2.94736842105263,0
0.87,0.210526315789474,-3.25101214574899,0
0.88,0.210526315789474,-3.60526315789474,0
0.89,0.210526315789474,-4.02392344497608,0
0.9,0.184210526315789,-4.52631578947368,0
0.91,0.157894736842105,-5.14035087719298,0
0.92,0.105263157894737,-5.90789473684211,0
0.93,0.0789473684210526,-6.89473684210527,0
0.94,0.0789473684210526,-8.21052631578948,0
0.95,0.0526315789473684,-10.0526315789474,0
0.96,0.0526315789473684,-12.8157894736842,0
0.97,0.0526315789473684,-17.4210526315789,0
0.98,0.0263157894736842,-26.6315789473684,0
0.99,0.0263157894736842,-54.2631578947368,0
