threshold,NB_panel,NB_all,NB_none
0.01,0.589063044235458,0.58899338209683,0
0.02,0.585221674876847,0.584799437016186,0
0.03,0.581585495911838,0.580519018841095,0
0.04,0.577586206896552,0.576149425287356,0
0.05,0.573865698729582,0.571687840290381,0
0.06,0.569772560528246,0.567131327953045,0
0.07,0.567148683722655,0.562476826103078,0
0.08,0.56311844077961,0.557721139430285,0
0.09,0.559681697612732,0.552860932171277,0
0.1,0.55632183908046,0.547892720306513,0
0.11,0.55304145679969,0.542812863231306,0
0.12,0.549843260188088,0.537617554858934,0
0.13,0.546730083234245,0.532302814110186,0
0.14,0.535685645549318,0.526864474739375,0
0.15,0.532657200811359,0.521298174442191,0
0.16,0.532348111658456,0.51559934318555,0
0.17,0.522808475280432,0.50976319069381,0
0.18,0.518755256518082,0.503784693019344,0
0.19,0.510940825883355,0.497658578118348,0
0.2,0.506896551724138,0.491379310344828,0
0.21,0.502749890877346,0.484941073766914,0
0.22,0.502387267904509,0.478337754199823,0
0.23,0.502373488580385,0.471562919838782,0
0.24,0.502722323049002,0.464609800362976,0
0.25,0.505747126436782,0.457471264367816,0
0.26,0.490773532152843,0.450139794967381,0
0.27,0.487198866320265,0.442607463391592,0
0.28,0.483524904214559,0.434865900383142,0
0.29,0.479747450218553,0.426906265177271,0
0.3,0.475862068965517,0.41871921182266,0
0.31,0.47496251874063,0.410294852573713,0
0.32,0.467342799188641,0.401622718052738,0
0.33,0.46340710241894,0.39269171384457,0
0.34,0.462904911180773,0.383490073145246,0
0.35,0.458885941644562,0.374005305039788,0
0.36,0.447844827586207,0.364224137931034,0
0.37,0.436672140120416,0.354132457580733,0
0.38,0.429588431590656,0.343715239154616,0
0.39,0.422724703222159,0.33295647258338,0
0.4,0.418390804597701,0.32183908045977,0
0.41,0.411805961426067,0.310344827586207,0
0.42,0.412366230677765,0.298454221165279,0
0.43,0.41318814277072,0.286146400483969,0
0.44,0.414285714285714,0.273399014778325,0
0.45,0.410031347962383,0.260188087774295,0
0.46,0.397701149425287,0.246487867177522,0
0.47,0.386467143786597,0.232270657124268,0
0.48,0.381962864721485,0.217506631299735,0
0.49,0.370385395537525,0.202163624070318,0
0.5,0.36551724137931,0.186206896551724,0
0.51,0.360450387051372,0.169598874032372,0
0.52,0.355172413793103,0.152298850574712,0
0.53,0.342773294203962,0.134262655906089,0
0.54,0.345127436281859,0.11544227886057,0
0.55,0.339463601532567,0.0957854406130266,0
0.56,0.333542319749216,0.0752351097178682,0
0.57,0.31355252606255,0.0537289494787487,0
0.58,0.300164203612479,0.0311986863710999,0
0.59,0.296383515559294,0.00756938603868795,0
0.6,0.306896551724138,-0.0172413793103449,0
0.61,0.311936339522546,-0.0433244916003538,0
0.62,0.306352087114338,-0.0707803992740472,0
0.63,0.286672879776328,-0.0997204100652377,0
0.64,0.29272030651341,-0.130268199233717,0
0.65,0.292610837438424,-0.16256157635468,0
0.66,0.279918864097363,-0.196754563894524,0
0.67,0.273772204806688,-0.233019853709509,0
0.68,0.253448275862069,-0.271551724137931,0
0.69,0.261846496106785,-0.312569521690768,0
0.7,0.241379310344828,-0.35632183908046,0
0.71,0.234244946492271,-0.403091557669442,0
0.72,0.244334975369458,-0.45320197044335,0
0.73,0.255683269476373,-0.507024265644955,0
0.74,0.261538461538462,-0.564986737400531,0
0.75,0.241379310344828,-0.627586206896552,0
0.76,0.27816091954023,-0.695402298850575,0
0.77,0.273163418290855,-0.769115442278861,0
0.78,0.267711598746082,-0.849529780564264,0
0.79,0.254844006568145,-0.9376026272578,0
0.8,0.275862068965517,-1.03448275862069,0
0.81,0.256624319419238,-1.1415607985481,0
0.82,0.24367816091954,-1.26053639846743,0
0.83,0.223123732251521,-1.39350912778905,0
0.84,0.201724137931034,-1.54310344827586,0
0.85,0.172413793103448,-1.71264367816092,0
0.86,0.204926108374384,-1.9064039408867,0
0.87,0.183554376657825,-2.12997347480106,0
0.88,0.204597701149425,-2.39080459770115,0
0.89,0.185579937304075,-2.69905956112853,0
0.9,0.158620689655172,-3.06896551724138,0
0.91,0.15095785440613,-3.52107279693487,0
0.92,0.206896551724138,-4.08620689655173,0
0.93,0.193103448275862,-4.8128078817734,0
0.94,0.16551724137931,-5.78160919540231,0
0.95,0.158620689655172,-7.13793103448277,0
0.96,0.144827586206897,-9.17241379310347,0
0.97,0.103448275862069,-12.5632183908046,0
0.98,0.0551724137931035,-19.3448275862069,0
0.99,0.0413793103448276,-39.6896551724138,0
