stage,n_samples,n_genes,max_value,min_value,median_sd,iqr_sd,median_range,iqr_range
before_qnorm,183,15763,14.2776573,1.398,0.573929646943479,0.798588484278113,1.915266316,2.0495500925
after_qnorm,183,15763,13.4151722805464,2.24481409199454,0.000334085894751179,0.000456584297435557,0.00205505491256641,0.00407710618579049
