gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
CSF1R,-0.129967076976787,0.0423856008578337,0.0998094153453887,-0.0114263495241787,0.85140384069216,0.925735612555488,FALSE,FALSE,ns in both
KRT35,0.00477528827679006,0.864687558791638,0.920288625377288,0.00562466213472333,0.851444199126402,0.925735612555488,FALSE,FALSE,ns in both
FGB,-0.0142542464644289,0.61474680664978,0.741525398930248,-0.0056296612461072,0.851679198690927,0.925882089695583,FALSE,FALSE,ns in both
BEST2,-0.00156976556215173,0.952886978752697,0.970674429326562,-0.00524387676998536,0.851847071861139,0.925882089695583,FALSE,FALSE,ns in both
RAB11FIP2,0.0456282691432405,0.124730464501647,0.233506687878795,0.00566597909734965,0.851865082898838,0.925882089695583,FALSE,FALSE,ns in both
CYLC1,0.028594532442101,0.348024922073331,0.500357246136622,0.00584812302461886,0.851916675616717,0.925882089695583,FALSE,FALSE,ns in both
BHLHE23,-0.0064870646954395,0.820279363619043,0.892220784482954,0.00561412798591211,0.851919891715635,0.925882089695583,FALSE,FALSE,ns in both
MMP12,0.00778528427697168,0.804569182123115,0.881580982747579,-0.00623926190085164,0.851931347392295,0.925882089695583,FALSE,FALSE,ns in both
KIF15,0.00584140732275014,0.879121519675107,0.928659493038589,-0.00737473325314562,0.8521344953045,0.926036038122674,FALSE,FALSE,ns in both
IFT140,-0.0338294828534346,0.354798988722105,0.506973689007614,-0.00737932234287401,0.852190494766702,0.926036038122674,FALSE,FALSE,ns in both
CTNNBIP1,-0.047514017971206,0.238663172663726,0.380465978023697,0.00745699540649453,0.852478461082228,0.926285102504939,FALSE,FALSE,ns in both
UBE2M,-0.0621851942686424,0.181806384821534,0.3105563550002,0.00821740390724114,0.852556402071905,0.926287427123577,FALSE,FALSE,ns in both
TAS2R7,0.0135313482585435,0.560435386496804,0.697634288663754,0.004514565119589,0.852655628941895,0.926287427123577,FALSE,FALSE,ns in both
CCDC24,-0.0506455862279841,0.163241453716447,0.286321913311712,-0.00673359199462077,0.852656890665679,0.926287427123577,FALSE,FALSE,ns in both
TAF1B,0.125338019670177,0.0529000425561329,0.119310827130108,0.0117775667323112,0.852847709345945,0.926385302367001,FALSE,FALSE,ns in both
EIF2A,0.115550040540185,0.0245831585122961,0.0637133060883464,0.00871065427125296,0.852907764448272,0.926385302367001,FALSE,FALSE,ns in both
SLC7A2,-0.00864476125109268,0.791671783811361,0.873398819164228,-0.00650221360525999,0.852956822730262,0.926385302367001,FALSE,FALSE,ns in both
TM6SF2,0.00031398091121643,0.991998761345695,0.995028728927279,-0.00586496401758588,0.853014809474527,0.926385302367001,FALSE,FALSE,ns in both
NXPH1,0.0318980492606696,0.238415483720848,0.380148014352794,0.00513881327666092,0.853040833842354,0.926385302367001,FALSE,FALSE,ns in both
OR2J2,0.0177809550262183,0.372281352460823,0.52451474426528,0.00382858838143039,0.853182093444456,0.926473897634725,FALSE,FALSE,ns in both
STK40,-0.14179381648313,0.0115588654399594,0.0340883809036633,-0.00866234832609716,0.853239965232716,0.926473897634725,TRUE,FALSE,lost to composition
C22orf23,-0.00608824429214686,0.850362745600157,0.911315501154245,0.00606933698532805,0.853388014536715,0.92657082746537,FALSE,FALSE,ns in both
PLEKHO1,-0.0843231522065563,0.0426816241626143,0.100386517707444,-0.00725654492932402,0.853624178948207,0.926763408827095,FALSE,FALSE,ns in both
GLUL,-0.0268390089425232,0.253507557654214,0.398400449463647,0.00429451410949773,0.853710245669801,0.92677408268983,FALSE,FALSE,ns in both
SS18,0.103330022546464,0.0256787763251586,0.0661828893416407,0.00748881968570057,0.853817181232983,0.92677408268983,FALSE,FALSE,ns in both
AKAP6,0.0134463019255191,0.73984566771285,0.836238868504062,-0.00789289427597128,0.85382347323212,0.92677408268983,FALSE,FALSE,ns in both
IRAK1BP1,0.0629027051869611,0.253744726711989,0.39852587523169,0.010524332213619,0.85386918752169,0.92677408268983,FALSE,FALSE,ns in both
OTOP2,-0.00753043092803269,0.819310776447388,0.891590464552752,-0.00653932764121401,0.854108315443138,0.926969800077815,FALSE,FALSE,ns in both
MPP2,-0.0617840130992037,0.115632400207011,0.220349806091996,-0.0074903301291107,0.854295202579638,0.927108797126529,FALSE,FALSE,ns in both
PHLDB1,-0.0302310277598479,0.497651186778307,0.642410585307219,-0.00847876672635048,0.854361916058904,0.927117367674274,FALSE,FALSE,ns in both
FBXL16,-0.0375253704550762,0.519896922451312,0.662822321950828,-0.0110560563628298,0.854579323492106,0.927289452482004,FALSE,FALSE,ns in both
RMND5A,-0.056895575980596,0.273646497552779,0.420910396265071,-0.0095822162871082,0.854746622660821,0.927407145718785,FALSE,FALSE,ns in both
KPNA3,0.0885045331678179,0.0244127805303295,0.063386371190839,-0.00633134159750667,0.854946048541624,0.927559678103216,FALSE,FALSE,ns in both
ITGA5,-0.107870772988876,0.0412765779447408,0.0977234452002026,0.00866673462753054,0.855194472525067,0.927765345520484,FALSE,FALSE,ns in both
CRYM,-0.0200475629391498,0.69650398882507,0.806382257670665,-0.00988434924635802,0.855268217515075,0.927781495608708,FALSE,FALSE,ns in both
USP6NL,0.0738773824572619,0.215889157286224,0.353161144282145,0.0109212033716234,0.855538422100105,0.927925648286604,FALSE,FALSE,ns in both
CNKSR1,-0.00631688457738099,0.899887693439506,0.940021849681043,0.00949363124168434,0.855582348906994,0.927925648286604,FALSE,FALSE,ns in both
PMF1,-0.0612372837616142,0.0960828958870327,0.191045595221629,-0.0065311455302526,0.85564238550358,0.927925648286604,FALSE,FALSE,ns in both
TNNT1,-0.0428381183387466,0.745538328478904,0.840091877690825,-0.0253839177897411,0.855664285653126,0.927925648286604,FALSE,FALSE,ns in both
DDX17,-0.00881121797522237,0.599112624050948,0.729184385219187,0.00320008300316566,0.855695440175986,0.927925648286604,FALSE,FALSE,ns in both
CDT1,-0.00669776521152352,0.864418150931142,0.920228494166786,0.00732387448468637,0.855958303726034,0.928096404281867,FALSE,FALSE,ns in both
GP1BA,-0.141217411205493,0.109273070902756,0.211164817535876,0.0158241243020619,0.855970660753016,0.928096404281867,FALSE,FALSE,ns in both
HYAL1,-0.0301131572836886,0.367554585248569,0.51985311146462,-0.00633542646643131,0.856089223739457,0.928099714054621,FALSE,FALSE,ns in both
PROX1,0.0138537704724954,0.771987913192542,0.858654069690519,-0.00896127340815357,0.856091470047211,0.928099714054621,FALSE,FALSE,ns in both
CLECL1,0.22594502637402,0.0181516526676116,0.0496916465785969,-0.0152378642492183,0.856286402045519,0.928247201392168,TRUE,FALSE,lost to composition
NAF1,-0.00155213779001419,0.974729721288058,0.983968273881759,0.00927073933876763,0.85645673626877,0.928366632725387,FALSE,FALSE,ns in both
NDUFAF4,0.109591446945231,0.0357601186234849,0.0867744380945185,-0.00854910973293813,0.856599658389156,0.928366632725387,FALSE,FALSE,ns in both
GALNT8,0.00830772089923849,0.763178918388414,0.852525638902741,0.00521174713763982,0.856630291836723,0.928366632725387,FALSE,FALSE,ns in both
CPT1C,0.00420181942269525,0.884582311384853,0.932125875684166,0.00562142085537655,0.856649629472213,0.928366632725387,FALSE,FALSE,ns in both
DMRT1,0.00806627124974521,0.821408330764081,0.893017416224167,-0.00683629147923953,0.856691051171952,0.928366632725387,FALSE,FALSE,ns in both
CCDC110,0.00943434478210337,0.686725681206565,0.799472445558278,-0.00439408952038839,0.856768344644748,0.92838656882073,FALSE,FALSE,ns in both
ZBTB38,0.152967967274017,0.0229405664158537,0.0602586482941347,0.011376356095059,0.856871915095979,0.92843497371858,FALSE,FALSE,ns in both
TCTEX1D2,0.0884683149971526,0.0702692918667537,0.150394412450189,0.00837438626542208,0.857463256976811,0.929011844094129,FALSE,FALSE,ns in both
ANKRD13B,-0.0533940780748103,0.260352943672751,0.406250589102511,-0.0087297720468997,0.85761250066564,0.929048826284144,FALSE,FALSE,ns in both
TULP1,0.00388157728156454,0.904985907476932,0.942947342856584,0.005978928154136,0.857758130468976,0.929048826284144,FALSE,FALSE,ns in both
LDHC,-0.00633850328488431,0.91107102665932,0.946623375999246,-0.0106518110060914,0.857851102244455,0.929048826284144,FALSE,FALSE,ns in both
ONECUT2,0.000431897817954702,0.990921960116757,0.994581525458162,-0.00723698252057829,0.857900488225856,0.929048826284144,FALSE,FALSE,ns in both
TAS2R39,-0.0169196740242112,0.624980746082722,0.749816528811155,0.00650469519903544,0.858003290754845,0.929048826284144,FALSE,FALSE,ns in both
IL5RA,-0.0383298727688413,0.722094772734425,0.823854943732827,-0.0202583791479299,0.858010157829966,0.929048826284144,FALSE,FALSE,ns in both
NDST4,-0.010863320020805,0.653257668588333,0.77295455862167,-0.00456951389680863,0.858026031497575,0.929048826284144,FALSE,FALSE,ns in both
ADAP2,-0.0294337854364333,0.600631066911563,0.730367006690346,0.0101538397978686,0.858053397790458,0.929048826284144,FALSE,FALSE,ns in both
NFKBIL1,0.0116473639110446,0.738430597055908,0.835238339652143,0.00649963289125067,0.858081195634042,0.929048826284144,FALSE,FALSE,ns in both
TMEM130,-0.00198458783441283,0.945124417192153,0.966022318000254,0.00523511085191533,0.858086776747501,0.929048826284144,FALSE,FALSE,ns in both
HES2,0.0147891147418629,0.67868780121502,0.793236409024524,0.00683449311388199,0.858239296389034,0.929132549795616,FALSE,FALSE,ns in both
FBXO9,0.00946006869265961,0.868792323776413,0.922662454457136,-0.0107910161473139,0.858347370103549,0.929132549795616,FALSE,FALSE,ns in both
E2F7,-0.0190176495724846,0.461210483785158,0.610672898438089,-0.00483664784396039,0.858369525246267,0.929132549795616,FALSE,FALSE,ns in both
SPINT1,-0.0988056247406362,0.119165861910565,0.225040311644451,0.0107088450794087,0.858399880902973,0.929132549795616,FALSE,FALSE,ns in both
PMFBP1,0.0123393185416673,0.731554897292591,0.829877520890295,0.0068173783940388,0.858597873116649,0.929197277719923,FALSE,FALSE,ns in both
COL21A1,0.0168609738895691,0.552747020575922,0.690955692731028,-0.00509896064653039,0.858620788564944,0.929197277719923,FALSE,FALSE,ns in both
PLEKHG3,-0.113005179417354,0.0440565602016605,0.103066719866247,-0.00907048600388253,0.858838550919801,0.929197277719923,FALSE,FALSE,ns in both
PROX2,-0.000293241312285847,0.991774505195212,0.994922218634026,-0.00541703576438132,0.858854262609602,0.929197277719923,FALSE,FALSE,ns in both
PHF2,-0.0380667236024972,0.161189479322975,0.283479835163234,0.00472065177092709,0.858886640267277,0.929197277719923,FALSE,FALSE,ns in both
ZNF490,-0.0460528114843909,0.344356537161938,0.496260019682175,-0.00901472552792453,0.858928926946445,0.929197277719923,FALSE,FALSE,ns in both
CFI,0.000478790681252684,0.985834650458655,0.99098983452457,0.00491993401789167,0.858949819380884,0.929197277719923,FALSE,FALSE,ns in both
CASR,-0.00808531235214685,0.810624317278884,0.886030096664645,-0.00620945647931542,0.858996679050487,0.929197277719923,FALSE,FALSE,ns in both
PCP2,-0.0350144427687745,0.44171912029168,0.5913723877321,0.00830846539375717,0.859003818659078,0.929197277719923,FALSE,FALSE,ns in both
PLB1,-0.0531870800991132,0.405466807355472,0.557128075692496,0.0119053657794682,0.859049161213756,0.929197277719923,FALSE,FALSE,ns in both
L1TD1,-0.011102257015691,0.784032598085211,0.867399343319566,-0.00747662195062859,0.859179147600156,0.92921491497323,FALSE,FALSE,ns in both
LOC541472,0.00906895383820197,0.78966603623852,0.871552004567133,0.00635797546096654,0.859183365205533,0.92921491497323,FALSE,FALSE,ns in both
CNIH3,0.00677587146401623,0.824050854678719,0.894465472757346,-0.00568379262974124,0.859675800658961,0.929683702372887,FALSE,FALSE,ns in both
MBTPS1,-0.0377973869394513,0.309091820453344,0.460555285547411,-0.00691100723782247,0.859942626708994,0.929833629822032,FALSE,FALSE,ns in both
KLHL31,0.10700396123344,0.151852370649312,0.270652297438388,0.0133198476485741,0.859961503417372,0.929833629822032,FALSE,FALSE,ns in both
FSCN2,-0.00927475726124289,0.715861450568552,0.819769273179228,0.00476132659370506,0.860078727356556,0.929833629822032,FALSE,FALSE,ns in both
GPR146,-0.168866817851142,0.235981873503382,0.37699222377965,-0.0262129643872459,0.860231823380043,0.929833629822032,FALSE,FALSE,ns in both
XPO1,0.0683069747418345,0.0311312199218172,0.0775108860571165,-0.00497931804991556,0.860279803418883,0.929833629822032,FALSE,FALSE,ns in both
CDH3,-0.0439035823057124,0.386659329879479,0.538229514031281,-0.00940137031355186,0.860298328261093,0.929833629822032,FALSE,FALSE,ns in both
TSPAN11,0.0247262649631006,0.514285921492608,0.657690165543402,0.00698174569602943,0.860300661905272,0.929833629822032,FALSE,FALSE,ns in both
ZNF639,0.163067856340962,0.0155476839031193,0.0436781574344805,-0.00992785881553145,0.860347356702867,0.929833629822032,TRUE,FALSE,lost to composition
GLI1,-0.0137491560663909,0.756731180303235,0.847786325168436,-0.00833731907708197,0.860411001460082,0.929833629822032,FALSE,FALSE,ns in both
LARP1B,0.138107945585959,0.0447263329610192,0.104397713725885,0.0116726651658644,0.860425298592762,0.929833629822032,FALSE,FALSE,ns in both
CBLL1,0.0648757261429353,0.169041351843647,0.293878772373597,0.00858101670649136,0.860463310170271,0.929833629822032,FALSE,FALSE,ns in both
CRNN,-0.00687089547931653,0.801988983636324,0.879754147752581,-0.00511828786476863,0.860580018116034,0.929895998461958,FALSE,FALSE,ns in both
GHR,-0.00116366560722354,0.966039602306946,0.978844133052445,0.00511542036426895,0.860973209839983,0.930257091418716,FALSE,FALSE,ns in both
EHF,0.0389978304513012,0.369067149141524,0.521562234425098,0.00798899382447887,0.861067391265777,0.930295084888447,FALSE,FALSE,ns in both
UNC13D,-0.0829187609906575,0.128758628517745,0.239088498212417,0.0089918189406686,0.861215033080065,0.930390827663701,FALSE,FALSE,ns in both
TMEM26,-0.00741924522044027,0.75365727202074,0.845424108942708,0.00434732337261338,0.861290690882152,0.930408796626601,FALSE,FALSE,ns in both
HPR,-0.0250204146270219,0.36737597850488,0.51964712393866,-0.00501813378115269,0.861680370121995,0.9307659613673,FALSE,FALSE,ns in both
MMP3,0.0149733927344911,0.597876044703238,0.72830912617134,0.00513604429531408,0.86178128182333,0.930811178935258,FALSE,FALSE,ns in both
SH3RF1,0.0477634794265862,0.462761671432725,0.61173561598966,0.0123556457692468,0.861891424982856,0.930866360534756,FALSE,FALSE,ns in both
SLC4A9,0.000243750986249937,0.992861159188196,0.995577000781395,0.00505306050555112,0.862060013674897,0.930894390198756,FALSE,FALSE,ns in both
SHE,0.00512378923257838,0.877089744799055,0.927601023604411,0.00606507250190223,0.862085048297344,0.930894390198756,FALSE,FALSE,ns in both
LRRC2,-0.00233148094335514,0.944156544933483,0.965842684972186,0.00610908839892427,0.862117344715244,0.930894390198756,FALSE,FALSE,ns in both
