gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
HMGB2,0.673800937190015,9.94133015725288,9.22055193377825,2.86942263533344e-16,2.69459181006284e-12,TRUE,Up in RA
MAGED1,-0.391419485317875,7.82034528444612,-9.19090345447104,3.41888195148492e-16,2.69459181006284e-12,TRUE,Down in RA
KDM1A,-0.294410424837974,7.79700316131678,-9.08972062791953,6.21003504177816e-16,3.2629594121183e-12,TRUE,Down in RA
C1GALT1C1,0.646928821737564,7.26229473406617,8.98848105152142,1.12642901843456e-15,4.438975154396e-12,TRUE,Up in RA
CSGALNACT2,0.457120210221541,9.31240868727872,8.65018926586913,8.12804305216148e-15,2.56244685262443e-11,TRUE,Up in RA
S100A8,0.495844473154833,12.189670613876,8.43143692594519,2.88213372081292e-14,5.13609812399248e-11,TRUE,Up in RA
LTK,-0.577327634061541,4.05539154557934,-8.42338895868033,3.0189346014419e-14,5.13609812399248e-11,TRUE,Down in RA
STX7,0.429313217179884,9.63725673715222,8.41371162055735,3.19199679596942e-14,5.13609812399248e-11,TRUE,Up in RA
CLEC4D,1.16915360855525,7.1904207030468,8.41104904198841,3.24131729101544e-14,5.13609812399248e-11,TRUE,Up in RA
STARD3NL,0.450404718293913,8.40559457111451,8.40159313169615,3.42267139854517e-14,5.13609812399248e-11,TRUE,Up in RA
ACTR10,0.235539950004475,9.14772972691731,8.39358297011396,3.58415779762211e-14,5.13609812399248e-11,TRUE,Up in RA
MCM3AP,-0.259943349821953,8.56951625657601,-8.32168784317737,5.41766489253327e-14,7.11655430841683e-11,TRUE,Down in RA
NAT10,-0.324424231310209,6.26517024090735,-8.25338558987207,8.01295200731539e-14,9.71601249933173e-11,TRUE,Down in RA
SRRT,-0.299007485241408,8.87346555306563,-8.188865499262,1.15856821642475e-13,1.30446505682166e-10,TRUE,Down in RA
CHERP,-0.315509943582901,9.38560943256007,-8.142291936245,1.51091236042583e-13,1.58776743582615e-10,TRUE,Down in RA
EVI2A,0.889156575153766,9.9481728749469,8.08875611806433,2.04884693033478e-13,2.0184983851792e-10,TRUE,Up in RA
PCSK7,-0.367170815782907,7.94414239222262,-8.05906328686938,2.42514196012626e-13,2.06649143232768e-10,TRUE,Down in RA
U2AF2,-0.290617525025819,10.5617042162471,-8.04651200690242,2.60412427195713e-13,2.06649143232768e-10,TRUE,Down in RA
ESYT1,-0.381338540358349,10.3631857064141,-8.03866758994366,2.72257834773897e-13,2.06649143232768e-10,TRUE,Down in RA
UBAP2,-0.36285600230005,8.01291609669084,-8.0348919193034,2.78148303693544e-13,2.06649143232768e-10,TRUE,Down in RA
