gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
RABL3,0.238943249879948,0.0616973072581949,0.132932566198869,0.160710410068225,0.341332891722958,0.602924625087228,FALSE,FALSE,ns in both
SPRR2G,0.0729150032314136,0.313221869769289,0.460141317164334,0.0892709926369609,0.341342052507145,0.602924625087228,FALSE,FALSE,ns in both
GDNF,-0.0160597947108639,0.763880273886558,0.848977279649849,-0.0689275433805704,0.341375517281197,0.602924625087228,FALSE,FALSE,ns in both
HSPG2,-0.082864848899422,0.336146905280736,0.483435397273605,0.107165232969697,0.341462755639253,0.60293463666147,FALSE,FALSE,ns in both
RASIP1,-0.0420686549850324,0.356668946325429,0.504321187740198,-0.0581955627682449,0.341464885001384,0.60293463666147,FALSE,FALSE,ns in both
BLOC1S1,0.189615370930328,0.0406109433939231,0.0953882134880659,0.11983092273654,0.34149593580623,0.60293463666147,FALSE,FALSE,ns in both
NEFH,-0.134963704438633,0.131808868470623,0.240196901006061,-0.111338580599783,0.341646646612575,0.603133171749805,FALSE,FALSE,ns in both
AP1S1,-0.0907809006822881,0.377773759239904,0.525907247805229,-0.127373957693663,0.341709993503276,0.603177449898336,FALSE,FALSE,ns in both
DAPL1,0.0309334897169049,0.578410468594608,0.705851530266842,0.0719628987453354,0.342010144592853,0.603639671841579,FALSE,FALSE,ns in both
NRSN1,0.0372440878799169,0.573036499580515,0.701570567490905,0.0860482679709786,0.342123318067968,0.603771816245565,FALSE,FALSE,ns in both
C2orf54,0.0891802611993068,0.0595930502916227,0.129246732491311,0.0597339855576659,0.342260690401125,0.603946631903385,FALSE,FALSE,ns in both
TBP,-0.0174962328377181,0.719327098704477,0.815620274556084,-0.0607311774882257,0.342320333698566,0.603984264617248,FALSE,FALSE,ns in both
SSB,0.297171800085706,0.0129958754711539,0.0374436090388959,0.104364547896752,0.342403630361978,0.603996344779583,TRUE,FALSE,lost to composition
SLC24A1,0.0756562833670632,0.300263298651624,0.446682746002788,0.0978900213490565,0.342424987596958,0.603996344779583,FALSE,FALSE,ns in both
ALDH1L2,-0.0170767484577234,0.772461959289878,0.854718367561867,0.0766105725283534,0.342465928980053,0.603996344779583,FALSE,FALSE,ns in both
AKT1,-0.197948158883789,0.00411510211588472,0.014462955329474,-0.0715569329858489,0.342480449764633,0.603996344779583,TRUE,FALSE,lost to composition
KHNYN,-0.251829058634826,0.000317749397101,0.00171730849691679,-0.0772431480231672,0.342521720190912,0.604001552228365,TRUE,FALSE,lost to composition
CDHR3,0.00718539931520121,0.952096053534382,0.971761855209949,0.141326214732839,0.342604680721597,0.60408026646695,FALSE,FALSE,ns in both
APH1B,0.0872726308985938,0.0932046668539263,0.183323459214394,0.0617635342365827,0.342907886871769,0.604547256543977,FALSE,FALSE,ns in both
CACHD1,0.131216431057373,0.477601194833733,0.619980864215114,0.244122920557906,0.342949214450626,0.604552501385062,FALSE,FALSE,ns in both
