sex,n_DEG_unadjusted,n_DEG_adjusted,pct_retained,n_lost_to_composition,logFC_spearman,resid_df_unadjusted,resid_df_adjusted,comp_PCs
Female,5131,2709,49.4,2596,0.889,143,140,3
Male,5820,1450,23.8,4433,0.842,36,33,3
