sex,procedure,apparent_AUC,flat_CV_AUC,nested_CV_AUC,nested_CI,optimism_apparent_minus_nested,flat_minus_nested,flat_column_caveat,per_repeat_mean,per_repeat_sd,authoritative
Female,3-selector consensus re-derived in-fold (LASSO n RF n SVM-RFE),0.869,0.801,0.816,0.747-0.884,0.054,-0.014,flat CV is NOT a clean bias estimate: nested pooling across repeats with fold-specific panels is an ensemble and raises AUC. Use the optimism column.,0.811,0.01,NO - see NESTED_CV_AUTHORITATIVE.csv (16d) for the reconciled figure
Male,3-selector consensus re-derived in-fold (LASSO n RF n SVM-RFE),1,0.821,0.896,0.800-0.993,0.104,-0.076,flat CV is NOT a clean bias estimate: nested pooling across repeats with fold-specific panels is an ensemble and raises AUC. Use the optimism column.,0.822,0.06,NO - see NESTED_CV_AUTHORITATIVE.csv (16d) for the reconciled figure
